Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,51048492800.0,14.891995429992676,43.92,15.939422607421875,45.28
0,66363040640.0,5.973137378692627,86.38,5.923252105712891,82.06
10,219508519040.0,3.0567848682403564,93.0,4.05096960067749,87.38
20,372653997440.0,1.821335792541504,95.08,3.352905750274658,89.4
30,525799475840.0,1.7392653226852417,96.54,4.075238227844238,90.65
40,678944954240.0,1.4462312459945679,97.56,4.1816182136535645,91.23
50,832090432640.0,1.4260834455490112,98.02,4.024222373962402,91.71
60,985235911040.0,1.1525145769119263,98.44,3.8013103008270264,91.76
70,1138381389440.0,1.4595881700515747,98.62,3.1431121826171875,91.95
80,1291526867840.0,1.048002004623413,99.02,3.6005125045776367,92.1
90,1444672346240.0,1.1545311212539673,99.3,5.223961353302002,92.15
100,1582503276800.0,1.2178541421890259,99.42,5.294496536254883,92.01
