Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,59773408000.0,41.91669845581055,77.1,42.26762771606445,70.14
0,77705430400.0,2.9560868740081787,99.98,3.1814513206481934,93.33
10,257025654400.0,0.39081141352653503,100.0,1.0906469821929932,93.46
20,436345878400.0,0.22344039380550385,100.0,1.359301209449768,93.64
30,615666102400.0,0.1676003336906433,100.0,1.499550223350525,93.65
40,794986326400.0,0.14892025291919708,99.96,1.4504286050796509,93.59
50,974306550400.0,0.12076471745967865,100.0,1.6350816488265991,93.61
60,1153626774400.0,0.0982820987701416,99.98,1.5775026082992554,93.65
70,1332946998400.0,0.09268885105848312,100.0,1.6477266550064087,93.61
80,1512267222400.0,0.11772014945745468,100.0,1.6004835367202759,93.62
90,1691587446400.0,0.13628989458084106,100.0,1.7509658336639404,93.62
100,1852975648000.0,0.08145997673273087,100.0,1.7147272825241089,93.63
