Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,3000212480.0,5.672624111175537,9.98,5.721631050109863,10.0
0,12000849920.0,1.0133589506149292,9.78,1.1724250316619873,10.0
10,102007224320.0,0.3241274952888489,10.34,0.4720187783241272,10.0
20,192013598720.0,0.2832929790019989,10.36,0.47231966257095337,10.0
30,282019973120.0,0.4174855649471283,10.36,0.755301833152771,10.0
40,372026347520.0,0.1423557847738266,10.36,0.43922704458236694,10.0
50,462032721920.0,0.14883901178836823,10.36,0.5265833139419556,10.0
60,552039096320.0,0.3165041506290436,10.36,0.6724292039871216,10.0
70,642045470720.0,0.2851051092147827,10.34,0.4570710361003876,10.0
80,732051845120.0,0.16723276674747467,10.36,0.4170791804790497,10.0
90,822058219520.0,0.2783190608024597,10.08,0.6490158438682556,10.0
100,912064593920.0,0.2957230508327484,10.36,0.6106895804405212,10.0
110,1002070968320.0,0.16225506365299225,10.34,0.4927276074886322,10.0
120,1092077342720.0,0.2958497703075409,10.36,0.3296635150909424,10.0
130,1182083717120.0,0.240318164229393,10.36,0.5340093970298767,10.0
140,1272090091520.0,0.10301937162876129,10.36,0.3968428075313568,10.0
150,1362096465920.0,0.1805219203233719,10.36,0.3750765323638916,10.0
160,1452102840320.0,0.18273122608661652,10.34,0.45438265800476074,10.0
170,1542109214720.0,0.2309872806072235,10.36,0.3886321783065796,10.0
180,1632115589120.0,0.1309470385313034,10.36,0.40646445751190186,10.0
190,1722121963520.0,0.2015438824892044,10.36,0.5965535640716553,10.0
200,1803127700480.0,0.09118237346410751,10.34,0.4594712257385254,10.0
