Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,3416342400.0,2573.428466796875,9.42,2521.26904296875,10.0
0,13665369600.0,9.70402717590332,10.78,10.00439167022705,10.85
10,116155641600.0,10.067741394042969,21.24,5.795537948608398,20.95
20,218645913600.0,11.760566711425781,27.34,14.325122833251953,28.32
30,321136185600.0,46.46302795410156,28.88,50.586151123046875,29.91
40,423626457600.0,23.06543731689453,32.34,21.506940841674805,33.8
50,526116729600.0,79.86251068115234,32.44,83.67259979248047,33.28
60,628607001600.0,87.17467498779297,32.94,87.35333251953125,32.33
70,731097273600.0,25.641326904296875,36.62,34.660404205322266,37.03
80,833587545600.0,87.64286804199219,35.34,85.2826156616211,34.78
90,936077817600.0,31.59702491760254,37.88,27.610092163085938,39.42
100,1038568089600.0,29.12941551208496,39.72,59.98923873901367,39.03
110,1141058361600.0,66.46537780761719,40.02,75.50318908691406,40.65
120,1243548633600.0,74.86576843261719,37.4,71.31871795654297,37.92
130,1346038905600.0,42.49916076660156,42.5,38.901458740234375,41.98
140,1448529177600.0,70.62688446044922,41.62,55.69583511352539,42.2
150,1551019449600.0,32.32623291015625,42.04,20.941120147705078,42.97
160,1653509721600.0,98.35691833496094,41.62,125.63146209716797,40.95
170,1755999993600.0,88.2503433227539,43.02,109.5755386352539,42.46
180,1858490265600.0,68.33306884765625,44.08,51.93746566772461,43.44
190,1960980537600.0,103.29547119140625,42.4,84.48443603515625,43.57
200,2053221782400.0,54.59333419799805,45.64,52.67367935180664,43.8
