Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,2811149920.0,4.161293029785156,9.98,4.220089435577393,10.0
0,11244599680.0,0.8268709778785706,10.6,1.2102077007293701,10.0
10,95579097280.0,0.19359074532985687,10.58,0.6567742824554443,10.0
20,179913594880.0,0.5797948837280273,10.6,0.8664830923080444,10.0
30,264248092480.0,0.42778921127319336,10.16,0.41782841086387634,10.0
40,348582590080.0,0.26956555247306824,10.58,0.5629388093948364,10.0
50,432917087680.0,0.2499610185623169,10.58,0.5359354615211487,10.0
60,517251585280.0,0.40957051515579224,10.6,0.7726710438728333,10.0
70,601586082880.0,0.3957445025444031,10.6,0.7954564690589905,10.0
80,685920580480.0,0.25731757283210754,10.6,0.4796118438243866,10.0
90,770255078080.0,0.3530332148075104,10.58,0.7428841590881348,10.0
100,854589575680.0,0.2235085368156433,10.58,0.601268470287323,10.0
110,938924073280.0,0.39080414175987244,10.6,0.8192412853240967,10.0
120,1023258570880.0,0.32031503319740295,10.58,0.45860034227371216,10.0
130,1107593068480.0,0.39245539903640747,10.6,0.7417659163475037,10.0
140,1191927566080.0,0.2331099957227707,10.58,0.6027383804321289,10.0
150,1276262063680.0,0.22092276811599731,10.6,0.7029647827148438,10.0
160,1360596561280.0,0.25984472036361694,10.58,0.4244249761104584,10.0
170,1444931058880.0,0.4259299635887146,12.32,0.7442023754119873,11.1
180,1529265556480.0,0.3048425316810608,10.6,0.401704877614975,10.0
190,1613600054080.0,0.2944006323814392,10.6,0.4814329147338867,10.0
200,1689501101920.0,0.23795004189014435,10.58,0.492808073759079,10.0
