Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy
-1,149833360.0,0.6965132355690002,1.9043350221181754e-06,77.92,0.6275814771652222,2.1282153284118976e-06,77.85
0,4644834160.0,0.4126891493797302,1.3351539109862642e-06,89.0,0.37292712926864624,1.5607763543812325e-06,86.83
10,49594842160.0,0.1684369444847107,1.3617188869829988e-06,95.34,0.19898539781570435,1.4553212395185255e-06,91.13
20,94544850160.0,0.16350333392620087,1.5215888424791046e-06,95.1,0.1929486095905304,1.5140938103286317e-06,91.13
30,139494858160.0,0.15087014436721802,1.6977627410597051e-06,95.38,0.18251758813858032,1.6820298469610862e-06,91.21
40,184444866160.0,0.12266434729099274,2.743498953350354e-06,95.14,0.15792891383171082,2.5703920982778072e-06,91.41
50,229394874160.0,0.10219249874353409,2.711794195420225e-06,95.5,0.13814300298690796,3.719546384672867e-06,91.46
60,274344882160.0,0.0953114926815033,3.6401561374077573e-06,95.58,0.13825362920761108,3.888786068273475e-06,91.47
70,319294890160.0,0.09390304237604141,3.6668686789198546e-06,95.76,0.13738811016082764,4.267294116289122e-06,91.56
80,364244898160.0,0.08390133827924728,4.6493478293996304e-06,95.98,0.13418897986412048,5.546938609768404e-06,91.68
90,409194906160.0,0.07842668145895004,6.107402441557497e-06,96.14,0.13028743863105774,6.690995633107377e-06,91.8
