Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,133121472.0,3.3293445110321045,23.6,3.4628801345825195,23.87
0,16107698112.0,0.38769441843032837,81.32,0.39922651648521423,79.69
10,175853464512.0,0.21649222075939178,92.16,0.25121209025382996,87.82
20,335599230912.0,0.0968189388513565,94.4,0.1947389543056488,89.46
30,495344997312.0,0.12796664237976074,95.64,0.21239401400089264,90.15
40,655090763712.0,0.11889878660440445,96.92,0.15172988176345825,90.97
50,814836530112.0,0.10675917565822601,97.62,0.1688404083251953,90.98
60,974582296512.0,0.16206297278404236,97.36,0.20741592347621918,90.9
70,1134328062912.0,0.04928874596953392,98.12,0.14727377891540527,91.33
80,1294073829312.0,0.08912309259176254,98.54,0.1934947371482849,91.32
90,1453819595712.0,0.12026327848434448,98.54,0.2677006125450134,91.18
100,1613565362112.0,0.06425545364618301,98.7,0.20080702006816864,91.34
101,1613565362112.0,0.05509696528315544,98.88,0.20080704987049103,91.34
