Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,27108648000.0,19.8356876373291,89.1,19.271215438842773,84.18
0,35241242400.0,3.333705425262451,96.94,3.817039966583252,90.42
10,116567186400.0,0.9656217694282532,98.46,1.8920104503631592,91.72
20,197893130400.0,1.1051578521728516,98.6,2.97965931892395,91.71
30,279219074400.0,0.6334002614021301,99.1,2.5772926807403564,91.96
40,360545018400.0,1.0126932859420776,98.96,2.962078332901001,91.98
50,441870962400.0,0.5619252324104309,99.2,2.9419660568237305,91.92
60,523196906400.0,0.5010482668876648,99.44,2.9619951248168945,91.98
70,604522850400.0,0.6467465758323669,99.38,2.51739501953125,92.03
80,685848794400.0,0.6053809523582458,99.6,2.4366955757141113,92.12
90,767174738400.0,0.5448483228683472,99.68,2.7168331146240234,92.1
100,840368088000.0,0.40922874212265015,99.74,3.0598955154418945,92.09
