Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,6759352960.0,73.8978271484375,11.46,75.22278594970703,11.17
0,27037411840.0,8.699307441711426,48.36,9.997344970703125,48.45
10,229818000640.0,5.563246726989746,81.46,7.772322654724121,79.99
20,432598589440.0,9.239709854125977,87.62,10.57174015045166,84.4
30,635379178240.0,4.365684986114502,90.5,5.709764003753662,86.57
40,838159767040.0,4.065549373626709,93.06,4.865517616271973,87.71
50,1040940355840.0,3.540337085723877,94.06,6.2331767082214355,88.45
60,1243720944640.0,4.214159965515137,94.58,7.026845932006836,88.7
70,1446501533440.0,4.096951007843018,95.86,5.840356826782227,89.2
80,1649282122240.0,4.440670967102051,96.02,6.875714302062988,89.34
90,1852062711040.0,6.801639080047607,95.98,8.315550804138184,89.42
100,2054843299840.0,3.589940071105957,97.4,6.888731002807617,89.59
110,2257623888640.0,4.627429008483887,97.2,10.143908500671387,89.68
120,2460404477440.0,5.611016750335693,98.1,6.74767541885376,89.44
130,2663185066240.0,4.415860652923584,97.8,7.796728610992432,89.77
140,2865965655040.0,1.9327551126480103,98.36,7.116305351257324,89.92
150,3068746243840.0,2.5090720653533936,98.52,8.354085922241211,89.84
160,3271526832640.0,2.349942445755005,99.02,8.372136116027832,90.04
170,3474307421440.0,2.4415411949157715,98.66,6.8920674324035645,89.96
180,3677088010240.0,3.412003993988037,98.9,8.853681564331055,89.85
190,3879868599040.0,3.3762307167053223,98.8,11.046564102172852,89.91
200,4062371128960.0,2.0278007984161377,99.22,8.975322723388672,90.07
