Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,6939512320.0,18.877960205078125,13.72,18.81458282470703,13.8
0,27758049280.0,4.7829766273498535,24.64,5.092049598693848,26.68
10,235943418880.0,5.867135047912598,60.98,9.010136604309082,61.52
20,444128788480.0,9.92189884185791,77.6,13.294679641723633,76.16
30,652314158080.0,13.164040565490723,84.04,16.680845260620117,80.83
40,860499527680.0,9.726834297180176,86.9,10.97726058959961,84.12
50,1068684897280.0,9.060956001281738,90.3,11.101964950561523,85.36
60,1276870266880.0,7.108124732971191,91.14,6.188216686248779,86.47
70,1485055636480.0,4.977646827697754,93.36,8.530158042907715,87.06
80,1693241006080.0,11.5597562789917,92.96,14.10541820526123,86.77
90,1901426375680.0,5.6827802658081055,95.04,10.863687515258789,87.4
100,2109611745280.0,9.103080749511719,94.86,15.291213989257812,87.52
110,2317797114880.0,5.250316143035889,96.4,7.266833782196045,88.25
120,2525982484480.0,4.655226230621338,96.26,8.187073707580566,88.4
130,2734167854080.0,4.949722766876221,97.04,9.132099151611328,88.42
140,2942353223680.0,8.172097206115723,96.78,9.83155345916748,88.53
150,3150538593280.0,5.5989837646484375,97.52,13.522297859191895,88.57
160,3358723962880.0,4.775033950805664,97.86,11.883724212646484,88.29
170,3566909332480.0,3.1631131172180176,97.82,9.711934089660645,88.78
180,3775094702080.0,3.255204677581787,98.44,6.350560665130615,88.96
190,3983280071680.0,5.558479309082031,98.22,9.344621658325195,88.77
200,4170646904320.0,4.349149227142334,98.5,11.774942398071289,88.7
