Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,3012356000.0,56.48491287231445,35.78,57.431060791015625,33.18
0,12049424000.0,10.791828155517578,75.68,8.377708435058594,72.29
10,102420104000.0,2.7411792278289795,91.62,3.388192653656006,85.95
20,192790784000.0,2.3131678104400635,94.1,3.8499066829681396,87.8
30,283161464000.0,3.222477436065674,95.76,5.31293249130249,88.65
40,373532144000.0,3.8984646797180176,95.92,4.573625087738037,89.09
50,463902824000.0,2.2177882194519043,96.8,3.940500259399414,89.72
60,554273504000.0,2.7014055252075195,97.36,3.449960470199585,89.84
70,644644184000.0,2.7579185962677,97.76,4.084770202636719,89.94
80,735014864000.0,1.9779711961746216,97.84,3.8553786277770996,90.08
90,825385544000.0,3.4205803871154785,98.0,4.958150863647461,90.1
100,915756224000.0,1.8181169033050537,98.62,4.214376926422119,90.27
110,1006126904000.0,2.1265172958374023,98.28,4.433714389801025,90.3
120,1096497584000.0,2.1201658248901367,98.78,4.6648101806640625,90.39
130,1186868264000.0,2.7718775272369385,98.72,4.167320251464844,90.55
140,1277238944000.0,2.360595226287842,98.78,5.462846755981445,90.41
150,1367609624000.0,1.5706853866577148,99.08,5.34572696685791,90.51
160,1457980304000.0,2.011127471923828,99.04,5.39207649230957,90.46
170,1548350984000.0,1.9134827852249146,99.38,4.689093589782715,90.68
180,1638721664000.0,1.5514918565750122,99.32,3.918869733810425,90.57
190,1729092344000.0,1.2467784881591797,99.38,4.062561988830566,90.5
200,1810425956000.0,1.6326158046722412,99.32,6.252463340759277,90.45
