Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,5.6803789138793945,1.92,5.689358234405518,2.3
0,8668919040.0,1.06293523311615,8.2,1.0138808488845825,8.26
10,95358109440.0,0.5216016173362732,20.14,0.7718072533607483,19.66
20,182047299840.0,0.6435105800628662,26.62,0.9071178436279297,26.42
30,268736490240.0,0.88681560754776,30.8,1.308717131614685,29.75
40,355425680640.0,1.0181728601455688,35.2,1.4183961153030396,33.04
50,442114871040.0,1.0078314542770386,38.7,1.4405570030212402,35.86
60,528804061440.0,1.2882013320922852,41.48,1.7304924726486206,38.75
70,615493251840.0,1.3668676614761353,43.78,1.9426319599151611,40.54
80,702182442240.0,1.5807510614395142,45.82,2.1040964126586914,41.54
90,788871632640.0,1.5389937162399292,48.34,2.141317844390869,43.41
100,875560823040.0,1.5798983573913574,50.36,2.2722675800323486,44.78
101,875560823040.0,1.5826327800750732,50.5,2.2722675800323486,44.78
