Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,25.72391128540039,19.1,27.056623458862305,19.79
0,9096844800.0,13.060460090637207,46.12,13.898326873779297,44.16
10,100065292800.0,6.614090919494629,71.2,11.839962005615234,60.26
20,191033740800.0,5.20481014251709,76.7,11.057332992553711,62.69
30,282002188800.0,5.6701579093933105,80.54,10.930093765258789,64.53
40,372970636800.0,5.3146586418151855,83.26,11.181114196777344,65.3
50,463939084800.0,4.889256477355957,84.82,10.778721809387207,66.12
60,554907532800.0,5.317203044891357,87.9,11.56174087524414,66.56
70,645875980800.0,3.711277961730957,89.1,11.470789909362793,66.8
80,736844428800.0,4.314953327178955,90.98,11.145291328430176,67.05
90,827812876800.0,4.064465522766113,91.44,12.948430061340332,67.01
100,909684480000.0,5.268784523010254,92.18,14.567416191101074,67.14
