Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,20.994535446166992,65.04,23.34587860107422,45.35
0,25147112160.0,3.743333339691162,97.44,4.311007499694824,68.29
10,276618233760.0,0.8148165941238403,99.52,2.4809131622314453,71.62
20,528089355360.0,0.5016362071037292,99.7,2.4567301273345947,72.03
30,779560476960.0,0.4226280152797699,99.68,2.4295992851257324,72.18
40,1031031598560.0,0.3181699216365814,99.78,2.418346881866455,72.22
50,1282502720160.0,0.2822073698043823,99.78,2.4632251262664795,72.29
60,1533973841760.0,0.275969922542572,99.84,2.492478847503662,72.33
70,1785444963360.0,0.24017947912216187,99.84,2.6071274280548096,72.34
80,2036916084960.0,0.22876416146755219,99.8,2.5590147972106934,72.31
90,2288387206560.0,0.213399276137352,99.88,2.590489149093628,72.29
100,2514711216000.0,0.22524353861808777,99.9,2.6233155727386475,72.23
