Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,32.00486373901367,24.84,32.661991119384766,16.57
0,23433940800.0,8.231708526611328,79.82,7.690891742706299,55.32
10,257773348800.0,1.6544418334960938,98.94,2.3634722232818604,70.52
20,492112756800.0,0.9120086431503296,99.5,2.3057234287261963,71.4
30,726452164800.0,0.6386350989341736,99.52,2.1211366653442383,71.57
40,960791572800.0,0.49823713302612305,99.7,2.2060697078704834,71.91
50,1195130980800.0,0.4286589026451111,99.64,2.266127586364746,71.97
60,1429470388800.0,0.3909881114959717,99.78,2.41325044631958,72.0
70,1663809796800.0,0.34516769647598267,99.86,2.290651559829712,72.03
80,1898149204800.0,0.32136932015419006,99.78,2.4842703342437744,71.97
90,2132488612800.0,0.27921485900878906,99.78,2.4335920810699463,71.98
100,2343394080000.0,0.25327906012535095,99.8,2.4991507530212402,72.04
