Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,19764.51171875,0.94,19366.8828125,1.0
0,35952756336.0,1.5609642267227173,1.14,1.7925273180007935,1.36
10,395480319696.0,1.5058650970458984,1.42,1.6097584962844849,1.53
20,755007883056.0,5.12451171875,2.06,4.363518714904785,2.3
30,1114535446416.0,5.767373085021973,2.42,7.908777713775635,2.34
40,1474063009776.0,7.077822208404541,2.7,7.947482109069824,2.35
50,1833590573136.0,12.404496192932129,2.9,15.531803131103516,2.49
60,2193118136496.0,24.214540481567383,3.28,20.938873291015625,2.93
70,2552645699856.0,16.996177673339844,3.94,19.825695037841797,3.36
80,2912173263216.0,17.03787612915039,4.66,22.538448333740234,3.68
90,3271700826576.0,19.31501579284668,4.58,34.24904251098633,3.75
100,3631228389936.0,39.6367301940918,5.34,37.10407638549805,4.81
110,3990755953296.0,27.2356014251709,6.16,42.48955535888672,5.58
120,4350283516656.0,24.352392196655273,6.86,34.74232482910156,6.58
130,4709811080016.0,33.917747497558594,7.82,42.58112716674805,6.87
140,5069338643376.0,57.488624572753906,7.8,73.31816101074219,6.83
150,5428866206736.0,44.79218673706055,8.08,61.451622009277344,7.51
160,5788393770096.0,58.119529724121094,8.14,71.97241973876953,7.42
170,6147921333456.0,117.67069244384766,8.4,137.93710327148438,7.39
180,6507448896816.0,62.889892578125,9.02,82.48783111572266,7.77
190,6866976460176.0,121.91761016845703,8.16,144.55946350097656,7.35
200,7190551267200.0,56.05760955810547,10.06,74.26117706298828,8.51
