Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,183.6628875732422,0.64,179.2949676513672,1.0
0,31185467664.0,2.219487428665161,1.02,3.561826467514038,0.92
10,343040144304.0,0.7933540940284729,1.48,1.1788421869277954,1.05
20,654894820944.0,0.9486220479011536,1.44,1.3453500270843506,1.1
30,966749497584.0,0.923103928565979,1.6,1.5673441886901855,1.18
40,1278604174224.0,2.840486526489258,1.34,3.7350172996520996,1.21
50,1590458850864.0,2.0986807346343994,1.68,2.4132728576660156,1.68
60,1902313527504.0,4.202787399291992,2.24,3.7629401683807373,1.72
70,2214168204144.0,3.4364023208618164,2.62,3.510328531265259,2.31
80,2526022880784.0,2.270064115524292,2.08,2.8117682933807373,2.1
90,2837877557424.0,4.055231094360352,2.04,5.394660949707031,2.0
100,3149732234064.0,2.6721034049987793,2.46,3.648118019104004,2.28
110,3461586910704.0,2.491955041885376,2.82,3.9312584400177,2.39
120,3773441587344.0,2.9919819831848145,2.32,4.448936462402344,2.14
130,4085296263984.0,4.224480628967285,2.48,4.889860153198242,2.24
140,4397150940624.0,7.537643909454346,2.56,7.212227821350098,2.29
150,4709005617264.0,3.6508736610412598,2.58,4.146324157714844,2.4
160,5020860293904.0,5.8762102127075195,2.72,5.194495677947998,2.42
170,5332714970544.0,12.00669002532959,2.54,13.25566577911377,2.45
180,5644569647184.0,10.874221801757812,2.66,8.988365173339844,2.39
190,5956424323824.0,5.456549167633057,2.74,8.039446830749512,2.63
200,6237093532800.0,6.944537162780762,2.78,8.552115440368652,2.72
