Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,74749.171875,0.86,74716.125,1.0
0,2527690560000.0,0.3667764365673065,1.4,0.29858776926994324,1.21
10,27804596160000.0,12.691015243530273,1.56,14.213898658752441,1.39
20,53081501760000.0,41.00419235229492,0.88,44.598609924316406,1.0
30,78358407360000.0,78.26950073242188,1.06,83.046142578125,1.33
40,103635312960000.0,48.5422477722168,0.74,49.12975311279297,1.0
50,128912218560000.0,125.25546264648438,0.88,129.8988800048828,1.0
60,154189124160000.0,204.69754028320312,1.24,225.1923065185547,1.2
70,179466029760000.0,300.7877502441406,1.0,303.2777404785156,1.02
80,204742935360000.0,573.4454956054688,1.04,552.8796997070312,1.17
90,230019840960000.0,224.622802734375,0.96,189.91036987304688,0.95
100,255296746560000.0,261.97833251953125,1.26,209.9539337158203,1.28
110,280573652160000.0,256.2087097167969,0.98,186.87417602539062,1.03
120,305850557760000.0,161.4273681640625,0.88,145.85964965820312,1.01
130,331127463360000.0,273.7742614746094,1.02,252.66461181640625,1.19
140,356404368960000.0,176.97923278808594,1.02,155.5576629638672,1.13
150,381681274560000.0,188.04193115234375,1.24,165.66241455078125,1.49
160,406958180160000.0,159.6727294921875,1.26,137.32876586914062,1.4
170,432235085760000.0,171.1646728515625,1.4,152.2088165283203,1.5
180,457511991360000.0,134.92364501953125,1.16,118.07638549804688,1.57
190,482788896960000.0,192.6832733154297,1.46,186.91229248046875,1.52
200,505538112000000.0,223.2537841796875,1.38,206.346435546875,1.6
