Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,770.4581909179688,0.98,766.766845703125,1.0
0,15457167360.0,2.180027723312378,0.68,2.15775990486145,0.83
10,170028840960.0,0.46131256222724915,1.2,0.9395970702171326,1.0
20,324600514560.0,0.4180629551410675,1.18,1.036638617515564,1.02
30,479172188160.0,0.5278363227844238,1.7,1.1044018268585205,1.67
40,633743861760.0,0.5344444513320923,2.36,1.0651663541793823,1.95
50,788315535360.0,0.7514402270317078,2.2,1.0149253606796265,1.83
60,942887208960.0,1.0136687755584717,2.44,1.8751652240753174,1.89
70,1097458882560.0,1.716369867324829,2.56,2.8359103202819824,2.07
80,1252030556160.0,0.9241763949394226,2.76,1.972180724143982,2.34
90,1406602229760.0,2.021810531616211,3.12,1.279415488243103,2.37
100,1561173903360.0,3.9111924171447754,3.14,6.038222789764404,2.26
110,1715745576960.0,7.514806747436523,2.8,9.635231971740723,2.23
120,1870317250560.0,1.2349352836608887,2.96,3.3737895488739014,2.53
130,2024888924160.0,3.4000494480133057,3.0,2.658243417739868,2.6
140,2179460597760.0,3.387695550918579,3.04,2.5523440837860107,2.7
150,2334032271360.0,2.548356771469116,3.6,4.3194661140441895,2.96
160,2488603944960.0,4.100952625274658,3.38,5.634830474853516,2.86
170,2643175618560.0,2.9360806941986084,3.48,4.725471019744873,2.95
180,2797747292160.0,7.484611511230469,3.38,6.673597812652588,2.81
190,2952318965760.0,11.870827674865723,3.68,13.392295837402344,3.14
200,3091433472000.0,3.9913573265075684,3.7,5.355142593383789,3.16
