Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,0.9315912127494812,87.2,0.9816228747367859,65.26
0,16628327040.0,0.3551247715950012,95.18,0.45838767290115356,69.57
10,182911597440.0,0.15754906833171844,97.06,0.3510182499885559,70.97
20,349194867840.0,0.12685713171958923,96.9,0.35379350185394287,71.3
30,515478138240.0,0.11482583731412888,97.58,0.38043099641799927,71.31
40,681761408640.0,0.10185709595680237,98.2,0.3866654932498932,71.49
50,848044679040.0,0.08424924314022064,97.82,0.3870582580566406,71.44
60,1014327949440.0,0.09231527894735336,98.4,0.3922275900840759,71.51
70,1180611219840.0,0.07365415245294571,98.32,0.4039002060890198,71.54
80,1346894490240.0,0.08244863897562027,98.68,0.3996802270412445,71.72
90,1513177760640.0,0.07307165861129761,98.72,0.40712982416152954,71.74
100,1679461031040.0,0.06392284482717514,98.6,0.3959547281265259,71.88
101,1679461031040.0,0.08252619206905365,98.68,0.3959547281265259,71.88
