Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,0,2.9495606422424316,97.1,7.388258934020996,68.8
0,19876585440.0,1.0968725681304932,98.74,4.782102584838867,70.75
10,218642439840.0,0.48392999172210693,99.38,3.9932141304016113,71.74
20,417408294240.0,0.38120001554489136,99.46,3.889780044555664,71.79
30,616174148640.0,0.3731779158115387,99.78,3.809257745742798,71.68
40,814940003040.0,0.31314975023269653,99.78,3.8365368843078613,71.79
50,1013705857440.0,0.3156856894493103,99.7,3.6793808937072754,71.93
60,1212471711840.0,0.2766195237636566,99.92,3.644932985305786,71.96
70,1411237566240.0,0.282943457365036,99.78,3.733541965484619,71.74
80,1610003420640.0,0.25936368107795715,99.8,3.7126429080963135,71.85
90,1808769275040.0,0.2203662395477295,99.76,3.6430776119232178,71.85
100,1987658544000.0,0.24854253232479095,99.92,3.634716272354126,71.83
