Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,234531520.0,2.3815958499908447,59.92,2.099949359893799,52.48
0,28378313920.0,0.5742775201797485,93.04,0.5827186107635498,72.36
10,309816137920.0,0.1730319708585739,97.18,0.4037795960903168,75.24
20,591253961920.0,0.09580404311418533,98.26,0.4139939844608307,75.83
30,872691785920.0,0.10677032172679901,98.58,0.41339924931526184,76.07
40,1154129609920.0,0.08427993953227997,98.9,0.4161039888858795,76.52
50,1435567433920.0,0.07454971969127655,99.2,0.4786183536052704,76.57
60,1717005257920.0,0.08776454627513885,99.26,0.45937275886535645,76.68
70,1998443081920.0,0.06296991556882858,99.36,0.48398110270500183,76.83
80,2279880905920.0,0.05901578813791275,99.5,0.504814624786377,76.73
90,2561318729920.0,0.06678443402051926,99.46,0.5021618008613586,76.81
100,2842756553920.0,0.06607501208782196,99.62,0.5152053833007812,76.95
101,2842756553920.0,0.06632076948881149,99.66,0.515205442905426,76.95
