Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,75631910400.0,26.109962463378906,37.96,26.03373908996582,26.74
0,98321483520.0,6.544878959655762,90.92,6.061582565307617,63.61
10,325217214720.0,1.380722999572754,99.36,1.9138731956481934,71.3
20,552112945920.0,0.8084473609924316,99.58,1.8393211364746094,71.8
30,779008677120.0,0.599460244178772,99.76,1.9783353805541992,71.97
40,1005904408320.0,0.47842952609062195,99.84,2.0862646102905273,71.98
50,1232800139520.0,0.4092199504375458,99.8,2.109978675842285,72.08
60,1459695870720.0,0.3441163897514343,99.76,2.2000532150268555,72.15
70,1686591601920.0,0.32831838726997375,99.86,2.1414217948913574,72.25
80,1913487333120.0,0.286321759223938,99.88,2.2672576904296875,72.29
90,2140383064320.0,0.2763322591781616,99.9,2.3231637477874756,72.37
100,2344589222400.0,0.2740728259086609,99.9,2.3750782012939453,72.27
