Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,2708347520.0,1711.06396484375,1.02,1714.0667724609375,1.0
0,10833390080.0,8.131978034973145,1.18,8.850584983825684,1.0
10,92083815680.0,0.9332028031349182,1.16,1.1759527921676636,1.01
20,173334241280.0,0.6123339533805847,1.26,0.9218997955322266,1.15
30,254584666880.0,0.45878589153289795,1.58,0.8719955086708069,1.15
40,335835092480.0,0.3813093900680542,1.56,0.8653993010520935,1.21
50,417085518080.0,0.3582181930541992,1.44,0.8615538477897644,1.16
60,498335943680.0,0.4328280985355377,1.08,0.8776162266731262,0.96
70,579586369280.0,0.43892520666122437,1.14,0.9167316555976868,0.81
80,660836794880.0,0.32438039779663086,1.34,0.8423216938972473,0.82
90,742087220480.0,0.33858323097229004,1.36,0.8692425489425659,0.89
100,823337646080.0,0.6901142001152039,1.36,0.941422700881958,0.89
110,904588071680.0,0.6337242126464844,1.34,0.9017363786697388,0.86
120,985838497280.0,0.5768492221832275,1.22,1.2114486694335938,0.92
130,1067088922880.0,2.286160945892334,1.24,3.120601177215576,0.93
140,1148339348480.0,1.3462166786193848,1.36,2.3853061199188232,1.14
150,1229589774080.0,1.2292871475219727,1.32,1.00049889087677,1.21
160,1310840199680.0,0.7038704752922058,1.44,1.9614448547363281,1.48
170,1392090625280.0,2.2895047664642334,1.54,1.1165146827697754,1.57
180,1473341050880.0,1.0534104108810425,1.94,4.48561954498291,1.91
190,1554591476480.0,3.457915782928467,2.18,8.603093147277832,2.07
200,1627716859520.0,1.516832947731018,2.58,6.508582592010498,2.14
