Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,64137540.0,3.316365957260132,9.44,3.311309576034546,9.25
0,7760642340.0,1.166602373123169,26.18,1.132813811302185,24.82
10,84725690340.0,0.45893803238868713,58.02,0.5508930087089539,49.48
20,161690738340.0,0.2873002588748932,65.3,0.4608262777328491,54.94
30,238655786340.0,0.2507196068763733,69.84,0.44375115633010864,57.92
40,315620834340.0,0.26872166991233826,73.0,0.5220749378204346,59.46
50,392585882340.0,0.21497158706188202,75.88,0.4748894274234772,60.61
60,469550930340.0,0.2140907198190689,77.8,0.4629059135913849,61.52
70,546515978340.0,0.23654787242412567,78.68,0.5262835025787354,61.54
80,623481026340.0,0.23223912715911865,80.86,0.48740115761756897,62.51
90,700446074340.0,0.21833568811416626,82.56,0.5017061233520508,62.84
100,777411122340.0,0.2300843596458435,82.62,0.5033503174781799,62.9
101,777411122340.0,0.2401829957962036,82.88,0.5033503770828247,62.9
