Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,163802150400.0,12.927299499511719,20.88,13.543206214904785,21.19
0,212935249920.0,10.197717666625977,48.04,10.374917984008789,44.44
10,704266245120.0,4.748725891113281,72.64,5.737875938415527,60.94
20,1195597240320.0,3.6709442138671875,78.56,5.9199323654174805,64.33
30,1686928235520.0,3.3637378215789795,82.38,6.1579270362854,66.48
40,2178259230720.0,3.8377957344055176,84.64,6.918292999267578,67.42
50,2669590225920.0,2.7986462116241455,87.04,7.189224720001221,68.0
60,3160921221120.0,3.174558401107788,88.16,7.39367151260376,68.61
70,3652252216320.0,2.8931777477264404,89.88,8.296646118164062,69.02
80,4143583211520.0,3.850186586380005,91.2,9.365805625915527,69.2
90,4634914206720.0,3.2725484371185303,92.3,8.12741756439209,69.48
100,5077112102400.0,3.849261999130249,93.08,9.257683753967285,69.62
