Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,3291989760.0,33.40372085571289,2.02,33.775272369384766,1.79
0,13167959040.0,5.015990257263184,7.54,4.710235595703125,7.03
10,111927651840.0,3.2354109287261963,18.42,3.039191722869873,17.19
20,210687344640.0,3.39131498336792,26.64,3.987151861190796,22.95
30,309447037440.0,3.468754768371582,34.78,4.035008430480957,29.5
40,408206730240.0,3.138701915740967,42.38,4.794217109680176,35.24
50,506966423040.0,3.7356152534484863,48.9,3.75301194190979,39.66
60,605726115840.0,3.739506483078003,53.44,5.276055812835693,42.37
70,704485808640.0,3.829010248184204,57.64,5.523344039916992,45.05
80,803245501440.0,5.320713520050049,61.4,5.358792781829834,47.44
90,902005194240.0,5.511937141418457,64.42,6.836925506591797,48.79
100,1000764887040.0,4.138148307800293,67.28,5.4838690757751465,50.47
110,1099524579840.0,5.36682653427124,69.62,5.868415832519531,51.18
120,1198284272640.0,5.835693836212158,70.82,6.596049785614014,51.93
130,1297043965440.0,4.49585485458374,73.3,6.800668716430664,52.27
140,1395803658240.0,5.025736331939697,74.54,6.214798927307129,53.29
150,1494563351040.0,5.075725078582764,76.04,6.204583168029785,53.95
160,1593323043840.0,6.5091328620910645,77.28,8.788601875305176,54.05
170,1692082736640.0,4.783932685852051,79.2,6.515605449676514,54.67
180,1790842429440.0,4.083086967468262,79.6,6.535167217254639,54.99
190,1889602122240.0,3.9655308723449707,82.36,7.3433003425598145,55.06
200,1978485845760.0,6.530015468597412,82.06,9.389857292175293,54.93
