Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy
-1,132356752.0,11.204971313476562,27.72,11.061149597167969,28.49
0,16015166992.0,10.14939022064209,33.46,10.049141883850098,34.45
10,174843269392.0,6.706910133361816,83.64,6.723410129547119,80.7
20,333671371792.0,5.293855667114258,85.4,5.354715824127197,82.64
30,492499474192.0,5.002214431762695,85.78,6.26885986328125,84.05
40,651327576592.0,5.296361446380615,89.54,4.811508655548096,85.68
50,810155678992.0,5.200618743896484,90.68,7.011890411376953,86.96
60,968983781392.0,5.602564811706543,92.32,5.506187915802002,88.19
70,1127811883792.0,3.164921760559082,92.92,5.313131809234619,88.6
80,1286639986192.0,4.206992149353027,93.66,6.8390984535217285,89.17
90,1445468088592.0,5.195923328399658,94.58,7.537436008453369,89.53
100,1588413380752.0,5.395571231842041,94.64,8.21951675415039,89.78
