Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual
-1,0.0,0.6624534,3.336538e-07,28.32,0.6375496,3.399205e-07,29.07,0
0,3970702560.0,0.65765125,3.1791708e-07,28.3,0.6330756,3.3418416e-07,29.3,0
1,7941405120.0,0.6488617,3.5440223e-07,28.38,0.6248367,3.2696573e-07,29.79,0
2,11912107680.0,0.6398467,2.2868369e-07,29.42,0.615541,3.154735e-07,30.27,0
3,15882810240.0,0.6309581,2.8306673e-07,29.94,0.60621846,3.0453296e-07,30.77,0
4,19853512800.0,0.62207395,2.4390334e-07,30.54,0.59763634,2.9748725e-07,31.21,0
5,23824215360.0,0.6131794,2.9849002e-07,31.1,0.58963263,2.8837107e-07,31.73,0
6,27794917920.0,0.6058203,2.8939516e-07,31.7,0.58219403,2.814507e-07,32.19,0
7,31765620480.0,0.59967697,2.8645673e-07,31.86,0.5756694,2.7471586e-07,32.67,0
8,35736323040.0,0.5935841,2.789893e-07,32.36,0.56986266,2.706199e-07,33.14,0
9,39707025600.0,0.5894522,2.509843e-07,32.88,0.5648013,2.6592778e-07,33.51,0
10,43677728160.0,0.5842195,2.699951e-07,33.0,0.5606376,2.6173146e-07,33.81,0
