Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual
-1,0.0,7.536885738372803,0.9,7.553613185882568,1.0,0
-1,0.0,7.574405193328857,1.0,7.553613185882568,1.0,1
-1,0.0,7.548180103302002,0.82,7.553613185882568,1.0,2
-1,0.0,7.490400791168213,1.16,7.553613185882568,1.0,3
-1,0.0,7.561257362365723,0.92,7.553613185882568,1.0,4
-1,0.0,7.559884071350098,0.94,7.553613185882568,1.0,5
-1,0.0,7.517094612121582,1.08,7.553613185882568,1.0,6
-1,0.0,7.606880664825439,0.78,7.553613185882568,1.0,7
-1,0.0,7.4963884353637695,1.24,7.553613185882568,1.0,8
-1,0.0,7.515069007873535,1.16,7.553613185882568,1.0,9
-1,0.0,7.454358100891113,1.28,7.553613185882568,1.0,10
-1,0.0,7.523733615875244,0.76,7.553613185882568,1.0,11
-1,0.0,7.477546691894531,1.0,7.553613185882568,1.0,12
-1,0.0,7.598206043243408,0.82,7.553613185882568,1.0,13
-1,0.0,7.528287887573242,1.1,7.553613185882568,1.0,14
-1,0.0,7.553802013397217,0.8,7.553613185882568,1.0,15
-1,0.0,7.573474884033203,0.84,7.553613185882568,1.0,16
-1,0.0,7.4926676750183105,1.04,7.553613185882568,1.0,17
-1,0.0,7.57109785079956,0.9,7.553613185882568,1.0,18
-1,0.0,7.545905113220215,0.86,7.553613185882568,1.0,19
-1,0.0,7.505760669708252,1.02,7.553613185882568,1.0,20
-1,0.0,7.492812156677246,1.06,7.553613185882568,1.0,21
-1,0.0,7.573095321655273,0.88,7.553613185882568,1.0,22
-1,0.0,7.471645355224609,1.1,7.553613185882568,1.0,23
-1,0.0,7.581408500671387,0.96,7.553613185882568,1.0,24
-1,0.0,7.526167869567871,0.96,7.553613185882568,1.0,25
-1,0.0,7.560116291046143,0.92,7.553613185882568,1.0,26
-1,0.0,7.526348114013672,0.98,7.553613185882568,1.0,27
-1,0.0,7.551098823547363,1.08,7.553613185882568,1.0,28
-1,0.0,7.479233264923096,1.22,7.553613185882568,1.0,29
-1,0.0,7.531485080718994,1.06,7.553613185882568,1.0,30
-1,0.0,7.527322769165039,1.02,7.553613185882568,1.0,31
-1,0.0,7.5266194343566895,1.2,7.553613185882568,1.0,32
-1,0.0,7.568584442138672,0.76,7.553613185882568,1.0,33
-1,0.0,7.531862735748291,1.12,7.553613185882568,1.0,34
-1,0.0,7.529906749725342,1.0,7.553613185882568,1.0,35
0,3097851000.0,6.347604751586914,1.0,6.3669209480285645,1.0,35
10,34076361000.0,1.5363789796829224,0.94,1.5144381523132324,1.0,35
20,65054871000.0,1.3497439622879028,0.94,1.3313690423965454,1.0,35
30,96033381000.0,1.0818196535110474,0.94,1.0733964443206787,1.01,35
40,127011891000.0,0.4813058972358703,1.32,0.5440009832382202,1.0,35
50,157990401000.0,0.2831409275531769,1.34,0.4093741476535797,1.01,35
60,188968911000.0,0.2610503733158111,1.34,0.3975931406021118,1.0,35
70,219947421000.0,0.2281914800405502,1.34,0.3811266720294952,1.0,35
80,250925931000.0,0.139931321144104,1.34,0.3495608568191528,1.0,35
90,281904441000.0,0.0915683656930923,1.34,0.3398835957050323,1.0,35
100,312882951000.0,0.0847587063908577,1.34,0.3397165536880493,1.0,35
101,312882951000.0,0.0847580730915069,1.34,0.3397165536880493,1.0,35
-1,0.0,7.540261745452881,1.04,7.553613185882568,1.0,36
0,3097851000.0,6.370023727416992,1.04,6.377341270446777,1.0,36
10,34076361000.0,1.5250777006149292,0.98,1.507531762123108,1.0,36
20,65054871000.0,1.3375364542007446,0.98,1.3256393671035769,1.0,36
30,96033381000.0,1.0721285343170166,0.98,1.070208191871643,1.0,36
40,127011891000.0,0.481877326965332,1.18,0.5294167399406433,1.0,36
50,157990401000.0,0.2856579422950744,1.18,0.3901933133602142,1.0,36
60,188968911000.0,0.2638387680053711,1.18,0.3779987096786499,1.0,36
70,219947421000.0,0.2318572849035263,1.18,0.363144963979721,1.0,36
80,250925931000.0,0.1447793990373611,1.28,0.3329304456710815,1.0,36
90,281904441000.0,0.0966763123869896,1.28,0.3209085464477539,1.0,36
100,312882951000.0,0.0899871289730072,1.28,0.3205726742744446,1.0,36
101,312882951000.0,0.0899890959262847,1.28,0.3205726742744446,1.0,36
-1,0.0,7.433634281158447,1.2,7.553613185882568,1.0,37
0,3097851000.0,6.251003742218018,1.2,6.36824893951416,1.0,37
10,34076361000.0,1.488613247871399,0.9,1.535570502281189,1.0,37
20,65054871000.0,1.3077785968780518,0.9,1.3515652418136597,1.0,37
30,96033381000.0,1.0501089096069336,1.22,1.0917909145355225,1.0,37
40,127011891000.0,0.4733702540397644,1.28,0.5415290594100952,1.0,37
50,157990401000.0,0.2816771566867828,1.28,0.4003289937973022,1.0,37
60,188968911000.0,0.2600243091583252,1.28,0.3881335258483886,1.0,37
70,219947421000.0,0.2284756004810333,1.28,0.3727954626083374,1.0,37
80,250925931000.0,0.143360435962677,1.28,0.3402012586593628,1.0,37
90,281904441000.0,0.0972693562507629,1.28,0.3317651152610779,1.0,37
100,312882951000.0,0.0910994634032249,1.28,0.3309874236583709,1.0,37
101,312882951000.0,0.0911006182432174,1.28,0.3309874236583709,1.0,37
-1,0.0,7.548274040222168,0.94,7.553613185882568,1.0,38
0,3097851000.0,6.37019157409668,0.94,6.371915340423584,1.0,38
10,34076361000.0,1.5274211168289185,1.04,1.5125772953033447,1.0,38
20,65054871000.0,1.342382788658142,1.04,1.3293805122375488,1.0,38
30,96033381000.0,1.0805447101593018,1.04,1.0735344886779783,1.0,38
40,127011891000.0,0.4819188416004181,1.3,0.5450565218925476,1.0,38
50,157990401000.0,0.286204993724823,1.3,0.4385419189929962,1.0,38
60,188968911000.0,0.2652869820594787,1.3,0.430079847574234,1.0,38
70,219947421000.0,0.234064295887947,1.3,0.4186182916164398,1.0,38
80,250925931000.0,0.1493984758853912,1.3,0.3990650177001953,1.0,38
90,281904441000.0,0.1022467836737632,1.3,0.3945749402046203,1.0,38
100,312882951000.0,0.0955282896757125,1.3,0.3945038914680481,1.0,38
101,312882951000.0,0.0955271050333976,1.3,0.3945038914680481,1.0,38
-1,0.0,7.531639575958252,0.98,7.553613185882568,1.0,39
0,3097851000.0,6.351860523223877,0.98,6.36760139465332,1.0,39
10,34076361000.0,1.5152175426483154,1.38,1.500662922859192,1.0,39
20,65054871000.0,1.328124761581421,1.38,1.3206247091293335,1.0,39
30,96033381000.0,1.0665488243103027,0.92,1.0744729042053225,1.1,39
40,127011891000.0,0.4834047853946686,1.32,0.5726425647735596,1.0,39
50,157990401000.0,0.2860032021999359,1.32,0.4481171071529388,1.0,39
60,188968911000.0,0.2641812562942505,1.32,0.4379551112651825,1.0,39
70,219947421000.0,0.2321853786706924,1.32,0.4237417578697204,1.0,39
80,250925931000.0,0.1470375657081604,1.36,0.3981045484542846,1.0,39
90,281904441000.0,0.1002279967069625,1.36,0.3882676064968109,1.0,39
100,312882951000.0,0.0937552824616432,1.36,0.3881653547286987,1.0,39
101,312882951000.0,0.0937534570693969,1.36,0.3881653547286987,1.0,39
-1,0.0,7.493747234344482,1.2,7.553613185882568,1.0,40
0,3097851000.0,6.311790466308594,1.2,6.365749835968018,1.0,40
10,34076361000.0,1.4800180196762085,1.02,1.5331742763519287,1.0,40
20,65054871000.0,1.3029714822769165,1.02,1.3596632480621338,1.0,40
30,96033381000.0,1.0560405254364014,1.02,1.1174352169036863,1.0,40
40,127011891000.0,0.4925883412361145,1.22,0.580970287322998,1.0,40
50,157990401000.0,0.2909183204174042,1.28,0.4310924708843231,1.0,40
60,188968911000.0,0.2679529190063476,1.28,0.4173887968063354,1.0,40
70,219947421000.0,0.2338174134492874,1.28,0.4000564217567444,1.0,40
80,250925931000.0,0.1414396166801452,2.34,0.3697500228881836,1.75,40
90,281904441000.0,0.0912821292877197,1.5,0.3591655194759369,1.13,40
100,312882951000.0,0.0846126824617385,1.34,0.3590211868286133,1.01,40
101,312882951000.0,0.0846129059791565,1.36,0.3590211868286133,1.01,40
-1,0.0,7.489170074462891,1.14,7.553613185882568,1.0,41
0,3097851000.0,6.314544200897217,1.14,6.375918865203857,1.0,41
10,34076361000.0,1.4929839372634888,1.02,1.5193681716918943,1.0,41
20,65054871000.0,1.3073128461837769,1.02,1.3385530710220337,1.0,41
30,96033381000.0,1.0460022687911987,1.02,1.0890772342681885,1.0,41
40,127011891000.0,0.4689207971096039,1.12,0.5911878943443298,1.0,41
50,157990401000.0,0.2772295773029327,1.3,0.4635071158409118,1.0,41
60,188968911000.0,0.2557823956012726,1.3,0.4525745213031769,1.0,41
70,219947421000.0,0.2250650823116302,1.3,0.4368888437747955,1.0,41
80,250925931000.0,0.1445306986570358,1.38,0.4064995348453522,1.0,41
90,281904441000.0,0.0998568907380104,1.38,0.3971288204193115,1.0,41
100,312882951000.0,0.0938856974244117,1.38,0.3969006836414337,1.0,41
101,312882951000.0,0.0938854068517685,1.38,0.3969006836414337,1.0,41
-1,0.0,7.462060928344727,1.0,7.553613185882568,1.0,42
0,3097851000.0,6.273728370666504,1.0,6.368154048919678,1.0,42
10,34076361000.0,1.4903614521026611,1.02,1.5313434600830078,1.0,42
20,65054871000.0,1.311177134513855,1.02,1.348618745803833,1.0,42
30,96033381000.0,1.0578676462173462,1.02,1.0932011604309082,1.0,42
