Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,0.0,0.0762020349502563,99.6,0.1962532699108123,93.25,0,0,GMP,VGG19,cifar10,0.85
0,23217873600.0,0.0550537519156932,99.76,0.1457537561655044,93.47,0,0,GMP,VGG19,cifar10,0.85
10,255396609600.0,0.0306110139936208,99.76,0.158983901143074,93.54,0,0,GMP,VGG19,cifar10,0.85
20,487575345600.0,0.0292794201523065,99.7,0.1609207689762115,93.43,0,0,GMP,VGG19,cifar10,0.85
30,719754081600.0,0.0447177849709987,99.8,0.1778654754161834,93.48,0,0,GMP,VGG19,cifar10,0.85
40,951932817600.0,0.0381419584155082,99.82,0.1890394538640976,93.5,0,0,GMP,VGG19,cifar10,0.85
50,1184111553600.0,0.0396649353206157,99.8,0.1845651119947433,93.52,0,0,GMP,VGG19,cifar10,0.85
60,1416290289600.0,0.0321156233549118,99.9,0.2204499542713165,93.48,0,0,GMP,VGG19,cifar10,0.85
70,1648469025600.0,0.0411221273243427,99.86,0.209355428814888,93.52,0,0,GMP,VGG19,cifar10,0.85
80,1880647761600.0,0.0393212437629699,99.88,0.2176614254713058,93.44,0,0,GMP,VGG19,cifar10,0.85
90,2112826497600.0,0.0408813431859016,99.92,0.2188720852136612,93.48,0,0,GMP,VGG19,cifar10,0.85
100,2345005233600.0,0.0201641488820314,99.88,0.2280535846948623,93.34,0,0,GMP,VGG19,cifar10,0.85
101,2345005233600.0,0.0290806926786899,99.9,0.2280535846948623,93.34,0,0,GMP,VGG19,cifar10,0.85
-1,0.0,0.0919258147478103,99.54,0.1962532699108123,93.25,1,0,GMP,VGG19,cifar10,0.85
0,23217873600.0,0.0423388928174972,99.6,0.1579476445913314,93.52,1,0,GMP,VGG19,cifar10,0.85
10,255396609600.0,0.0401995629072189,99.68,0.1643535792827606,93.57,1,0,GMP,VGG19,cifar10,0.85
20,487575345600.0,0.0416810847818851,99.72,0.1753156930208206,93.72,1,0,GMP,VGG19,cifar10,0.85
30,719754081600.0,0.0456951223313808,99.64,0.1763389408588409,93.56,1,0,GMP,VGG19,cifar10,0.85
40,951932817600.0,0.0498897694051265,99.76,0.1925747245550155,93.5,1,0,GMP,VGG19,cifar10,0.85
50,1184111553600.0,0.0389960817992687,99.78,0.1997535824775695,93.65,1,0,GMP,VGG19,cifar10,0.85
60,1416290289600.0,0.0387847535312175,99.9,0.1933562904596328,93.6,1,0,GMP,VGG19,cifar10,0.85
70,1648469025600.0,0.054107166826725,99.74,0.1941664218902588,93.58,1,0,GMP,VGG19,cifar10,0.85
80,1880647761600.0,0.0290677268058061,99.82,0.2149897217750549,93.63,1,0,GMP,VGG19,cifar10,0.85
90,2112826497600.0,0.0374469012022018,99.84,0.2220158129930496,93.56,1,0,GMP,VGG19,cifar10,0.85
100,2345005233600.0,0.0257719215005636,99.86,0.2476042062044143,93.62,1,0,GMP,VGG19,cifar10,0.85
101,2345005233600.0,0.0300582349300384,99.84,0.2476042062044143,93.62,1,0,GMP,VGG19,cifar10,0.85
-1,0.0,0.0769081488251686,99.44,0.1962532699108123,93.25,2,0,GMP,VGG19,cifar10,0.85
0,23217873600.0,0.048610046505928,99.7,0.1580080986022949,93.47,2,0,GMP,VGG19,cifar10,0.85
10,255396609600.0,0.0549797415733337,99.76,0.167518064379692,93.59,2,0,GMP,VGG19,cifar10,0.85
20,487575345600.0,0.0370734669268131,99.78,0.1703725904226303,93.63,2,0,GMP,VGG19,cifar10,0.85
30,719754081600.0,0.0227482412010431,99.72,0.1651005893945694,93.66,2,0,GMP,VGG19,cifar10,0.85
40,951932817600.0,0.0402390956878662,99.9,0.1855466067790985,93.46,2,0,GMP,VGG19,cifar10,0.85
50,1184111553600.0,0.0586031265556812,99.78,0.2144868820905685,93.41,2,0,GMP,VGG19,cifar10,0.85
60,1416290289600.0,0.0291559938341379,99.88,0.2236016392707824,93.6,2,0,GMP,VGG19,cifar10,0.85
70,1648469025600.0,0.0572106428444385,99.86,0.2104320973157882,93.64,2,0,GMP,VGG19,cifar10,0.85
80,1880647761600.0,0.0310335326939821,99.84,0.2200992554426193,93.59,2,0,GMP,VGG19,cifar10,0.85
90,2112826497600.0,0.0394625999033451,99.84,0.2394219189882278,93.53,2,0,GMP,VGG19,cifar10,0.85
100,2345005233600.0,0.0307182129472494,99.78,0.2241854667663574,93.59,2,0,GMP,VGG19,cifar10,0.85
101,2345005233600.0,0.0441864430904388,99.86,0.2241854667663574,93.59,2,0,GMP,VGG19,cifar10,0.85
