Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual
-1,0.0,3.3599324226379395,3.98,3.3758645057678223,4.44,0
0,15598208640.0,1.315919280052185,34.82,1.3113187551498413,33.44,0
10,171580295040.0,0.4026386439800262,68.42,0.7182062268257141,58.89,0
20,327562381440.0,0.3860670924186706,75.56,0.7800720930099487,63.89,0
30,483544467840.0,0.3401519656181335,79.88,0.7390274405479431,66.4,0
40,639526554240.0,0.3551013469696045,83.46,0.6918717622756958,67.71,0
50,795508640640.0,0.3697119951248169,85.06,0.8867580890655518,68.36,0
60,951490727040.0,0.3130458891391754,87.18,0.8324064612388611,69.11,0
70,1107472813440.0,0.5163477659225464,89.24,1.0010143518447876,69.23,0
80,1263454899840.0,0.3070077002048492,90.04,0.922923505306244,69.69,0
90,1419436986240.0,0.3426133692264557,91.7,0.9638144969940186,69.91,0
100,1575419072640.0,0.3440914750099182,92.04,0.9406802654266356,70.18,0
101,1575419072640.0,0.3248372077941894,92.36,0.940680205821991,70.18,0
-1,0.0,3.3185505867004395,4.78,3.3758645057678223,4.44,1
0,15598208640.0,1.3338263034820557,35.3,1.3410536050796509,34.14,1
10,171580295040.0,0.4184825718402862,68.08,0.6854254603385925,59.08,1
20,327562381440.0,0.3564513325691223,75.32,0.750192403793335,63.31,1
30,483544467840.0,0.4458990395069122,79.36,0.780613899230957,66.37,1
40,639526554240.0,0.363895982503891,82.12,0.7619457840919495,67.89,1
50,795508640640.0,0.3268978893756866,84.68,0.8193942904472351,68.55,1
60,951490727040.0,0.4038915038108825,86.9,0.9403077363967896,69.05,1
70,1107472813440.0,0.3852086961269378,88.46,0.8462831377983093,69.84,1
80,1263454899840.0,0.4340932667255401,90.44,1.0267281532287598,69.77,1
90,1419436986240.0,0.4733763039112091,90.84,1.0388439893722534,70.15,1
100,1575419072640.0,0.4126323163509369,92.54,1.000695824623108,70.38,1
101,1575419072640.0,0.3960343897342682,91.88,1.0006957054138184,70.38,1
-1,0.0,3.352753162384033,3.86,3.3758645057678223,4.44,2
0,15598208640.0,1.333254337310791,34.74,1.335814118385315,34.13,2
10,171580295040.0,0.4533323347568512,67.68,0.7401553392410278,58.79,2
20,327562381440.0,0.4897975921630859,74.74,0.7797886729240417,63.53,2
30,483544467840.0,0.3336392939090729,79.94,0.8073549270629883,66.1,2
40,639526554240.0,0.3688958287239074,82.9,0.8218739032745361,67.16,2
50,795508640640.0,0.4346364140510559,84.86,0.8594605326652527,68.51,2
60,951490727040.0,0.4232159554958343,87.08,1.0308752059936523,69.09,2
70,1107472813440.0,0.370896965265274,89.22,0.8292554020881653,69.58,2
80,1263454899840.0,0.4170061945915222,89.7,0.949641764163971,69.63,2
90,1419436986240.0,0.38899627327919,91.28,1.0450849533081057,70.21,2
100,1575419072640.0,0.3171182572841644,91.24,0.9697256088256836,70.34,2
101,1575419072640.0,0.3349226415157318,92.32,0.9697256088256836,70.34,2
-1,0.0,3.4103124141693115,4.22,3.3758645057678223,4.44,3
0,15598208640.0,1.3041188716888428,36.28,1.3333934545516968,33.83,3
10,171580295040.0,0.3673615455627441,69.0,0.5776330232620239,59.34,3
20,327562381440.0,0.3936409950256347,75.28,0.7195821404457092,63.52,3
30,483544467840.0,0.3877953290939331,79.94,0.7740066647529602,65.68,3
40,639526554240.0,0.4008327126502991,82.32,0.8965498208999634,67.12,3
50,795508640640.0,0.3975856602191925,84.72,0.897749125957489,67.71,3
60,951490727040.0,0.3327951431274414,87.06,0.879001796245575,68.54,3
70,1107472813440.0,0.3435735702514648,88.14,0.934132754802704,68.86,3
80,1263454899840.0,0.3726212382316589,89.68,0.8763254880905151,69.43,3
90,1419436986240.0,0.3912636041641235,90.36,1.0140860080718994,69.24,3
100,1575419072640.0,0.3981321454048157,91.56,1.0550882816314695,69.74,3
101,1575419072640.0,0.4188790321350097,91.26,1.0550882816314695,69.74,3
-1,0.0,3.2976789474487305,4.18,3.3758645057678223,4.44,4
0,15598208640.0,1.3072370290756226,35.76,1.3566211462020874,33.62,4
10,171580295040.0,0.4233397841453552,68.48,0.6710225939750671,58.8,4
20,327562381440.0,0.3842189013957977,75.06,0.7890113592147827,63.52,4
30,483544467840.0,0.3956534266471863,79.72,0.7511239647865295,66.23,4
40,639526554240.0,0.3247749209403991,82.84,0.7309693098068237,67.95,4
50,795508640640.0,0.428447425365448,85.34,0.8525067567825317,68.43,4
60,951490727040.0,0.3706545829772949,86.4,0.8016552925109863,69.4,4
70,1107472813440.0,0.4115052223205566,88.5,0.9210515022277832,69.69,4
80,1263454899840.0,0.347526490688324,89.44,0.7735230922698975,69.83,4
90,1419436986240.0,0.3548110425472259,91.16,0.9356110095977784,69.75,4
100,1575419072640.0,0.4424781501293182,92.2,1.04725182056427,69.99,4
101,1575419072640.0,0.4494962990283966,92.12,1.04725182056427,69.99,4
-1,0.0,3.3925838470458984,4.42,3.3758645057678223,4.44,5
0,15598208640.0,1.3091217279434204,36.38,1.267669916152954,34.95,5
10,171580295040.0,0.4249408841133117,68.14,0.6662389636039734,59.1,5
20,327562381440.0,0.387712687253952,75.1,0.7847524881362915,63.61,5
30,483544467840.0,0.3841224312782287,80.1,0.6526297926902771,65.93,5
40,639526554240.0,0.3616028428077698,83.04,0.7965549230575562,67.14,5
50,795508640640.0,0.422417402267456,85.7,0.8370779752731323,68.46,5
60,951490727040.0,0.6072094440460205,87.4,1.0363165140151978,68.44,5
70,1107472813440.0,0.4563156068325043,88.68,0.9912956357002258,69.17,5
80,1263454899840.0,0.433899313211441,89.76,0.8517526388168335,69.85,5
90,1419436986240.0,0.3555789291858673,91.66,0.8657572269439697,70.08,5
100,1575419072640.0,0.3369706571102142,92.04,0.8431934118270874,70.22,5
101,1575419072640.0,0.337323248386383,91.68,0.8431934118270874,70.22,5
-1,0.0,3.3398516178131104,4.38,3.3758645057678223,4.44,6
0,15598208640.0,1.3244690895080566,35.52,1.2968688011169434,33.79,6
10,171580295040.0,0.4264454245567322,68.9,0.6505749821662903,59.23,6
20,327562381440.0,0.3788721859455108,75.44,0.6789355278015137,63.39,6
30,483544467840.0,0.3328848481178283,80.96,0.7154040336608887,66.18,6
40,639526554240.0,0.3898414671421051,83.3,0.7744941711425781,67.51,6
50,795508640640.0,0.4672722816467285,85.68,0.9391741752624512,68.05,6
60,951490727040.0,0.4034344851970672,87.56,0.8977958559989929,68.79,6
70,1107472813440.0,0.4687821865081787,88.32,0.8880141973495483,69.29,6
80,1263454899840.0,0.4027650654315948,90.42,0.8649132251739502,69.62,6
90,1419436986240.0,0.4507239162921905,91.3,0.9695112705230712,69.66,6
100,1575419072640.0,0.3531897366046905,92.52,0.9434714317321776,69.99,6
101,1575419072640.0,0.3040319681167602,92.16,0.9434714913368224,69.99,6
-1,0.0,3.33569073677063,4.44,3.3758645057678223,4.44,7
0,15598208640.0,1.2954590320587158,35.94,1.2885907888412476,33.81,7
10,171580295040.0,0.4366883635520935,69.0,0.6830852031707764,59.02,7
20,327562381440.0,0.3742599785327911,76.54,0.6712850332260132,63.39,7
30,483544467840.0,0.3227736949920654,80.86,0.6362212300300598,66.16,7
40,639526554240.0,0.3418368101119995,83.14,0.652321994304657,67.53,7
50,795508640640.0,0.3688504993915558,86.06,0.7661855816841125,68.45,7
60,951490727040.0,0.4002497494220733,86.98,0.8427048921585083,68.74,7
70,1107472813440.0,0.4286775290966034,89.02,0.9522170424461364,69.24,7
80,1263454899840.0,0.3368300199508667,90.18,0.8679513335227966,69.81,7
90,1419436986240.0,0.4205634295940399,91.6,0.9787869453430176,69.68,7
100,1575419072640.0,0.3795541822910309,92.76,0.9706860780715942,70.1,7
101,1575419072640.0,0.3605504631996155,91.96,0.9706860780715942,70.1,7
-1,0.0,3.323057174682617,4.78,3.3758645057678223,4.44,8
