Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,0.0,0.0948297977447509,99.54,0.1604905277490615,94.2,0,0,GMP,resnet50,cifar10,0.8
0,45504001920.0,0.0408882796764373,99.94,0.0889152809977531,94.96,0,0,GMP,resnet50,cifar10,0.8
10,500544021120.0,0.0214585475623607,99.94,0.1067559346556663,95.0,0,0,GMP,resnet50,cifar10,0.8
20,955584040320.0,0.0320243425667285,99.94,0.1238714158535003,94.89,0,0,GMP,resnet50,cifar10,0.8
30,1410624059520.0,0.0252656713128089,99.88,0.1270138919353485,94.91,0,0,GMP,resnet50,cifar10,0.8
40,1865664078720.0,0.0185168031603097,99.92,0.12855064868927,94.9,0,0,GMP,resnet50,cifar10,0.8
50,2320704097920.0,0.0136800175532698,99.94,0.1334782540798187,94.87,0,0,GMP,resnet50,cifar10,0.8
60,2775744117120.0,0.0220416262745857,99.94,0.1230831146240234,94.91,0,0,GMP,resnet50,cifar10,0.8
70,3230784136320.0,0.0158442612737417,99.92,0.1237990409135818,94.91,0,0,GMP,resnet50,cifar10,0.8
80,3685824155520.0,0.0267737824469804,99.96,0.161237433552742,94.81,0,0,GMP,resnet50,cifar10,0.8
90,4140864174720.0,0.0202973112463951,99.98,0.127389907836914,94.81,0,0,GMP,resnet50,cifar10,0.8
100,4595904193920.0,0.0134390816092491,99.98,0.1617965847253799,94.86,0,0,GMP,resnet50,cifar10,0.8
101,4595904193920.0,0.0120836067944765,99.98,0.1617965102195739,94.86,0,0,GMP,resnet50,cifar10,0.8
-1,0.0,0.0965632125735282,99.58,0.1604905277490615,94.2,1,0,GMP,resnet50,cifar10,0.8
0,45504001920.0,0.045312725007534,99.8,0.093956246972084,94.9,1,0,GMP,resnet50,cifar10,0.8
10,500544021120.0,0.0246555991470813,99.84,0.1019265800714492,95.0,1,0,GMP,resnet50,cifar10,0.8
20,955584040320.0,0.0218183156102895,99.9,0.1150844395160675,94.91,1,0,GMP,resnet50,cifar10,0.8
30,1410624059520.0,0.0165299233049154,99.92,0.1261473596096038,94.87,1,0,GMP,resnet50,cifar10,0.8
40,1865664078720.0,0.0162516608834266,99.92,0.1171349734067916,94.89,1,0,GMP,resnet50,cifar10,0.8
50,2320704097920.0,0.023853363469243,99.96,0.1156800910830497,94.94,1,0,GMP,resnet50,cifar10,0.8
60,2775744117120.0,0.0151027804240584,99.98,0.1269717216491699,94.86,1,0,GMP,resnet50,cifar10,0.8
70,3230784136320.0,0.0161189697682857,99.96,0.1377345621585846,94.9,1,0,GMP,resnet50,cifar10,0.8
80,3685824155520.0,0.0175424981862306,99.94,0.135928139090538,94.81,1,0,GMP,resnet50,cifar10,0.8
90,4140864174720.0,0.0137018403038382,99.98,0.1468030661344528,94.82,1,0,GMP,resnet50,cifar10,0.8
100,4595904193920.0,0.0177623573690652,99.96,0.1503451913595199,94.83,1,0,GMP,resnet50,cifar10,0.8
101,4595904193920.0,0.0206279680132865,99.96,0.1503451913595199,94.83,1,0,GMP,resnet50,cifar10,0.8
-1,0.0,0.1095419228076934,99.58,0.1604905277490615,94.2,2,0,GMP,resnet50,cifar10,0.8
0,45504001920.0,0.0453607365489006,99.9,0.1027513891458511,94.9,2,0,GMP,resnet50,cifar10,0.8
10,500544021120.0,0.0199842657893896,99.92,0.1216649711132049,94.98,2,0,GMP,resnet50,cifar10,0.8
20,955584040320.0,0.0188350100070238,99.96,0.1191450282931327,94.9,2,0,GMP,resnet50,cifar10,0.8
30,1410624059520.0,0.019873708486557,99.96,0.137737825512886,94.86,2,0,GMP,resnet50,cifar10,0.8
40,1865664078720.0,0.0115071376785635,100.0,0.1480238884687423,94.85,2,0,GMP,resnet50,cifar10,0.8
50,2320704097920.0,0.0177953373640775,99.92,0.1419918090105056,94.83,2,0,GMP,resnet50,cifar10,0.8
60,2775744117120.0,0.0144656468182802,99.92,0.1645208746194839,94.82,2,0,GMP,resnet50,cifar10,0.8
70,3230784136320.0,0.017322339117527,99.96,0.1503880023956298,94.76,2,0,GMP,resnet50,cifar10,0.8
80,3685824155520.0,0.0129775060340762,99.94,0.1605662107467651,94.89,2,0,GMP,resnet50,cifar10,0.8
90,4140864174720.0,0.018432417884469,99.98,0.173353910446167,94.84,2,0,GMP,resnet50,cifar10,0.8
100,4595904193920.0,0.012311927974224,100.0,0.1652215868234634,94.69,2,0,GMP,resnet50,cifar10,0.8
101,4595904193920.0,0.020332783460617,99.98,0.1652216166257858,94.69,2,0,GMP,resnet50,cifar10,0.8
