Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,0.0,0.6131996512413025,93.98,0.6870718002319336,68.8,0,0,LAMP,VGG19,cifar100,0.8
0,19876585440.0,0.2396393418312072,96.98,0.4106076955795288,71.14,0,0,LAMP,VGG19,cifar100,0.8
10,218642439840.0,0.1249914020299911,97.8,0.3593065738677978,71.91,0,0,LAMP,VGG19,cifar100,0.8
20,417408294240.0,0.1014623120427131,98.76,0.367482990026474,71.81,0,0,LAMP,VGG19,cifar100,0.8
30,616174148640.0,0.0918830409646034,98.58,0.3833256661891937,72.12,0,0,LAMP,VGG19,cifar100,0.8
40,814940003040.0,0.0777629613876342,98.5,0.3898230791091919,72.1,0,0,LAMP,VGG19,cifar100,0.8
50,1013705857440.0,0.0756325647234916,98.78,0.4069749414920807,72.31,0,0,LAMP,VGG19,cifar100,0.8
60,1212471711840.0,0.0651341751217842,99.0,0.4115383327007293,72.09,0,0,LAMP,VGG19,cifar100,0.8
70,1411237566240.0,0.0686177983880043,98.96,0.4287193715572357,72.19,0,0,LAMP,VGG19,cifar100,0.8
80,1610003420640.0,0.0602262131869792,99.16,0.4345406889915466,72.08,0,0,LAMP,VGG19,cifar100,0.8
90,1808769275040.0,0.0795554742217063,99.0,0.4565899670124054,72.15,0,0,LAMP,VGG19,cifar100,0.8
100,2007535129440.0,0.0646774992346763,99.2,0.4644221365451813,71.9,0,0,LAMP,VGG19,cifar100,0.8
101,2007535129440.0,0.0591970160603523,99.1,0.4644221365451813,71.9,0,0,LAMP,VGG19,cifar100,0.8
-1,0.0,0.6340137720108032,93.96,0.6870718002319336,68.8,1,0,LAMP,VGG19,cifar100,0.8
0,19876585440.0,0.268241822719574,97.06,0.4136048555374145,71.07,1,0,LAMP,VGG19,cifar100,0.8
10,218642439840.0,0.1277125924825668,97.96,0.3471748530864715,71.97,1,0,LAMP,VGG19,cifar100,0.8
20,417408294240.0,0.0881643667817115,98.38,0.344131201505661,71.97,1,0,LAMP,VGG19,cifar100,0.8
30,616174148640.0,0.081435889005661,98.62,0.3480713665485382,72.09,1,0,LAMP,VGG19,cifar100,0.8
40,814940003040.0,0.0921837612986564,98.64,0.3695849180221557,72.09,1,0,LAMP,VGG19,cifar100,0.8
50,1013705857440.0,0.0823244377970695,98.7,0.3711423277854919,72.13,1,0,LAMP,VGG19,cifar100,0.8
60,1212471711840.0,0.0746887102723121,98.76,0.3978201448917389,72.32,1,0,LAMP,VGG19,cifar100,0.8
70,1411237566240.0,0.0717499256134033,98.98,0.3962791264057159,72.2,1,0,LAMP,VGG19,cifar100,0.8
80,1610003420640.0,0.0862222239375114,98.98,0.415135771036148,72.24,1,0,LAMP,VGG19,cifar100,0.8
90,1808769275040.0,0.113954946398735,99.14,0.4166993498802185,72.12,1,0,LAMP,VGG19,cifar100,0.8
100,2007535129440.0,0.0561548694968223,99.36,0.4149276316165924,72.2,1,0,LAMP,VGG19,cifar100,0.8
101,2007535129440.0,0.0526444688439369,98.78,0.4149276316165924,72.2,1,0,LAMP,VGG19,cifar100,0.8
-1,0.0,0.6102760434150696,93.04,0.6870718002319336,68.8,2,0,LAMP,VGG19,cifar100,0.8
0,19876585440.0,0.2806657552719116,96.78,0.4075347483158111,71.19,2,0,LAMP,VGG19,cifar100,0.8
10,218642439840.0,0.1296487152576446,97.84,0.3597273528575897,71.89,2,0,LAMP,VGG19,cifar100,0.8
20,417408294240.0,0.0995286554098129,98.06,0.3646086454391479,72.1,2,0,LAMP,VGG19,cifar100,0.8
30,616174148640.0,0.0851048901677131,98.58,0.3852089941501617,72.17,2,0,LAMP,VGG19,cifar100,0.8
40,814940003040.0,0.0777266696095466,98.92,0.4114564955234527,72.19,2,0,LAMP,VGG19,cifar100,0.8
50,1013705857440.0,0.0761629194021225,98.72,0.4304356873035431,72.11,2,0,LAMP,VGG19,cifar100,0.8
60,1212471711840.0,0.0579695925116539,98.98,0.4301301836967468,72.16,2,0,LAMP,VGG19,cifar100,0.8
70,1411237566240.0,0.0745899379253387,98.94,0.4331599175930023,71.97,2,0,LAMP,VGG19,cifar100,0.8
80,1610003420640.0,0.0641434267163276,99.02,0.4414147734642029,72.14,2,0,LAMP,VGG19,cifar100,0.8
90,1808769275040.0,0.0754022598266601,99.14,0.4612484574317932,72.04,2,0,LAMP,VGG19,cifar100,0.8
100,2007535129440.0,0.066111721098423,99.14,0.4630151391029358,72.06,2,0,LAMP,VGG19,cifar100,0.8
101,2007535129440.0,0.0631155520677566,99.06,0.4630151391029358,72.06,2,0,LAMP,VGG19,cifar100,0.8
