Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual
-1,0.0,0.2521368861198425,96.68,0.2717334628105163,91.07,0
0,2554684080.0,0.1746800392866134,97.34,0.181468203663826,91.71,0
10,28101524880.0,0.0704120099544525,98.42,0.1445223987102508,92.46,0
20,53648365680.0,0.0691149979829788,98.46,0.1547913253307342,92.44,0
30,79195206480.0,0.0871514901518821,98.52,0.1525836437940597,92.5,0
40,104742047280.0,0.0528427213430404,98.9,0.1572652757167816,92.69,0
50,130288888080.0,0.0695047676563263,98.52,0.1661916673183441,92.73,0
60,155835728880.0,0.0656867027282714,98.66,0.1666108220815658,92.74,0
70,181382569680.0,0.0661560520529747,98.76,0.161880075931549,92.73,0
80,206929410480.0,0.0577513203024864,98.96,0.1646832972764969,92.86,0
90,232476251280.0,0.0591748468577861,99.18,0.1663373261690139,92.95,0
100,258023092080.0,0.0449424535036087,99.1,0.1725587397813797,92.92,0
101,258023092080.0,0.0621011927723884,98.96,0.1725587397813797,92.92,0
-1,0.0,0.2451824992895126,96.84,0.2717334628105163,91.07,1
0,2554684080.0,0.188960388302803,97.32,0.182145670056343,91.74,1
10,28101524880.0,0.0877211987972259,98.48,0.153328999876976,92.51,1
20,53648365680.0,0.0784682780504226,98.46,0.1542819887399673,92.48,1
30,79195206480.0,0.0738621726632118,98.4,0.1434009075164795,92.57,1
40,104742047280.0,0.0997852087020874,98.6,0.1693439781665802,92.65,1
50,130288888080.0,0.07632677257061,98.62,0.1555932015180587,92.76,1
60,155835728880.0,0.0985084474086761,98.76,0.1628830432891845,92.78,1
70,181382569680.0,0.0644450858235359,98.72,0.1681312173604965,92.85,1
80,206929410480.0,0.0611392110586166,98.8,0.1909370571374893,92.86,1
90,232476251280.0,0.0701370686292648,98.86,0.1810900419950485,92.95,1
100,258023092080.0,0.0763299539685249,98.96,0.1779537349939346,92.91,1
101,258023092080.0,0.0764316692948341,98.84,0.1779537349939346,92.91,1
-1,0.0,0.2264497280120849,96.78,0.2717334628105163,91.07,2
0,2554684080.0,0.1659229546785354,97.32,0.1815098077058792,91.7,2
10,28101524880.0,0.0810944586992263,98.34,0.1398850679397583,92.4,2
20,53648365680.0,0.0601682513952255,98.52,0.1418865025043487,92.48,2
30,79195206480.0,0.0597723498940467,98.2,0.146391287446022,92.45,2
40,104742047280.0,0.0819275602698326,98.9,0.1697843670845031,92.66,2
50,130288888080.0,0.0773442834615707,98.74,0.1571377664804458,92.73,2
60,155835728880.0,0.060227233916521,98.7,0.1602185219526291,92.78,2
70,181382569680.0,0.0629526451230049,98.96,0.1575887948274612,92.84,2
80,206929410480.0,0.0722341015934944,99.16,0.1808612942695617,92.87,2
90,232476251280.0,0.056813795119524,99.16,0.1832022815942764,92.89,2
100,258023092080.0,0.0562174916267395,98.86,0.1824076324701309,92.91,2
101,258023092080.0,0.0616747103631496,98.9,0.1824076324701309,92.91,2
-1,0.0,0.2309874892234802,97.0,0.2717334628105163,91.07,3
0,2554684080.0,0.1660010665655136,97.34,0.1831955462694168,91.71,3
10,28101524880.0,0.0685311034321785,98.46,0.13704514503479,92.4,3
20,53648365680.0,0.0697529017925262,98.26,0.136205106973648,92.46,3
30,79195206480.0,0.0706422254443168,98.4,0.1335663199424743,92.54,3
40,104742047280.0,0.069608137011528,98.56,0.1408162266016006,92.67,3
50,130288888080.0,0.0706719830632209,98.88,0.1495157480239868,92.81,3
60,155835728880.0,0.0610636956989765,98.92,0.1445429474115371,92.82,3
70,181382569680.0,0.0583763681352138,98.8,0.1431495398283004,92.86,3
80,206929410480.0,0.0504170171916484,99.06,0.1649814397096634,92.95,3
90,232476251280.0,0.0642250627279281,98.92,0.1536110788583755,93.01,3
100,258023092080.0,0.082702524960041,98.96,0.1571168303489685,93.01,3
101,258023092080.0,0.0711062848567962,99.16,0.1571168452501297,93.01,3
-1,0.0,0.2497726380825042,96.72,0.2717334628105163,91.07,4
0,2554684080.0,0.1562899500131607,97.58,0.1867420226335525,91.69,4
10,28101524880.0,0.0916773974895477,98.28,0.1432696878910064,92.46,4
20,53648365680.0,0.0657729655504226,98.14,0.1437500715255737,92.49,4
30,79195206480.0,0.0618809945881366,98.4,0.1491820514202118,92.58,4
40,104742047280.0,0.0658551007509231,98.7,0.1563916951417923,92.71,4
50,130288888080.0,0.0833331570029258,98.6,0.1609241366386413,92.86,4
60,155835728880.0,0.072347953915596,98.78,0.1567981392145156,92.83,4
70,181382569680.0,0.0727944895625114,98.52,0.1659532040357589,92.8,4
80,206929410480.0,0.070711001753807,99.2,0.1681718677282333,92.92,4
90,232476251280.0,0.0747726261615753,99.2,0.1607944965362548,92.92,4
100,258023092080.0,0.0673872828483581,98.82,0.1630155444145202,92.94,4
101,258023092080.0,0.0612949691712856,99.02,0.1630155444145202,92.94,4
-1,0.0,0.2399125397205352,97.1,0.2717334628105163,91.07,5
0,2554684080.0,0.1866104304790496,97.7,0.1858762949705124,91.71,5
10,28101524880.0,0.0611018873751163,98.72,0.1705003678798675,92.49,5
20,53648365680.0,0.0650965198874473,98.74,0.1695435494184494,92.48,5
30,79195206480.0,0.0703657269477844,98.4,0.1808924973011016,92.56,5
40,104742047280.0,0.0778100043535232,98.88,0.2180172502994537,92.63,5
50,130288888080.0,0.0689949393272399,98.92,0.2138670682907104,92.7,5
60,155835728880.0,0.0588443465530872,98.86,0.2186730057001114,92.71,5
70,181382569680.0,0.0590086840093135,98.96,0.2159575521945953,92.75,5
80,206929410480.0,0.0472575947642326,98.9,0.2223647385835647,92.82,5
90,232476251280.0,0.0777949839830398,99.3,0.2126355618238449,92.85,5
100,258023092080.0,0.079322412610054,98.96,0.2107894569635391,92.85,5
101,258023092080.0,0.0716793984174728,99.2,0.2107894569635391,92.85,5
-1,0.0,0.2349072098731994,97.26,0.2717334628105163,91.07,6
0,2554684080.0,0.1711382120847702,97.68,0.183600828051567,91.74,6
10,28101524880.0,0.0685789957642555,98.48,0.1633137315511703,92.38,6
20,53648365680.0,0.0641367807984352,98.62,0.158482477068901,92.44,6
30,79195206480.0,0.0779705420136451,98.5,0.1554838716983795,92.53,6
40,104742047280.0,0.0737727209925651,98.48,0.1669048070907592,92.67,6
50,130288888080.0,0.065005324780941,98.86,0.1979182511568069,92.71,6
60,155835728880.0,0.0670507550239563,98.72,0.2020896822214126,92.68,6
70,181382569680.0,0.0732039511203765,98.96,0.1910243928432464,92.77,6
80,206929410480.0,0.0626650601625442,98.66,0.2075229436159134,92.75,6
90,232476251280.0,0.0537429638206958,99.04,0.2127924859523773,92.84,6
100,258023092080.0,0.0465696938335895,99.12,0.2124965935945511,92.85,6
101,258023092080.0,0.0617197453975677,98.92,0.2124965935945511,92.85,6
-1,0.0,0.2541464567184448,97.46,0.2717334628105163,91.07,7
0,2554684080.0,0.168149396777153,97.46,0.1867565810680389,91.7,7
10,28101524880.0,0.0662765726447105,98.24,0.1398817002773285,92.43,7
20,53648365680.0,0.0778665840625763,98.6,0.1405142247676849,92.41,7
30,79195206480.0,0.0705584064126014,98.4,0.1405964344739914,92.48,7
40,104742047280.0,0.0654288902878761,98.76,0.1519470959901809,92.57,7
50,130288888080.0,0.0587723068892955,98.8,0.155409500002861,92.64,7
60,155835728880.0,0.0651765540242195,98.88,0.1614350229501724,92.6,7
70,181382569680.0,0.0802532657980918,99.02,0.1557385027408599,92.68,7
80,206929410480.0,0.05794532969594,98.58,0.1531889587640762,92.77,7
90,232476251280.0,0.0574788264930248,99.1,0.1626025587320327,92.84,7
100,258023092080.0,0.0741157233715057,98.9,0.1674798876047134,92.75,7
101,258023092080.0,0.0743553414940834,99.36,0.1674798876047134,92.75,7
-1,0.0,0.2354322671890258,97.06,0.2717334628105163,91.07,8
0,2554684080.0,0.1564186960458755,97.4,0.1874792426824569,91.69,8
10,28101524880.0,0.0689311102032661,98.44,0.1701739132404327,92.33,8
20,53648365680.0,0.0680687651038169,98.18,0.1672364473342895,92.39,8
30,79195206480.0,0.0652120485901832,98.1,0.1787978261709213,92.43,8
40,104742047280.0,0.0677073821425437,98.56,0.1932513266801834,92.6,8
50,130288888080.0,0.0722593516111373,98.64,0.1810140758752823,92.71,8
60,155835728880.0,0.0724160820245742,98.82,0.1884483098983764,92.69,8
70,181382569680.0,0.0609981529414653,98.84,0.1964131742715835,92.69,8
80,206929410480.0,0.0584171861410141,98.76,0.1800944954156875,92.77,8
90,232476251280.0,0.0753916576504707,98.7,0.1861602962017059,92.87,8
100,258023092080.0,0.0659606903791427,99.08,0.1885669529438018,92.89,8
101,258023092080.0,0.0793224796652793,98.86,0.1885669529438018,92.89,8
-1,0.0,0.2533774375915527,96.86,0.2717334628105163,91.07,9
0,2554684080.0,0.1807564198970794,97.56,0.1903588622808456,91.66,9
10,28101524880.0,0.0913869589567184,98.74,0.1585146784782409,92.43,9
20,53648365680.0,0.0686311721801757,98.5,0.1584565490484237,92.52,9
