Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,0.0,0.9178755283355712,3.4074391805916093e-06,78.82,0.8445047736167908,3.4559282084956067e-06,77.8,0,0,LAMP,resnet18,cifar10,0.9
0,4331471520.0,0.5165210366249084,2.500961272744462e-06,90.86,0.4547766149044037,2.637189481902169e-06,87.17,0,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1271120309829712,5.593823061644798e-06,96.22,0.1461454480886459,4.389084097056184e-06,91.96,0,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.1087088137865066,6.239026333787479e-06,96.32,0.1435016989707946,4.479270501178689e-06,92.1,0,0,LAMP,resnet18,cifar10,0.9
30,134275617120.0,0.1021075993776321,5.494619472301565e-06,96.84,0.1344295144081115,5.097212124383077e-06,92.19,0,0,LAMP,resnet18,cifar10,0.9
40,177590332320.0,0.0804764553904533,5.317908744473243e-06,96.98,0.1291874051094055,6.121744263509754e-06,92.45,0,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0656885430216789,7.183265552157536e-06,97.54,0.1312415599822998,7.02336865288089e-06,92.64,0,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.0698991566896438,9.239508472091984e-06,97.28,0.1327918767929077,7.085379820637172e-06,92.62,0,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0699343383312225,8.473654816043563e-06,97.48,0.1313933134078979,7.408728379232343e-06,92.65,0,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.0658107697963714,9.033308742800727e-06,97.74,0.1371637731790542,8.817353773338255e-06,92.82,0,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.0590660460293293,9.271211638406385e-06,98.2,0.1504524499177932,9.840779057412874e-06,92.83,0,0,LAMP,resnet18,cifar10,0.9
-1,0.0,0.9296488761901855,4.112389433430508e-06,78.16,0.8445047736167908,3.4559279811219312e-06,77.8,1,0,LAMP,resnet18,cifar10,0.9
0,4331471520.0,0.5360515117645264,3.906967776856618e-06,89.96,0.4557835459709167,2.581596390882624e-06,87.19,1,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1315363645553589,5.481755579239689e-06,96.6,0.1678450852632522,3.976778771175304e-06,91.91,1,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.1148387044668197,5.975607109576231e-06,97.02,0.1567540764808654,4.300436103221728e-06,92.03,1,0,LAMP,resnet18,cifar10,0.9
30,134275617120.0,0.1004847139120101,7.4892341217491776e-06,96.82,0.1528852730989456,4.558242380880984e-06,92.15,1,0,LAMP,resnet18,cifar10,0.9
40,177590332320.0,0.0785490572452545,8.544915544916876e-06,97.04,0.1347122341394424,5.947850240772823e-06,92.4,1,0,LAMP,resnet18,cifar10,0.9
50,220905047520.0,0.0738002136349678,8.720367077330593e-06,97.3,0.1424585580825805,7.205040674307384e-06,92.53,1,0,LAMP,resnet18,cifar10,0.9
60,264219762720.0,0.0628126263618469,1.0921801731456073e-05,97.4,0.1417903155088424,7.196841579570901e-06,92.59,1,0,LAMP,resnet18,cifar10,0.9
70,307534477920.0,0.0634967535734176,8.7419166447944e-06,97.42,0.1394331902265548,7.268898571055615e-06,92.56,1,0,LAMP,resnet18,cifar10,0.9
80,350849193120.0,0.0550571493804454,1.3195554856793024e-05,97.4,0.150248572230339,9.028217391460204e-06,92.69,1,0,LAMP,resnet18,cifar10,0.9
90,394163908320.0,0.051627080887556,1.2138961210439447e-05,97.84,0.1483539789915084,1.0605102033878213e-05,92.84,1,0,LAMP,resnet18,cifar10,0.9
-1,0.0,0.9131275415420532,2.937043291240116e-06,77.2,0.8445048332214355,3.4559282084956067e-06,77.8,2,0,LAMP,resnet18,cifar10,0.9
0,4331471520.0,0.5209633111953735,2.3310735741688404e-06,89.74,0.4486804604530334,2.663662371560349e-06,87.37,2,0,LAMP,resnet18,cifar10,0.9
10,47646186720.0,0.1322646737098693,5.634249646391254e-06,96.76,0.1454249769449234,4.5440037865773775e-06,91.94,2,0,LAMP,resnet18,cifar10,0.9
20,90960901920.0,0.1265753358602523,5.980804417049512e-06,96.68,0.1442015022039413,4.809668098459952e-06,92.02,2,0,LAMP,resnet18,cifar10,0.9
