Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,0.0,3.6238455772399902,22.16,3.73081374168396,22.45,0,0,LAMP,resnet50,cifar10,0.95
0,15091847040.0,0.3816535174846649,78.86,0.3690909743309021,78.73,0,0,LAMP,resnet50,cifar10,0.95
10,166010317440.0,0.190977081656456,91.0,0.213202103972435,87.71,0,0,LAMP,resnet50,cifar10,0.95
20,316928787840.0,0.1158108487725257,94.42,0.1749423295259475,89.48,0,0,LAMP,resnet50,cifar10,0.95
30,467847258240.0,0.1229418814182281,95.72,0.2209131568670272,89.98,0,0,LAMP,resnet50,cifar10,0.95
40,618765728640.0,0.1442882567644119,96.6,0.1955950260162353,90.93,0,0,LAMP,resnet50,cifar10,0.95
50,769684199040.0,0.1791883707046508,96.96,0.2057974487543106,90.84,0,0,LAMP,resnet50,cifar10,0.95
60,920602669440.0,0.1111836358904838,97.56,0.1816693544387817,91.23,0,0,LAMP,resnet50,cifar10,0.95
70,1071521139840.0,0.1082834005355835,97.92,0.2477671802043914,91.38,0,0,LAMP,resnet50,cifar10,0.95
80,1222439610240.0,0.1340350806713104,98.06,0.1845216453075409,91.26,0,0,LAMP,resnet50,cifar10,0.95
90,1373358080640.0,0.1782073527574539,98.18,0.3343394994735718,91.73,0,0,LAMP,resnet50,cifar10,0.95
100,1524276551040.0,0.1044102981686592,98.72,0.2352467328310012,91.79,0,0,LAMP,resnet50,cifar10,0.95
101,1524276551040.0,0.082035593688488,98.48,0.2352466881275177,91.79,0,0,LAMP,resnet50,cifar10,0.95
-1,0.0,3.614119529724121,22.42,3.73081374168396,22.45,1,0,LAMP,resnet50,cifar10,0.95
0,15091847040.0,0.4272171854972839,80.22,0.4201517701148987,79.33,1,0,LAMP,resnet50,cifar10,0.95
10,166010317440.0,0.1728107929229736,91.22,0.1777509152889251,87.76,1,0,LAMP,resnet50,cifar10,0.95
20,316928787840.0,0.236419603228569,93.8,0.2800928652286529,89.27,1,0,LAMP,resnet50,cifar10,0.95
30,467847258240.0,0.1366808712482452,95.02,0.1954895555973053,89.99,1,0,LAMP,resnet50,cifar10,0.95
40,618765728640.0,0.1156742721796035,96.06,0.1931556910276413,90.38,1,0,LAMP,resnet50,cifar10,0.95
50,769684199040.0,0.098891794681549,96.92,0.1457827687263488,90.98,1,0,LAMP,resnet50,cifar10,0.95
60,920602669440.0,0.122653380036354,97.02,0.1488337516784668,91.16,1,0,LAMP,resnet50,cifar10,0.95
70,1071521139840.0,0.1351460963487625,97.28,0.2160318791866302,91.05,1,0,LAMP,resnet50,cifar10,0.95
80,1222439610240.0,0.0626796260476112,97.88,0.1599428504705429,91.23,1,0,LAMP,resnet50,cifar10,0.95
90,1373358080640.0,0.0898616164922714,98.44,0.160970002412796,91.45,1,0,LAMP,resnet50,cifar10,0.95
100,1524276551040.0,0.0497167035937309,98.4,0.1466760784387588,91.42,1,0,LAMP,resnet50,cifar10,0.95
101,1524276551040.0,0.0529739744961261,98.82,0.1466760635375976,91.42,1,0,LAMP,resnet50,cifar10,0.95
-1,0.0,3.625778436660767,23.28,3.73081374168396,22.45,2,0,LAMP,resnet50,cifar10,0.95
0,15091847040.0,0.3986313641071319,80.36,0.4150298535823822,78.83,2,0,LAMP,resnet50,cifar10,0.95
10,166010317440.0,0.2512698173522949,92.04,0.2054993510246276,87.92,2,0,LAMP,resnet50,cifar10,0.95
20,316928787840.0,0.1417164802551269,93.88,0.1526632308959961,89.44,2,0,LAMP,resnet50,cifar10,0.95
30,467847258240.0,0.2678495347499847,95.3,0.2911999821662903,90.12,2,0,LAMP,resnet50,cifar10,0.95
40,618765728640.0,0.0949426516890525,96.6,0.1423392593860626,90.84,2,0,LAMP,resnet50,cifar10,0.95
50,769684199040.0,0.0939492136240005,97.36,0.1499470025300979,91.08,2,0,LAMP,resnet50,cifar10,0.95
60,920602669440.0,0.1857315450906753,97.26,0.2713819742202759,91.2,2,0,LAMP,resnet50,cifar10,0.95
70,1071521139840.0,0.1293534338474273,98.26,0.2152860760688781,91.38,2,0,LAMP,resnet50,cifar10,0.95
80,1222439610240.0,0.0574313811957836,98.2,0.1542674601078033,91.53,2,0,LAMP,resnet50,cifar10,0.95
90,1373358080640.0,0.0714049786329269,98.2,0.1701026111841201,91.5,2,0,LAMP,resnet50,cifar10,0.95
100,1524276551040.0,0.0872174203395843,98.56,0.2095145285129547,91.4,2,0,LAMP,resnet50,cifar10,0.95
101,1524276551040.0,0.0631415098905563,98.82,0.2095145434141159,91.4,2,0,LAMP,resnet50,cifar10,0.95
