Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,135970464.0,2.161799192428589,34.84,2.2058537006378174,32.23,0,0.003,VGG19,GMP,cifar10,0.9
0,16452426144.0,0.2030607312917709,99.38,0.208963930606842,92.93,0,0.003,VGG19,GMP,cifar10,0.9
10,179616982944.0,0.0484611615538597,99.56,0.1398172229528427,93.36,0,0.003,VGG19,GMP,cifar10,0.9
20,342781539744.0,0.0431431420147419,99.6,0.1627078503370285,93.27,0,0.003,VGG19,GMP,cifar10,0.9
30,505946096544.0,0.0488868318498134,99.48,0.155817225575447,93.39,0,0.003,VGG19,GMP,cifar10,0.9
40,669110653344.0,0.041660588234663,99.78,0.1607843488454818,93.31,0,0.003,VGG19,GMP,cifar10,0.9
50,832275210144.0,0.0357795991003513,99.66,0.1685784757137298,93.39,0,0.003,VGG19,GMP,cifar10,0.9
60,995439766944.0,0.0304303765296936,99.52,0.1683282554149627,93.35,0,0.003,VGG19,GMP,cifar10,0.9
70,1158604323744.0,0.0553604289889335,99.72,0.1692827045917511,93.4,0,0.003,VGG19,GMP,cifar10,0.9
80,1321768880544.0,0.0326909609138965,99.66,0.1763845533132553,93.38,0,0.003,VGG19,GMP,cifar10,0.9
90,1484933437344.0,0.0410080663859844,99.7,0.1699206680059433,93.45,0,0.003,VGG19,GMP,cifar10,0.9
100,1648097994144.0,0.0287104714661836,99.78,0.1953895092010498,93.41,0,0.003,VGG19,GMP,cifar10,0.9
101,1648097994144.0,0.0307559631764888,99.58,0.1953895092010498,93.41,0,0.003,VGG19,GMP,cifar10,0.9
-1,135928332.0,2.19057846069336,33.26,2.265987634658813,30.12,1,0.003,VGG19,GMP,cifar10,0.9
0,16447328172.0,0.1953139305114746,99.36,0.1981815546751022,93.13,1,0.003,VGG19,GMP,cifar10,0.9
10,179561326572.0,0.0501771308481693,99.36,0.1489656865596771,93.36,1,0.003,VGG19,GMP,cifar10,0.9
20,342675324972.0,0.0400752089917659,99.48,0.1575468480587005,93.33,1,0.003,VGG19,GMP,cifar10,0.9
