Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma
-1,93729680.0,3.5600011348724365,17.16,3.612072467803955,16.24,0,0.005
0,2905620080.0,2.760892629623413,20.36,2.807422637939453,18.96,0,0.005
10,31024524080.0,0.1653296649456024,93.92,0.1557051688432693,89.16,0,0.005
20,59143428080.0,0.1808070689439773,94.54,0.1716407090425491,89.69,0,0.005
30,87262332080.0,0.2043770998716354,94.56,0.1971915513277053,90.0,0,0.005
40,115381236080.0,0.2681743502616882,96.62,0.2620586156845093,90.76,0,0.005
50,143500140080.0,0.2273154854774475,97.26,0.2597512900829315,91.26,0,0.005
60,171619044080.0,0.2184686958789825,97.2,0.2558738589286804,91.37,0,0.005
70,199737948080.0,0.2023123651742935,97.34,0.2517298758029938,91.33,0,0.005
80,227856852080.0,0.1508054435253143,97.76,0.2187834829092025,91.51,0,0.005
90,255975756080.0,0.1128683909773826,98.14,0.1945660859346389,91.69,0,0.005
100,284094660080.0,0.1032133921980857,97.94,0.1901881396770477,91.74,0,0.005
101,284094660080.0,0.1046909540891647,98.24,0.1901881396770477,91.74,0,0.005
-1,93745724.0,3.809020757675171,15.2,3.8284003734588623,15.41,1,0.005
0,2906117444.0,2.9427645206451416,19.66,2.968148946762085,18.61,1,0.005
10,31029834644.0,0.162889763712883,94.02,0.1571009159088134,89.52,1,0.005
20,59153551844.0,0.1720253527164459,95.78,0.1663117408752441,90.71,1,0.005
30,87277269044.0,0.1984669417142868,96.34,0.1922357082366943,90.56,1,0.005
40,115400986244.0,0.2607496082782745,96.58,0.2576081752777099,91.01,1,0.005
50,143524703444.0,0.2286779731512069,97.6,0.2519918382167816,91.35,1,0.005
60,171648420644.0,0.213030457496643,97.6,0.2444844394922256,91.41,1,0.005
70,199772137844.0,0.2036682963371276,97.42,0.2361112833023071,91.51,1,0.005
80,227895855044.0,0.1439705938100814,98.3,0.1942832469940185,91.85,1,0.005
90,256019572244.0,0.1101423725485801,98.18,0.1996203958988189,92.05,1,0.005
100,284143289444.0,0.1025101020932197,98.48,0.1833922117948532,92.04,1,0.005
101,284143289444.0,0.1068758592009544,98.28,0.183392196893692,92.04,1,0.005
-1,93676760.0,3.776998281478882,19.32,3.760566473007202,19.29,2,0.005
0,2903979560.0,2.984868288040161,19.3,2.975004434585572,19.33,2,0.005
10,31007007560.0,0.1677145957946777,94.72,0.1654913276433944,89.88,2,0.005
20,59110035560.0,0.1739902645349502,95.18,0.1757866442203521,90.39,2,0.005
30,87213063560.0,0.2045706808567047,94.9,0.2058838754892349,90.45,2,0.005
40,115316091560.0,0.2604330480098724,95.58,0.2614794969558716,90.72,2,0.005
50,143419119560.0,0.2229715287685394,96.84,0.2441895604133606,91.37,2,0.005
60,171522147560.0,0.2124828696250915,97.06,0.2409460693597793,91.43,2,0.005
70,199625175560.0,0.1996738761663437,97.16,0.2345044612884521,91.52,2,0.005
80,227728203560.0,0.1427788436412811,97.78,0.1881508827209472,91.84,2,0.005
90,255831231560.0,0.1129137203097343,98.02,0.1833758354187011,91.95,2,0.005
100,283934259560.0,0.1045633554458618,97.92,0.1784434616565704,91.98,2,0.005
101,283934259560.0,0.1029533222317695,97.96,0.1784434616565704,91.98,2,0.005
-1,93737648.0,3.454822063446045,18.68,3.453999757766724,18.59,3,0.005
0,2905867088.0,2.663349866867065,18.66,2.66329312324524,18.66,3,0.005
10,31027161488.0,0.1884618103504181,95.06,0.1874617040157318,90.05,3,0.005
20,59148455888.0,0.200250893831253,95.32,0.2002142965793609,90.35,3,0.005
30,87269750288.0,0.2274573147296905,96.12,0.2243809700012207,90.74,3,0.005
40,115391044688.0,0.2574512660503387,96.58,0.2529798746109009,90.89,3,0.005
50,143512339088.0,0.2152027636766433,97.52,0.2453246712684631,91.59,3,0.005
60,171633633488.0,0.2014528810977935,97.66,0.2317321598529815,91.56,3,0.005
70,199754927888.0,0.188375324010849,97.62,0.2283422499895095,91.71,3,0.005
80,227876222288.0,0.1422157287597656,98.04,0.2146361470222473,91.9,3,0.005
90,255997516688.0,0.1048868745565414,98.32,0.1793825775384903,92.05,3,0.005
100,284118811088.0,0.0950417071580886,97.96,0.1763979494571685,92.1,3,0.005
101,284118811088.0,0.1056118085980415,98.44,0.1763979494571685,92.1,3,0.005
-1,93731744.0,3.642439842224121,15.38,3.6471645832061768,15.72,4,0.005
0,2905684064.0,2.838054180145264,18.52,2.848339319229126,18.09,4,0.005
10,31025207264.0,0.1775674968957901,94.74,0.1757310181856155,90.19,4,0.005
20,59144730464.0,0.1866892129182815,95.02,0.1855339556932449,90.36,4,0.005
30,87264253664.0,0.2019478231668472,96.22,0.2004032284021377,90.95,4,0.005
40,115383776864.0,0.2655975818634033,96.34,0.2605931758880615,91.27,4,0.005
50,143503300064.0,0.2218843698501587,97.3,0.2408971637487411,91.64,4,0.005
60,171622823264.0,0.2090122997760772,97.12,0.2294055223464965,91.77,4,0.005
70,199742346464.0,0.191725492477417,97.14,0.2174218744039535,91.82,4,0.005
80,227861869664.0,0.1389550417661667,97.54,0.1687867641448974,92.02,4,0.005
90,255981392864.0,0.1083713769912719,97.64,0.1522847414016723,92.14,4,0.005
100,284100916064.0,0.0992074534296989,97.88,0.1493826508522033,92.18,4,0.005
101,284100916064.0,0.101719781756401,97.84,0.1493826508522033,92.18,4,0.005
-1,93770204.0,3.843590021133423,9.86,3.832506418228149,10.0,5,0.005
0,2906876324.0,2.96841812133789,9.94,2.959862232208252,10.13,5,0.005
10,31037937524.0,0.1943647712469101,92.96,0.1997682750225067,88.98,5,0.005
20,59168998724.0,0.2001003175973892,93.42,0.2043094336986541,89.42,5,0.005
30,87300059924.0,0.220303401350975,95.3,0.2169443666934967,90.55,5,0.005
40,115431121124.0,0.2677971422672272,96.14,0.2587521076202392,90.75,5,0.005
50,143562182324.0,0.2192346006631851,96.96,0.2369286268949508,91.5,5,0.005
60,171693243524.0,0.2064563930034637,96.92,0.2393036484718322,91.47,5,0.005
70,199824304724.0,0.1923982799053192,97.32,0.2319194823503494,91.65,5,0.005
80,227955365924.0,0.1384559720754623,97.54,0.1930816173553466,91.87,5,0.005
90,256086427124.0,0.1088332086801529,98.06,0.1847862154245376,92.06,5,0.005
100,284217488324.0,0.107304535806179,98.28,0.1758933812379837,92.05,5,0.005
101,284217488324.0,0.1050418764352798,97.64,0.1758933812379837,92.05,5,0.005
-1,93703484.0,3.6965482234954834,21.06,3.791992902755737,19.1,6,0.005
0,2904808004.0,2.904083728790283,21.14,2.989828586578369,19.11,6,0.005
10,31015853204.0,0.1666579395532608,93.76,0.1600464433431625,89.59,6,0.005
20,59126898404.0,0.1815908998250961,93.28,0.1755237877368927,89.18,6,0.005
30,87237943604.0,0.200725108385086,96.02,0.1965397745370865,90.53,6,0.005
40,115348988804.0,0.2647495567798614,96.26,0.2614010870456695,90.42,6,0.005
50,143460034004.0,0.2240320593118667,97.08,0.2660675346851349,91.31,6,0.005
60,171571079204.0,0.2130179554224014,97.12,0.2680792212486267,91.32,6,0.005
70,199682124404.0,0.1954102516174316,97.24,0.2522551417350769,91.5,6,0.005
80,227793169604.0,0.1426244676113128,97.86,0.2405707985162735,91.92,6,0.005
90,255904214804.0,0.1110136359930038,97.98,0.2090362608432769,92.04,6,0.005
100,284015260004.0,0.1090143993496894,98.0,0.2101743966341018,92.1,6,0.005
101,284015260004.0,0.1016469672322273,98.08,0.2101743966341018,92.1,6,0.005
-1,93618608.0,3.6506659984588623,15.8,3.67926836013794,15.49,7,0.005
0,2902176848.0,2.81575083732605,19.34,2.843515157699585,18.48,7,0.005
10,30987759248.0,0.1776934415102005,94.1,0.1799450665712356,89.35,7,0.005
20,59073341648.0,0.1926513016223907,95.18,0.1910347938537597,89.73,7,0.005
30,87158924048.0,0.2228071838617324,95.48,0.2166882455348968,90.66,7,0.005
40,115244506448.0,0.2607944905757904,97.26,0.2568507194519043,91.43,7,0.005
