Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma
-1,86272864.0,0.7311210036277771,7.262015628839436e-07,15.78,0.7043120265007019,4.466417635740072e-07,16.83,0,0.011
0,2674458784.0,0.6171808838844299,5.348181275621755e-07,19.98,0.5940903425216675,4.860933700001624e-07,21.25,0,0.011
10,28556317984.0,0.1973142772912979,8.750860729378473e-07,63.56,0.2148068100214004,8.367668442588183e-07,63.97,0,0.011
20,54438177184.0,0.192665234208107,7.689168910474109e-07,65.28,0.2157111018896103,8.559738944313722e-07,65.61,0,0.011
30,80320036384.0,0.2030006647109985,8.32616194657021e-07,66.92,0.2242031693458557,9.836273875407642e-07,67.64,0,0.011
40,106201895584.0,0.2164351940155029,1.7148950064438395e-06,72.84,0.2367168366909027,1.7609755786907044e-06,72.01,0,0.011
50,132083754784.0,0.2030756771564483,3.887432740157237e-06,74.56,0.2345592826604843,3.1583240343024954e-06,74.1,0,0.011
60,157965613984.0,0.1976819634437561,2.963784709208994e-06,74.38,0.2326797246932983,3.4640565900190268e-06,74.26,0,0.011
70,183847473184.0,0.1916736960411071,3.6664828257926274e-06,75.02,0.2323045879602432,3.9295036913244985e-06,74.68,0,0.011
80,209729332384.0,0.181418091058731,4.938128313369816e-06,76.18,0.2303759455680847,6.200360076036304e-06,75.56,0,0.011
90,235611191584.0,0.1568417102098465,8.318170330312569e-06,77.24,0.2342406958341598,8.443465958407614e-06,76.33,0,0.011
-1,86282416.0,0.6133773922920227,8.238076816269313e-07,28.52,0.5915540456771851,8.358155696441827e-07,30.42,1,0.011
0,2674754896.0,0.515681266784668,8.194933798222337e-07,34.54,0.4931079745292663,8.57667942000262e-07,36.49,1,0.011
10,28559479696.0,0.2196499407291412,1.256144514627522e-06,60.88,0.2335259765386581,1.4818803037996986e-06,61.68,1,0.011
20,54444204496.0,0.2255768179893493,1.448901684852899e-06,61.92,0.2353583574295044,1.585337031428935e-06,63.28,1,0.011
30,80328929296.0,0.222484290599823,1.6650092220515944e-06,65.32,0.2363985180854797,1.7412490933566005e-06,65.51,1,0.011
40,106213654096.0,0.20774507522583,3.336614554427797e-06,70.0,0.2254838198423385,3.096351520071039e-06,70.12,1,0.011
