Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,131660416.0,0.5963264107704163,2.523426303469023e-07,30.32,0.5732128024101257,3.096794500834221e-07,30.82,0,0.001,resnet18,GMP,cifar10,0.9
0,4081472896.0,0.5877255797386169,2.6830161914404016e-07,30.94,0.5659388303756714,3.1108487519304617e-07,31.57,0,0.001,resnet18,GMP,cifar10,0.9
10,43579597696.0,0.4665829837322235,2.7270266400591936e-07,54.6,0.4510784745216369,3.543422337770608e-07,55.61,0,0.001,resnet18,GMP,cifar10,0.9
20,83077722496.0,0.4461695849895477,2.90931524205007e-07,61.32,0.4312086403369903,3.731110211901978e-07,60.54,0,0.001,resnet18,GMP,cifar10,0.9
30,122575847296.0,0.4118081331253052,3.666746408725885e-07,69.88,0.3977962732315063,4.045364221383352e-07,68.56,0,0.001,resnet18,GMP,cifar10,0.9
40,162073972096.0,0.3094926476478576,5.548986337089445e-07,85.38,0.3111220598220825,7.55015150843974e-07,82.13,0,0.001,resnet18,GMP,cifar10,0.9
50,201572096896.0,0.2848474085330963,1.7183326690428655e-06,87.66,0.2991926372051239,2.0307275008235592e-06,84.23,0,0.001,resnet18,GMP,cifar10,0.9
60,241070221696.0,0.2822203636169433,2.4604696591268294e-06,87.44,0.2987432181835174,2.452474518577219e-06,84.24,0,0.001,resnet18,GMP,cifar10,0.9
70,280568346496.0,0.2808316946029663,2.4696475975360954e-06,87.68,0.2987467050552368,3.336428108013933e-06,84.12,0,0.001,resnet18,GMP,cifar10,0.9
80,320066471296.0,0.2675946354866028,1.1063108104281127e-05,86.8,0.2950380742549896,9.51154015638167e-06,83.46,0,0.001,resnet18,GMP,cifar10,0.9
90,359564596096.0,0.2286317199468612,1.39604107971536e-05,86.78,0.2709773182868957,1.8518258002586663e-05,83.73,0,0.001,resnet18,GMP,cifar10,0.9
-1,131645104.0,0.6143426299095154,2.358415969183625e-07,29.7,0.5879539251327515,3.1337708605860826e-07,30.57,1,0.001,resnet18,GMP,cifar10,0.9
0,4080998224.0,0.6048860549926758,2.673191090707405e-07,30.26,0.5796166062355042,3.0776396897636005e-07,31.22,1,0.001,resnet18,GMP,cifar10,0.9
10,43574529424.0,0.4805617332458496,2.533470819798822e-07,51.68,0.4622735381126404,3.490966378194571e-07,52.85,1,0.001,resnet18,GMP,cifar10,0.9
20,83068060624.0,0.4604133665561676,3.335493659051281e-07,58.36,0.4426591992378235,3.692091183893354e-07,57.94,1,0.001,resnet18,GMP,cifar10,0.9
30,122561591824.0,0.4267486035823822,3.078161228131649e-07,67.8,0.4086814224720001,4.116088803129969e-07,66.74,1,0.001,resnet18,GMP,cifar10,0.9
40,162055123024.0,0.3206881582736969,7.282536103048187e-07,85.78,0.3013835847377777,7.377970518973598e-07,82.85,1,0.001,resnet18,GMP,cifar10,0.9
