Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,128658352.0,2.277048349380493,5.8,2.2812514305114746,5.35,0,0.003,resnet50,GMP,cifar100,0.9
0,15567660592.0,1.2104233503341677,35.38,1.152161717414856,33.54,0,0.003,resnet50,GMP,cifar100,0.9
10,169957682992.0,0.3425218462944031,69.42,0.5207327604293823,60.12,0,0.003,resnet50,GMP,cifar100,0.9
20,324347705392.0,0.339486300945282,77.08,0.5312715172767639,64.66,0,0.003,resnet50,GMP,cifar100,0.9
30,478737727792.0,0.3081134557723999,81.24,0.6167473196983337,66.75,0,0.003,resnet50,GMP,cifar100,0.9
40,633127750192.0,0.2589640319347381,85.12,0.6568796038627625,68.1,0,0.003,resnet50,GMP,cifar100,0.9
50,787517772592.0,0.3657781779766083,86.88,0.6214800477027893,69.23,0,0.003,resnet50,GMP,cifar100,0.9
60,941907794992.0,0.2355388104915619,88.26,0.6695177555084229,69.5,0,0.003,resnet50,GMP,cifar100,0.9
70,1096297817392.0,0.3075957894325256,89.58,0.6757869124412537,69.88,0,0.003,resnet50,GMP,cifar100,0.9
80,1250687839792.0,0.3354508578777313,91.06,0.6990544199943542,70.08,0,0.003,resnet50,GMP,cifar100,0.9
90,1405077862192.0,0.3245714604854584,91.38,0.6864396929740906,70.65,0,0.003,resnet50,GMP,cifar100,0.9
100,1559467884592.0,0.2834803164005279,92.86,0.793867290019989,70.52,0,0.003,resnet50,GMP,cifar100,0.9
101,1559467884592.0,0.2950766682624817,93.24,0.793867290019989,70.52,0,0.003,resnet50,GMP,cifar100,0.9
-1,128899312.0,2.058414459228516,5.32,2.125416040420532,5.4,1,0.003,resnet50,GMP,cifar100,0.9
0,15596816752.0,1.1092387437820437,35.02,1.0745584964752195,34.26,1,0.003,resnet50,GMP,cifar100,0.9
10,170275991152.0,0.3832097351551056,68.74,0.580673098564148,60.47,1,0.003,resnet50,GMP,cifar100,0.9
20,324955165552.0,0.2732173800468445,77.08,0.5743246674537659,65.01,1,0.003,resnet50,GMP,cifar100,0.9
30,479634339952.0,0.2851035594940185,82.02,0.6106193661689758,67.11,1,0.003,resnet50,GMP,cifar100,0.9
40,634313514352.0,0.330357939004898,84.7,0.6565690040588379,68.46,1,0.003,resnet50,GMP,cifar100,0.9
50,788992688752.0,0.3027065694332123,86.5,0.6958704590797424,69.06,1,0.003,resnet50,GMP,cifar100,0.9
60,943671863152.0,0.3176494836807251,88.48,0.7551833987236023,69.53,1,0.003,resnet50,GMP,cifar100,0.9
70,1098351037552.0,0.2781002223491668,89.5,0.7409880757331848,70.09,1,0.003,resnet50,GMP,cifar100,0.9
80,1253030211952.0,0.3658629655838012,90.5,0.7487667798995972,70.65,1,0.003,resnet50,GMP,cifar100,0.9
90,1407709386352.0,0.3201939761638641,92.2,0.8009189367294312,70.74,1,0.003,resnet50,GMP,cifar100,0.9
100,1562388560752.0,0.2976979911327362,92.8,0.8098970055580139,70.65,1,0.003,resnet50,GMP,cifar100,0.9
101,1562388560752.0,0.3362424671649933,92.88,0.8098970055580139,70.65,1,0.003,resnet50,GMP,cifar100,0.9
-1,128825776.0,1.9424446821212769,5.82,1.9625301361083984,6.31,2,0.003,resnet50,GMP,cifar100,0.9
0,15587918896.0,1.1143227815628052,33.88,1.1115871667861938,32.65,2,0.003,resnet50,GMP,cifar100,0.9
10,170178850096.0,0.3893135190010071,69.16,0.5167614817619324,60.37,2,0.003,resnet50,GMP,cifar100,0.9
20,324769781296.0,0.2903514504432678,77.16,0.5017127394676208,64.94,2,0.003,resnet50,GMP,cifar100,0.9
30,479360712496.0,0.3574896454811096,81.5,0.591031551361084,66.98,2,0.003,resnet50,GMP,cifar100,0.9
40,633951643696.0,0.2826219499111175,83.98,0.6438964605331421,68.44,2,0.003,resnet50,GMP,cifar100,0.9
50,788542574896.0,0.2795004248619079,87.34,0.5664772987365723,69.19,2,0.003,resnet50,GMP,cifar100,0.9
60,943133506096.0,0.31293985247612,88.46,0.7290567755699158,69.32,2,0.003,resnet50,GMP,cifar100,0.9
70,1097724437296.0,0.2502175569534302,90.34,0.6687747836112976,70.06,2,0.003,resnet50,GMP,cifar100,0.9
80,1252315368496.0,0.3349461853504181,90.94,0.731725811958313,70.18,2,0.003,resnet50,GMP,cifar100,0.9
