Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual
-1,152686432.0,0.4318785667419433,1.0426927019580037e-06,86.12,0.3927692174911499,1.5130960946407868e-06,83.68,0
0,4733279392.0,0.3608165085315704,1.3658176385433762e-06,90.28,0.3433241546154022,1.5328668041547644e-06,86.89,0
10,50539208992.0,0.1913812905550003,8.277685310531524e-07,94.4,0.2100664675235748,1.0974300721500183e-06,90.53,0
20,96345138592.0,0.1805742084980011,1.035335458254849e-06,94.72,0.2025865763425827,1.134526428359095e-06,90.54,0
30,142151068192.0,0.1715212315320968,1.3160533853806555e-06,94.5,0.1878026723861694,1.1811604281319887e-06,90.56,0
40,187956997792.0,0.1321862936019897,2.608449221952469e-06,94.48,0.1700235903263092,1.6103208508866371e-06,90.66,0
50,233762927392.0,0.1113388836383819,2.829964387274231e-06,94.82,0.1496513485908508,2.2961071408644784e-06,90.75,0
60,279568856992.0,0.1102721542119979,3.2405312140326714e-06,94.5,0.1489757597446441,2.359178097322001e-06,90.83,0
70,325374786592.0,0.1019148603081703,2.347085683140904e-06,95.38,0.1484075784683227,2.614065351735917e-06,90.79,0
80,371180716192.0,0.0909439101815223,5.003238129575038e-06,95.12,0.1491229981184005,3.5278733321320037e-06,90.84,0
90,416986645792.0,0.0852857455611229,4.37160952060367e-06,94.96,0.1410284787416458,4.403373623063089e-06,90.99,0
-1,152818000.0,0.578238844871521,2.260136170662008e-06,83.94,0.5323926210403442,3.226079570595175e-06,82.99,1
0,4737358000.0,0.4790087342262268,2.4267253593279747e-06,88.84,0.4446717202663421,2.852366833394626e-06,87.0,1
10,50582758000.0,0.1851107478141784,9.039217161443958e-07,93.94,0.1988651901483535,1.3383024679569644e-06,90.8,1
20,96428158000.0,0.1783225238323211,9.743079090185347e-07,94.28,0.1900158673524856,1.414510961694759e-06,90.85,1
30,142273558000.0,0.168926864862442,1.4987690519774333e-06,94.54,0.1810271441936493,1.5411267213494284e-06,90.9,1
40,188118958000.0,0.1324357837438583,2.1190517145441845e-06,94.64,0.1568995863199234,2.3810541733837454e-06,91.01,1
50,233964358000.0,0.1140525788068771,2.8852682589786127e-06,94.98,0.1419356614351272,3.3880562568811e-06,91.17,1
60,279809758000.0,0.110546737909317,3.7104498460394097e-06,94.62,0.1432771980762481,3.5347259199625114e-06,91.15,1
70,325655158000.0,0.1072916463017463,4.041321972181322e-06,94.7,0.1360518932342529,3.803713525485364e-06,91.12,1
80,371500558000.0,0.0928266793489456,5.059900104242843e-06,94.82,0.1268950700759887,5.06285869050771e-06,91.25,1
90,417345958000.0,0.0844073370099067,5.030884949519532e-06,95.5,0.1281775534152984,6.251124432310462e-06,91.44,1
-1,152807488.0,0.4930780529975891,1.3748849596595392e-06,83.58,0.4790176451206207,1.502175450696086e-06,82.2,2
0,4737032128.0,0.4190101623535156,1.428744440090668e-06,88.0,0.4221718907356262,1.6458895970572485e-06,84.96,2
10,50579278528.0,0.1974387913942337,1.1240855428695795e-06,94.34,0.2106896489858627,1.354399387309968e-06,90.58,2
20,96421524928.0,0.1889458745718002,1.1055846016461146e-06,94.48,0.1991645693778991,1.3769504221272657e-06,90.65,2
30,142263771328.0,0.1710386276245117,1.3640565157402309e-06,94.72,0.1831639111042022,1.5287082533177454e-06,90.71,2
40,188106017728.0,0.1355926692485809,2.0919669623253867e-06,94.98,0.1527458429336547,2.1582241060968954e-06,90.76,2
50,233948264128.0,0.115661896765232,2.6075792902702237e-06,94.98,0.1418669521808624,2.894494627980748e-06,90.81,2
60,279790510528.0,0.113701544702053,2.506553528291988e-06,94.98,0.1396245062351226,3.0714375043316977e-06,90.83,2
70,325632756928.0,0.1131675839424133,2.4501036932633724e-06,95.02,0.139595940709114,3.299793206679169e-06,90.87,2
80,371475003328.0,0.094749130308628,3.828770786640234e-06,95.28,0.130462035536766,4.295181042834884e-06,90.97,2
90,417317249728.0,0.0821351781487464,4.674172942031873e-06,94.9,0.1300722360610962,5.23789594808477e-06,91.09,2
-1,152740144.0,0.7351056933403015,1.6529992308278452e-06,71.56,0.7140089273452759,1.7779332210920984e-06,72.63,3
0,4734944464.0,0.5008619427680969,1.4067378515392193e-06,83.18,0.4829317629337311,1.371782559544954e-06,82.55,3
