Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,115077016.0,2.1451330184936523,35.54,2.151994466781616,34.47,0,0.005,LAMP,VGG19,cifar10,0.85
0,13924318936.0,0.1916284412145614,98.68,0.2020140886306762,92.6,0,0.005,LAMP,VGG19,cifar10,0.85
10,152016738136.0,0.0630275830626487,98.96,0.1244058609008789,93.05,0,0.005,LAMP,VGG19,cifar10,0.85
20,290109157336.0,0.0560254082083702,99.0,0.1373008489608764,93.1,0,0.005,LAMP,VGG19,cifar10,0.85
30,428201576536.0,0.0543948747217655,99.2,0.1298625916242599,93.26,0,0.005,LAMP,VGG19,cifar10,0.85
40,566293995736.0,0.052384465932846,99.48,0.1367880553007125,93.25,0,0.005,LAMP,VGG19,cifar10,0.85
50,704386414936.0,0.0531886331737041,99.34,0.1376305520534515,93.29,0,0.005,LAMP,VGG19,cifar10,0.85
60,842478834136.0,0.0388282835483551,99.4,0.1794068962335586,93.21,0,0.005,LAMP,VGG19,cifar10,0.85
70,980571253336.0,0.0406581275165081,99.52,0.1370860040187835,93.28,0,0.005,LAMP,VGG19,cifar10,0.85
80,1118663672536.0,0.0588024742901325,99.5,0.1560417115688324,93.23,0,0.005,LAMP,VGG19,cifar10,0.85
90,1256756091736.0,0.0470065623521804,99.48,0.1579305082559585,93.28,0,0.005,LAMP,VGG19,cifar10,0.85
100,1394848510936.0,0.0483132041990757,99.6,0.1833387017250061,93.18,0,0.005,LAMP,VGG19,cifar10,0.85
101,1394848510936.0,0.0456499829888343,99.52,0.1833387017250061,93.18,0,0.005,LAMP,VGG19,cifar10,0.85
-1,115074364.0,2.419968843460083,32.58,2.4799726009368896,30.64,1,0.005,LAMP,VGG19,cifar10,0.85
0,13923998044.0,0.1773474216461181,98.64,0.1698932647705078,92.89,1,0.005,LAMP,VGG19,cifar10,0.85
10,152013234844.0,0.0561711899936199,99.04,0.130715474486351,93.21,1,0.005,LAMP,VGG19,cifar10,0.85
20,290102471644.0,0.0531072653830051,99.22,0.139870285987854,93.24,1,0.005,LAMP,VGG19,cifar10,0.85
30,428191708444.0,0.0637341514229774,99.1,0.1351709514856338,93.36,1,0.005,LAMP,VGG19,cifar10,0.85
40,566280945244.0,0.0585520677268505,99.32,0.1336694657802581,93.3,1,0.005,LAMP,VGG19,cifar10,0.85
50,704370182044.0,0.0545518286526203,99.32,0.1680300682783126,93.24,1,0.005,LAMP,VGG19,cifar10,0.85
60,842459418844.0,0.0674792155623436,99.4,0.1907318532466888,93.25,1,0.005,LAMP,VGG19,cifar10,0.85
70,980548655644.0,0.0697027295827865,99.62,0.1990519016981125,93.31,1,0.005,LAMP,VGG19,cifar10,0.85
80,1118637892444.0,0.061009045690298,99.54,0.1743718832731247,93.42,1,0.005,LAMP,VGG19,cifar10,0.85
90,1256727129244.0,0.0867585092782974,99.56,0.1713538318872451,93.35,1,0.005,LAMP,VGG19,cifar10,0.85
100,1394816366044.0,0.0574159100651741,99.46,0.1917081028223037,93.34,1,0.005,LAMP,VGG19,cifar10,0.85
101,1394816366044.0,0.0643715411424636,99.42,0.1917081028223037,93.34,1,0.005,LAMP,VGG19,cifar10,0.85
-1,115059424.0,2.2800893783569336,35.6,2.297386407852173,35.19,2,0.005,LAMP,VGG19,cifar10,0.85
0,13922190304.0,0.1657027453184127,98.62,0.1733313947916031,92.75,2,0.005,LAMP,VGG19,cifar10,0.85
10,151993499104.0,0.0633407607674598,99.2,0.1077934056520462,93.13,2,0.005,LAMP,VGG19,cifar10,0.85
20,290064807904.0,0.0521036498248577,98.98,0.1137037351727485,93.15,2,0.005,LAMP,VGG19,cifar10,0.85
30,428136116704.0,0.047265313565731,99.12,0.1361317783594131,93.12,2,0.005,LAMP,VGG19,cifar10,0.85
