Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma
-1,64269092.0,4.0509185791015625,2.0,4.0456647872924805,1.94,0,0.005
0,1992341852.0,3.099687099456787,3.48,3.0882439613342285,3.25,0,0.005
10,21273069452.0,0.5560554265975952,20.58,0.5331398844718933,20.28,0,0.005
20,40553797052.0,0.5118547677993774,23.12,0.4888405501842499,22.27,0,0.005
30,59834524652.0,0.4548250138759613,27.14,0.4377939403057098,25.89,0,0.005
40,79115252252.0,0.367968738079071,36.6,0.373811811208725,34.36,0,0.005
50,98395979852.0,0.3420526385307312,42.4,0.3749057650566101,38.47,0,0.005
60,117676707452.0,0.3462691605091095,42.24,0.3757731020450592,38.87,0,0.005
70,136957435052.0,0.3387709259986877,44.16,0.380776584148407,39.72,0,0.005
80,156238162652.0,0.3293423056602478,46.68,0.4056406319141388,42.24,0,0.005
90,175518890252.0,0.3211821615695953,50.84,0.4245838820934295,44.28,0,0.005
100,194799617852.0,0.3211567997932434,51.0,0.4272449314594269,44.69,0,0.005
101,194799617852.0,0.3194048404693603,50.36,0.4272449314594269,44.69,0,0.005
-1,64234628.0,4.05927324295044,2.32,4.031185626983643,2.21,1,0.005
0,1991273468.0,3.18867564201355,3.18,3.1810302734375,3.12,1,0.005
10,21261661868.0,0.5619714260101318,18.88,0.5660660862922668,18.41,1,0.005
20,40532050268.0,0.508206844329834,21.02,0.5146687626838684,20.73,1,0.005
30,59802438668.0,0.4452601373195648,25.34,0.4537388384342193,24.69,1,0.005
40,79072827068.0,0.355602353811264,35.28,0.3831024169921875,33.18,1,0.005
50,98343215468.0,0.3334671556949615,40.34,0.3804426491260528,37.19,1,0.005
60,117613603868.0,0.3308267295360565,41.34,0.3815254867076874,37.91,1,0.005
70,136883992268.0,0.3365021347999573,42.58,0.385869562625885,38.88,1,0.005
80,156154380668.0,0.3397935926914215,45.8,0.4054811894893646,42.02,1,0.005
90,175424769068.0,0.3167770206928253,49.68,0.4234762191772461,44.15,1,0.005
100,194695157468.0,0.320054680109024,50.56,0.4271799027919769,44.44,1,0.005
101,194695157468.0,0.32523974776268,49.82,0.4271799027919769,44.44,1,0.005
-1,64177004.0,5.013737678527832,1.12,4.962611198425293,1.4,2,0.005
0,1989487124.0,3.615943193435669,1.84,3.569460391998291,2.32,2,0.005
10,21242588324.0,0.5621634721755981,18.54,0.5312028527259827,19.74,2,0.005
20,40495689524.0,0.5150981545448303,21.4,0.4853985011577606,22.26,2,0.005
30,59748790724.0,0.4534643292427063,25.56,0.4305715262889862,25.83,2,0.005
40,79001891924.0,0.3651301860809326,35.22,0.3636657893657684,34.31,2,0.005
50,98254993124.0,0.3388566076755523,40.34,0.359047383069992,38.01,2,0.005
60,117508094324.0,0.3369989395141601,41.02,0.3621914684772491,38.65,2,0.005
70,136761195524.0,0.3380997478961944,42.0,0.3674840927124023,39.26,2,0.005
80,156014296724.0,0.3288078606128692,46.7,0.3876551687717438,42.18,2,0.005
90,175267397924.0,0.3184015452861786,48.96,0.4071383774280548,44.19,2,0.005
100,194520499124.0,0.3149477243423462,49.7,0.408565491437912,44.55,2,0.005
101,194520499124.0,0.3254662156105041,49.48,0.408565491437912,44.55,2,0.005
-1,64255484.0,4.315548896789551,2.02,4.334481239318848,1.71,3,0.005
0,1991920004.0,3.3854219913482666,3.24,3.413731575012207,2.95,3,0.005
10,21268565204.0,0.5644551515579224,20.02,0.5578209757804871,19.23,3,0.005
20,40545210404.0,0.5184199810028076,22.46,0.5119215250015259,21.84,3,0.005
30,59821855604.0,0.4619682729244232,26.34,0.4574973285198211,25.9,3,0.005
40,79098500804.0,0.3678047060966491,37.36,0.3833345174789428,33.65,3,0.005
50,98375146004.0,0.347743809223175,41.64,0.3799106180667877,37.2,3,0.005
60,117651791204.0,0.3484900891780853,43.72,0.3815473616123199,37.82,3,0.005
70,136928436404.0,0.3424171805381775,44.94,0.3867077529430389,38.72,3,0.005
80,156205081604.0,0.3283404409885406,48.38,0.4025063812732696,42.19,3,0.005
90,175481726804.0,0.3185571432113647,51.64,0.4179352223873138,44.86,3,0.005
100,194758372004.0,0.3131937980651855,52.06,0.4214174449443817,45.26,3,0.005
101,194758372004.0,0.3222709894180298,53.14,0.4214174449443817,45.26,3,0.005
-1,64183400.0,4.456643581390381,1.92,4.418600082397461,2.14,4,0.005
0,1989685400.0,3.601218938827514,2.74,3.582421064376831,2.89,4,0.005
10,21244705400.0,0.5323534607887268,22.16,0.5424506664276123,21.46,4,0.005
20,40499725400.0,0.4822210669517517,24.56,0.4912179410457611,24.21,4,0.005
30,59754745400.0,0.4196870326995849,29.46,0.4362537562847137,28.14,4,0.005
40,79009765400.0,0.3323810994625091,38.92,0.3719113767147064,35.95,4,0.005
50,98264785400.0,0.3204837739467621,43.62,0.3772229850292206,39.23,4,0.005
60,117519805400.0,0.3221909701824188,44.16,0.3796025514602661,39.61,4,0.005
70,136774825400.0,0.3223905563354492,45.14,0.3850476443767547,40.52,4,0.005
80,156029845400.0,0.3278141617774963,47.52,0.4046765565872192,43.02,4,0.005
90,175284865400.0,0.3221862614154815,50.84,0.4176466166973114,45.17,4,0.005
100,194539885400.0,0.3239074349403381,51.32,0.4210188388824463,45.56,4,0.005
101,194539885400.0,0.3193377256393432,52.2,0.4210188388824463,45.56,4,0.005
-1,64282340.0,4.361854076385498,1.86,4.371185779571533,1.76,5,0.005
0,1992752540.0,3.355051279067993,3.32,3.3629469871521,3.11,5,0.005
10,21277454540.0,0.5630815625190735,20.16,0.5628885626792908,19.56,5,0.005
20,40562156540.0,0.5174247026443481,21.92,0.5174823999404907,21.74,5,0.005
30,59846858540.0,0.4562845826148987,26.0,0.4677257835865021,25.17,5,0.005
40,79131560540.0,0.3645601570606231,35.24,0.4112071990966797,32.74,5,0.005
50,98416262540.0,0.3445151150226593,39.8,0.4181699752807617,36.55,5,0.005
60,117700964540.0,0.3366782367229461,41.44,0.4187806844711303,37.11,5,0.005
70,136985666540.0,0.3355579972267151,42.54,0.4237423241138458,38.0,5,0.005
80,156270368540.0,0.3318778276443481,46.54,0.4492984414100647,41.33,5,0.005
90,175555070540.0,0.3160578608512878,48.6,0.4573643207550049,43.75,5,0.005
100,194839772540.0,0.313419908285141,50.44,0.4574076533317566,44.2,5,0.005
101,194839772540.0,0.309137225151062,49.96,0.457407683134079,44.2,5,0.005
-1,64276784.0,4.368078708648682,2.44,4.360270977020264,2.62,6,0.005
0,1992580304.0,3.3940250873565674,3.8,3.410473585128784,3.85,6,0.005
10,21275615504.0,0.554475724697113,20.64,0.575613260269165,19.56,6,0.005
20,40558650704.0,0.5012087225914001,23.66,0.5215384364128113,22.29,6,0.005
30,59841685904.0,0.4412310421466827,27.76,0.4595320224761963,26.77,6,0.005
40,79124721104.0,0.3529409170150757,38.2,0.3808031976222992,35.28,6,0.005
50,98407756304.0,0.3277351260185241,42.42,0.3841597437858581,38.32,6,0.005
60,117690791504.0,0.3234745562076568,43.58,0.3867579996585846,38.74,6,0.005
70,136973826704.0,0.3255993723869324,44.7,0.3941048383712768,39.58,6,0.005
80,156256861904.0,0.3166261315345764,47.7,0.4150622487068176,42.52,6,0.005
90,175539897104.0,0.3085327446460724,50.78,0.4383783340454101,44.34,6,0.005
100,194822932304.0,0.3133639395236969,50.5,0.4408085644245147,44.67,6,0.005
101,194822932304.0,0.3182950615882873,51.32,0.4408085644245147,44.67,6,0.005
-1,64276472.0,4.544398307800293,2.06,4.5386247634887695,2.04,7,0.005
0,1992570632.0,3.678480386734009,3.28,3.683109760284424,3.12,7,0.005
10,21275512232.0,0.5380291938781738,20.06,0.5229851007461548,19.16,7,0.005
20,40558453832.0,0.491896778345108,23.44,0.4764198064804077,21.99,7,0.005
30,59841395432.0,0.433682233095169,27.24,0.4244163334369659,25.96,7,0.005
40,79124337032.0,0.3477127254009247,38.24,0.3631142675876617,34.92,7,0.005
50,98407278632.0,0.3284799456596374,42.74,0.3612631261348724,39.82,7,0.005
60,117690220232.0,0.3261584937572479,43.96,0.3652759790420532,40.28,7,0.005
70,136973161832.0,0.3252047300338745,44.5,0.3698442280292511,41.13,7,0.005
80,156256103432.0,0.3193389475345611,48.42,0.3892408013343811,44.05,7,0.005
90,175539045032.0,0.3102494180202484,51.5,0.4012786746025085,46.17,7,0.005
100,194821986632.0,0.3083192110061645,51.1,0.3998896479606628,46.42,7,0.005
101,194821986632.0,0.3065292835235595,52.14,0.3998896479606628,46.42,7,0.005
-1,64258796.0,4.013925552368164,2.9,4.022575378417969,2.72,8,0.005
0,1992022676.0,3.1568353176116943,3.26,3.1686694622039795,3.31,8,0.005
10,21269661476.0,0.5401818156242371,18.66,0.5515722036361694,18.16,8,0.005
20,40547300276.0,0.4964139759540558,21.18,0.5104518532752991,20.84,8,0.005
30,59824939076.0,0.4415683150291443,25.0,0.4578713476657867,24.55,8,0.005
40,79102577876.0,0.3530319631099701,36.68,0.3809244930744171,33.82,8,0.005
50,98380216676.0,0.3309894502162933,42.52,0.3718515932559967,38.84,8,0.005
60,117657855476.0,0.3312354981899261,41.64,0.3723428249359131,39.41,8,0.005
70,136935494276.0,0.3330166637897491,44.86,0.3742228150367737,40.42,8,0.005
80,156213133076.0,0.3276529312133789,48.24,0.385599821805954,42.95,8,0.005
90,175490771876.0,0.3182920515537262,50.76,0.3930815756320953,45.27,8,0.005
100,194768410676.0,0.3137337267398834,52.36,0.3960105180740356,45.57,8,0.005
101,194768410676.0,0.3122940957546234,50.74,0.3960105180740356,45.57,8,0.005
-1,64228556.0,3.88802981376648,2.76,3.8679041862487793,3.17,9,0.005
0,1991085236.0,3.055870056152344,4.08,3.059793710708618,3.98,9,0.005
10,21259652036.0,0.5509669780731201,18.94,0.535315215587616,18.49,9,0.005
20,40528218836.0,0.503477931022644,21.34,0.4884538948535919,20.9,9,0.005
30,59796785636.0,0.4445154666900635,25.78,0.4377374351024627,24.6,9,0.005
40,79065352436.0,0.3590199649333954,35.2,0.3901343941688537,32.72,9,0.005
50,98333919236.0,0.3393176198005676,41.38,0.4017898440361023,36.88,9,0.005
60,117602486036.0,0.3420621752738952,41.58,0.4027110934257507,37.52,9,0.005
70,136871052836.0,0.3327065706253052,42.58,0.4086993634700775,38.39,9,0.005
80,156139619636.0,0.3251871466636657,46.4,0.4235330522060394,41.82,9,0.005
90,175408186436.0,0.3153028190135956,50.36,0.4354120194911957,44.21,9,0.005
100,194676753236.0,0.3205604255199432,50.18,0.4373628795146942,44.61,9,0.005
101,194676753236.0,0.3118119239807129,50.64,0.4373629093170166,44.61,9,0.005
-1,64198772.0,4.542562484741211,2.24,4.511764049530029,2.23,10,0.005
0,1990161932.0,3.530627727508545,2.96,3.508633136749268,2.92,10,0.005
10,21249793532.0,0.5428736805915833,20.32,0.5725189447402954,18.75,10,0.005
20,40509425132.0,0.4943234324455261,22.74,0.5252190232276917,21.67,10,0.005
30,59769056732.0,0.439808577299118,26.88,0.4716339707374573,25.71,10,0.005
40,79028688332.0,0.3531864285469055,36.06,0.4068696796894073,34.31,10,0.005
50,98288319932.0,0.3334351181983948,40.28,0.4144933223724365,37.81,10,0.005
60,117547951532.0,0.3324051201343536,42.54,0.4178691208362579,38.22,10,0.005
70,136807583132.0,0.3326188623905182,42.4,0.4236371219158172,39.16,10,0.005
80,156067214732.0,0.3249814212322235,47.8,0.4459714591503143,42.09,10,0.005
90,175326846332.0,0.3282388746738434,50.7,0.4601556658744812,44.46,10,0.005
100,194586477932.0,0.3134042620658874,50.56,0.4596293568611145,44.87,10,0.005
