Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma
-1,168822160.0,0.4353099465370178,4.31351026008997e-07,36.66,0.4350871443748474,4.295662279218959e-07,37.64,0,0.011
0,5233486960.0,0.4014941751956939,3.940093620258267e-07,39.72,0.3976994454860687,4.3616623202069604e-07,40.73,0,0.011
10,55880134960.0,0.199159488081932,6.451019771702704e-07,64.76,0.198958158493042,5.744252575823339e-07,64.34,0,0.011
20,106526782960.0,0.197025790810585,7.078687076500501e-07,65.94,0.2010007947683334,6.120060334069422e-07,65.58,0,0.011
30,157173430960.0,0.2049200534820556,6.021388117005699e-07,67.66,0.2090722024440765,7.255774789882707e-07,66.65,0,0.011
40,207820078960.0,0.2169103324413299,1.431868099643907e-06,70.1,0.2276949435472488,1.371309622300032e-06,69.22,0,0.011
50,258466726960.0,0.2032692432403564,1.929907966768951e-06,72.32,0.2225358486175537,2.2940594135434367e-06,70.8,0,0.011
60,309113374960.0,0.2021536380052566,2.5147528504021466e-06,71.52,0.2210080623626709,2.5555345928296447e-06,70.92,0,0.011
70,359760022960.0,0.1957267820835113,2.072990810120245e-06,72.84,0.2186831682920456,2.994958094859612e-06,71.24,0,0.011
80,410406670960.0,0.1788554191589355,3.166746637361939e-06,73.2,0.209708496928215,4.803674528375268e-06,72.15,0,0.011
90,461053318960.0,0.1607099622488021,6.423274953704095e-06,73.64,0.2111542671918869,6.638580089202151e-06,72.65,0,0.011
-1,168814624.0,0.5599645376205444,4.856650548390462e-07,38.7,0.5508901476860046,4.572790430756868e-07,40.82,1,0.011
0,5233253344.0,0.5256481170654297,3.993559118953273e-07,41.08,0.5170402526855469,4.559859405617317e-07,42.4,1,0.011
10,55877640544.0,0.213478147983551,4.331853347139258e-07,64.9,0.2250404059886932,5.019222157898184e-07,66.24,1,0.011
20,106522027744.0,0.2047611027956009,5.020963271817891e-07,66.84,0.2218780815601349,5.687198836312746e-07,68.01,1,0.011
30,157166414944.0,0.2071460783481598,6.855883043499489e-07,68.54,0.2235961407423019,7.521251745856716e-07,69.59,1,0.011
40,207810802144.0,0.2225758135318756,1.485855364080635e-06,70.18,0.2317908108234405,1.7655121382631478e-06,70.97,1,0.011
50,258455189344.0,0.1992668360471725,2.7354863050277345e-06,71.92,0.2168410867452621,3.099409923379426e-06,71.65,1,0.011
60,309099576544.0,0.1964161247014999,2.984769480463001e-06,72.02,0.212399885058403,3.3749993235687725e-06,72.0,1,0.011
70,359743963744.0,0.1883353888988495,4.304067715565907e-06,72.24,0.2079104483127594,3.897525857610162e-06,72.38,1,0.011
80,410388350944.0,0.1716693192720413,6.215900157258147e-06,72.62,0.19364695250988,6.4775749706313945e-06,72.8,1,0.011
90,461032738144.0,0.1579240411520004,7.144195933506126e-06,74.04,0.1847646832466125,8.960173545347061e-06,73.05,1,0.011
-1,168864928.0,0.9230242371559144,3.437581881371443e-07,9.88,0.9107998609542848,3.486401851660048e-07,10.06,2,0.011
0,5234812768.0,0.7504704594612122,3.002854214173567e-07,10.7,0.7432429194450378,3.585931267480192e-07,10.81,2,0.011
10,55894291168.0,0.1921613961458206,4.01296603058654e-07,65.56,0.1928953677415847,4.954474661644781e-07,66.58,2,0.011
20,106553769568.0,0.1849384009838104,4.813045393348148e-07,67.88,0.1923302561044693,5.605347723758314e-07,67.84,2,0.011
30,157213247968.0,0.1901014894247055,5.719265345760505e-07,68.68,0.1968599408864975,7.030666893115267e-07,68.79,2,0.011
40,207872726368.0,0.1987960487604141,1.1619312090260792e-06,69.46,0.2201346755027771,1.6960625544015784e-06,69.16,2,0.011
50,258532204768.0,0.1956281661987304,2.8202018711454e-06,70.76,0.218474343419075,3.0520745895046275e-06,69.92,2,0.011
60,309191683168.0,0.1979029476642608,1.900153392853099e-06,70.4,0.2156125903129577,3.2645468763803365e-06,70.25,2,0.011
70,359851161568.0,0.1913100481033325,2.667175294845947e-06,71.38,0.2140199095010757,3.844247657980304e-06,70.39,2,0.011
80,410510639968.0,0.1847467273473739,5.3267867770046e-06,71.98,0.206185445189476,6.548856163135497e-06,71.55,2,0.011
90,461170118368.0,0.1598825603723526,3.5542750538297696e-06,73.08,0.1997341215610504,9.322208825324196e-06,72.41,2,0.011
-1,168560752.0,0.5858220458030701,3.057067203826591e-07,27.72,0.5557045936584473,3.936968653306394e-07,28.74,3,0.011
0,5225383312.0,0.541786253452301,3.150590828226996e-07,31.06,0.5137686133384705,3.877841550092853e-07,32.01,3,0.011
