Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma
-1,180296528.0,0.938772678375244,22.98,0.9681893587112428,22.22,0,0.005
0,21815879888.0,0.2765751779079437,42.84,0.2983177602291107,42.82,0,0.005
10,238171713488.0,0.1708001643419265,58.14,0.2300943732261657,59.59,0,0.005
20,454527547088.0,0.2265589386224746,65.8,0.2658740580081939,67.12,0,0.005
30,670883380688.0,0.5258835554122925,71.1,0.3671537637710571,71.14,0,0.005
40,887239214288.0,0.4984878599643707,75.36,0.4378041625022888,75.03,0,0.005
50,1103595047888.0,0.5570294857025146,78.52,0.4260576367378235,77.66,0,0.005
60,1319950881488.0,0.4212657809257507,82.02,0.5011129379272461,79.53,0,0.005
70,1536306715088.0,0.5045863389968872,83.72,0.4410155117511749,80.84,0,0.005
80,1752662548688.0,0.3918241858482361,85.92,0.4392831027507782,82.39,0,0.005
90,1969018382288.0,0.3573904037475586,88.02,0.3471972644329071,83.92,0,0.005
100,2185374215888.0,0.7352858185768127,87.76,0.8587408661842346,82.85,0,0.005
101,2185374215888.0,0.7581801414489746,87.72,0.8587408661842346,82.85,0,0.005
-1,179476352.0,1.5279070138931274,19.46,1.5370792150497437,20.64,1,0.005
0,21716638592.0,0.3096905052661896,39.24,0.3406839966773987,40.17,1,0.005
10,237088260992.0,0.2065352797508239,58.8,0.2624391615390777,58.85,1,0.005
20,452459883392.0,0.2193923443555832,67.2,0.319948136806488,66.59,1,0.005
30,667831505792.0,0.1904055923223495,71.88,0.2818045914173126,71.28,1,0.005
40,883203128192.0,0.2529003918170929,76.2,0.299559473991394,75.18,1,0.005
50,1098574750592.0,0.1778482496738433,79.24,0.3513379395008087,77.62,1,0.005
60,1313946372992.0,0.2705170512199402,81.78,0.31250861287117,80.06,1,0.005
70,1529317995392.0,0.3610446453094482,84.14,0.564742386341095,80.8,1,0.005
80,1744689617792.0,0.2504117488861084,85.7,0.4192491471767425,82.46,1,0.005
90,1960061240192.0,0.3708564937114715,86.78,0.3913124203681946,83.48,1,0.005
100,2175432862592.0,0.3635090291500091,88.02,0.4392978549003601,84.62,1,0.005
101,2175432862592.0,0.3617264628410339,88.42,0.4392978250980377,84.62,1,0.005
-1,179796224.0,0.9835358262062072,25.0,1.019275784492493,23.03,2,0.005
0,21755343104.0,0.284692645072937,44.58,0.3159734904766083,43.76,2,0.005
10,237510811904.0,0.2648825943470001,59.8,0.3099422454833984,59.14,2,0.005
20,453266280704.0,0.2608662545681,67.9,0.2727854549884796,67.23,2,0.005
30,669021749504.0,0.3184410631656647,73.04,0.3309306204319,72.08,2,0.005
40,884777218304.0,0.531440794467926,76.74,0.5730283856391907,74.97,2,0.005
50,1100532687104.0,0.2679696679115295,80.44,0.343123197555542,78.22,2,0.005
60,1316288155904.0,0.2686944603919983,83.3,0.4478070437908172,79.98,2,0.005
