Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,143871904.0,0.9124594926834106,3.7121831155673135e-06,76.98,0.8223398327827454,3.1311863040173198e-06,77.72,0,0.001,LAMP,resnet18,cifar10,0.9
0,4460029024.0,0.5018382668495178,2.3544803298136685e-06,90.3,0.431253582239151,2.281225079059368e-06,87.82,0,0.001,LAMP,resnet18,cifar10,0.9
10,47621600224.0,0.1217723861336708,4.030386207887204e-06,97.22,0.1534981578588485,3.835118150163908e-06,92.03,0,0.001,LAMP,resnet18,cifar10,0.9
20,90783171424.0,0.1017013415694236,4.895681286143372e-06,97.42,0.1508160978555679,4.2190122258034535e-06,92.03,0,0.001,LAMP,resnet18,cifar10,0.9
30,133944742624.0,0.1030292361974716,5.742801022279309e-06,97.36,0.1493119597434997,4.717355750472052e-06,92.28,0,0.001,LAMP,resnet18,cifar10,0.9
40,177106313824.0,0.0778314471244812,7.387672667391598e-06,97.66,0.1359398514032364,6.2848830566508695e-06,92.64,0,0.001,LAMP,resnet18,cifar10,0.9
50,220267885024.0,0.0679153501987457,8.292548955068924e-06,97.82,0.1353413313627243,7.860875484766439e-06,92.78,0,0.001,LAMP,resnet18,cifar10,0.9
60,263429456224.0,0.060923833400011,8.455797797068954e-06,97.78,0.136237621307373,7.767861461616121e-06,92.75,0,0.001,LAMP,resnet18,cifar10,0.9
70,306591027424.0,0.0574280098080635,1.0001824193750508e-05,98.24,0.1441052109003067,8.0615373008186e-06,92.82,0,0.001,LAMP,resnet18,cifar10,0.9
80,349752598624.0,0.052214290946722,8.342144610651303e-06,98.22,0.1438740342855453,9.250696166418493e-06,92.91,0,0.001,LAMP,resnet18,cifar10,0.9
90,392914169824.0,0.0476700626313686,1.3775465049548076e-05,98.3,0.1427452713251114,1.0422129889775532e-05,93.05,0,0.001,LAMP,resnet18,cifar10,0.9
-1,143812288.0,0.8920890688896179,3.294819180155173e-06,78.94,0.7895808815956116,3.0334344955917918e-06,79.36,1,0.001,LAMP,resnet18,cifar10,0.9
0,4458180928.0,0.5232656002044678,2.485778850314091e-06,90.24,0.447878748178482,2.1491796360351145e-06,87.75,1,0.001,LAMP,resnet18,cifar10,0.9
10,47601867328.0,0.1306558847427368,3.3962605812121183e-06,96.98,0.1463954001665115,3.6119110973231727e-06,92.3,1,0.001,LAMP,resnet18,cifar10,0.9
20,90745553728.0,0.1133095175027847,4.44814259026316e-06,97.12,0.1369750350713729,3.906470738002099e-06,92.38,1,0.001,LAMP,resnet18,cifar10,0.9
30,133889240128.0,0.0974083021283149,4.585289843817009e-06,97.02,0.1311770379543304,4.182333668723004e-06,92.53,1,0.001,LAMP,resnet18,cifar10,0.9
40,177032926528.0,0.0740735307335853,5.839934146933956e-06,97.72,0.1173036694526672,5.833674549649004e-06,92.7,1,0.001,LAMP,resnet18,cifar10,0.9
50,220176612928.0,0.0644292533397674,6.7005153141508345e-06,97.56,0.1125906109809875,7.266735792654799e-06,92.89,1,0.001,LAMP,resnet18,cifar10,0.9
60,263320299328.0,0.0679950788617134,8.85250119608827e-06,97.98,0.1134295165538787,7.518704478570726e-06,92.9,1,0.001,LAMP,resnet18,cifar10,0.9
70,306463985728.0,0.0630494803190231,1.1028715562133584e-05,97.62,0.1119499430060386,8.248482117778622e-06,92.9,1,0.001,LAMP,resnet18,cifar10,0.9
80,349607672128.0,0.0628530457615852,1.0253475011268163e-05,98.04,0.1119784787297248,9.881177902570926e-06,92.96,1,0.001,LAMP,resnet18,cifar10,0.9
90,392751358528.0,0.0546335205435752,6.843602477601962e-06,98.24,0.1216978579759597,1.0935468708339611e-05,92.98,1,0.001,LAMP,resnet18,cifar10,0.9
-1,143915632.0,0.778677225112915,2.962213557111681e-06,83.2,0.7266324162483215,3.1094127734832e-06,80.9,2,0.001,LAMP,resnet18,cifar10,0.9
0,4461384592.0,0.42278653383255,2.1263176677166484e-06,91.9,0.3785232603549957,2.2208052996575134e-06,88.69,2,0.001,LAMP,resnet18,cifar10,0.9
10,47636074192.0,0.120457224547863,3.867733084916836e-06,97.2,0.1453320235013961,3.6958278997190064e-06,92.12,2,0.001,LAMP,resnet18,cifar10,0.9
20,90810763792.0,0.1154285445809364,5.185266218177276e-06,97.3,0.1381986439228058,3.788476078625536e-06,92.2,2,0.001,LAMP,resnet18,cifar10,0.9
30,133985453392.0,0.1030574515461921,5.9025956034020055e-06,97.24,0.1319252699613571,4.102758339286083e-06,92.29,2,0.001,LAMP,resnet18,cifar10,0.9
40,177160142992.0,0.073226474225521,5.878378487977898e-06,97.54,0.1196785494685173,5.4046381592343096e-06,92.69,2,0.001,LAMP,resnet18,cifar10,0.9
50,220334832592.0,0.058432437479496,8.944452019932214e-06,97.92,0.120018795132637,6.289017164817778e-06,92.84,2,0.001,LAMP,resnet18,cifar10,0.9
60,263509522192.0,0.0643049925565719,6.610571290366352e-06,97.94,0.1234896481037139,6.349442173814168e-06,92.84,2,0.001,LAMP,resnet18,cifar10,0.9
70,306684211792.0,0.0593512207269668,7.075951998558594e-06,97.96,0.1254083663225174,6.581583420484094e-06,92.91,2,0.001,LAMP,resnet18,cifar10,0.9
80,349858901392.0,0.0665174201130867,9.967371624952648e-06,98.12,0.120853953063488,7.652095519006252e-06,92.98,2,0.001,LAMP,resnet18,cifar10,0.9
90,393033590992.0,0.0549400858581066,7.386187007796252e-06,98.42,0.1180964410305023,8.80037623574026e-06,93.02,2,0.001,LAMP,resnet18,cifar10,0.9
-1,143873344.0,0.8715575337409973,4.294162863516249e-06,81.56,0.7852982878684998,3.632484549598303e-06,80.42,3,0.001,LAMP,resnet18,cifar10,0.9
0,4460073664.0,0.4727423787117004,3.224472948204493e-06,92.16,0.4053671658039093,2.4323521756741684e-06,88.92,3,0.001,LAMP,resnet18,cifar10,0.9
10,47622076864.0,0.1081597283482551,4.23144547312404e-06,97.06,0.1458925604820251,3.987197487731464e-06,92.38,3,0.001,LAMP,resnet18,cifar10,0.9
20,90784080064.0,0.121045596897602,4.904105480818544e-06,97.28,0.1396217048168182,4.2159363147220574e-06,92.43,3,0.001,LAMP,resnet18,cifar10,0.9
30,133946083264.0,0.0890326499938964,4.409568191476865e-06,97.7,0.1331829726696014,4.508862730290275e-06,92.47,3,0.001,LAMP,resnet18,cifar10,0.9
40,177108086464.0,0.07168909907341,3.972761533077573e-06,97.82,0.1205255314707756,6.115525593486382e-06,92.74,3,0.001,LAMP,resnet18,cifar10,0.9
50,220270089664.0,0.0613888390362262,6.458890766225522e-06,97.86,0.1135176420211792,7.689298399782274e-06,92.87,3,0.001,LAMP,resnet18,cifar10,0.9
60,263432092864.0,0.0616460926830768,7.979288056958467e-06,98.24,0.1139594838023185,7.802496838849038e-06,92.9,3,0.001,LAMP,resnet18,cifar10,0.9
70,306594096064.0,0.0545105189085006,8.229004379245453e-06,98.1,0.1121149137616157,8.119588528643362e-06,92.92,3,0.001,LAMP,resnet18,cifar10,0.9
80,349756099264.0,0.0572987906634807,1.0797958566399757e-05,98.4,0.1101793274283409,9.94927904685028e-06,93.01,3,0.001,LAMP,resnet18,cifar10,0.9
90,392918102464.0,0.0513458624482154,9.690130355011206e-06,98.36,0.1134403795003891,1.0523309356358368e-05,93.02,3,0.001,LAMP,resnet18,cifar10,0.9
-1,143741632.0,1.0630449056625366,3.3377830277459e-06,75.5,0.9887771010398864,3.4406291433697334e-06,75.83,4,0.001,LAMP,resnet18,cifar10,0.9
0,4455990592.0,0.497412770986557,2.724773821682902e-06,91.44,0.4201962351799011,2.2521612663695123e-06,88.5,4,0.001,LAMP,resnet18,cifar10,0.9
10,47578480192.0,0.1154756993055343,4.854765393247362e-06,96.7,0.1659243106842041,3.10309769702144e-06,92.06,4,0.001,LAMP,resnet18,cifar10,0.9
20,90700969792.0,0.1133617013692855,4.891741809842642e-06,97.02,0.159489706158638,3.172131755491137e-06,92.14,4,0.001,LAMP,resnet18,cifar10,0.9
30,133823459392.0,0.0950686112046241,4.559242370305583e-06,97.34,0.1539813876152038,3.4252670957357623e-06,92.22,4,0.001,LAMP,resnet18,cifar10,0.9
40,176945948992.0,0.0806261673569679,6.268081506277667e-06,97.44,0.1464793086051941,4.733125479106093e-06,92.59,4,0.001,LAMP,resnet18,cifar10,0.9
50,220068438592.0,0.0573915243148803,7.831256880308501e-06,97.68,0.1403795331716537,6.1930450101499446e-06,92.64,4,0.001,LAMP,resnet18,cifar10,0.9
60,263190928192.0,0.0691318809986114,1.0351060154789591e-05,97.96,0.1402426362037658,6.396545359166339e-06,92.65,4,0.001,LAMP,resnet18,cifar10,0.9
70,306313417792.0,0.0610339753329753,7.75971966504585e-06,97.9,0.1368458569049835,6.8819922489637975e-06,92.75,4,0.001,LAMP,resnet18,cifar10,0.9
80,349435907392.0,0.0514385141432285,9.363446224597284e-06,98.16,0.1408782601356506,7.871736670495011e-06,92.94,4,0.001,LAMP,resnet18,cifar10,0.9
90,392558396992.0,0.0500481016933918,1.0597778782539535e-05,98.42,0.1461512595415115,9.358400347991848e-06,93.09,4,0.001,LAMP,resnet18,cifar10,0.9
-1,143946688.0,0.8371273279190063,3.831677986454452e-06,82.74,0.7379614114761353,3.836834366666153e-06,81.28,5,0.001,LAMP,resnet18,cifar10,0.9
0,4462347328.0,0.4604329466819763,2.735775979090249e-06,92.0,0.3888597786426544,2.379261559326551e-06,89.26,5,0.001,LAMP,resnet18,cifar10,0.9
10,47646353728.0,0.1254943758249282,3.323364580865018e-06,97.3,0.1676201671361923,3.682306669361424e-06,92.18,5,0.001,LAMP,resnet18,cifar10,0.9
20,90830360128.0,0.1075378209352493,3.714226750162197e-06,97.16,0.168411523103714,3.854360329569317e-06,92.31,5,0.001,LAMP,resnet18,cifar10,0.9
30,134014366528.0,0.0947647243738174,4.045677997055464e-06,97.38,0.1624370217323303,4.2403603401908185e-06,92.44,5,0.001,LAMP,resnet18,cifar10,0.9
40,177198372928.0,0.0711311623454094,5.236811830400256e-06,97.6,0.1533256471157074,5.500356564880349e-06,92.69,5,0.001,LAMP,resnet18,cifar10,0.9
50,220382379328.0,0.0606824904680252,7.6627902672044e-06,97.88,0.138678565621376,7.126081072783563e-06,92.86,5,0.001,LAMP,resnet18,cifar10,0.9
60,263566385728.0,0.0582844913005828,7.62216632210766e-06,97.96,0.1395487934350967,7.312808975257212e-06,92.91,5,0.001,LAMP,resnet18,cifar10,0.9
70,306750392128.0,0.0673636943101883,6.587750249309465e-06,97.88,0.1399626582860946,7.761318556731567e-06,92.92,5,0.001,LAMP,resnet18,cifar10,0.9
80,349934398528.0,0.0529949925839901,1.0659516192390583e-05,98.28,0.1518925279378891,9.208454684994647e-06,92.91,5,0.001,LAMP,resnet18,cifar10,0.9
90,393118404928.0,0.0534196533262729,1.0604358976706862e-05,97.96,0.1463857293128967,1.05221461126348e-05,92.94,5,0.001,LAMP,resnet18,cifar10,0.9
-1,143913664.0,0.8677752614021301,3.746465154108592e-06,79.94,0.8127910494804382,3.19972468787455e-06,79.42,6,0.001,LAMP,resnet18,cifar10,0.9
0,4461323584.0,0.4409509897232055,1.941327127497061e-06,91.94,0.3984323441982269,2.1903049400862078e-06,88.49,6,0.001,LAMP,resnet18,cifar10,0.9
10,47635422784.0,0.1209413856267929,3.915955858246889e-06,97.0,0.1334839761257171,3.438617341089412e-06,92.33,6,0.001,LAMP,resnet18,cifar10,0.9
20,90809521984.0,0.1267309784889221,3.3979308682319243e-06,97.54,0.1286581009626388,3.694102588269743e-06,92.4,6,0.001,LAMP,resnet18,cifar10,0.9
30,133983621184.0,0.1001299992203712,4.454517238627886e-06,97.36,0.1173426061868667,4.108968369109789e-06,92.54,6,0.001,LAMP,resnet18,cifar10,0.9
40,177157720384.0,0.0674945265054702,7.180781267379643e-06,97.82,0.1102116480469703,5.333873104973463e-06,92.77,6,0.001,LAMP,resnet18,cifar10,0.9
50,220331819584.0,0.0705983936786651,6.487927748821676e-06,97.82,0.1163020133972168,6.979239060456166e-06,92.83,6,0.001,LAMP,resnet18,cifar10,0.9
60,263505918784.0,0.0690687894821167,7.390267001028405e-06,97.96,0.1121668145060539,7.147524229367264e-06,92.86,6,0.001,LAMP,resnet18,cifar10,0.9
70,306680017984.0,0.0585823915898799,6.706311069137882e-06,97.56,0.1138399168848991,7.464644113497343e-06,92.94,6,0.001,LAMP,resnet18,cifar10,0.9
80,349854117184.0,0.0619253739714622,7.266913144121645e-06,98.22,0.1232274696230888,8.578389497415628e-06,92.99,6,0.001,LAMP,resnet18,cifar10,0.9
90,393028216384.0,0.0504074580967426,9.300836609327234e-06,98.02,0.1201001107692718,9.574484465701971e-06,93.0,6,0.001,LAMP,resnet18,cifar10,0.9
-1,143876128.0,0.9342491030693054,4.26752376370132e-06,80.66,0.848913848400116,4.510744929575594e-06,79.72,7,0.001,LAMP,resnet18,cifar10,0.9
0,4460159968.0,0.4775205552577972,2.9477012049028417e-06,91.94,0.4277730286121368,3.0652465738967294e-06,88.54,7,0.001,LAMP,resnet18,cifar10,0.9
10,47622998368.0,0.1170135363936424,4.986279236618429e-06,96.64,0.1456903517246246,4.213516604067991e-06,92.15,7,0.001,LAMP,resnet18,cifar10,0.9
20,90785836768.0,0.1097503527998924,5.53722065887996e-06,97.2,0.1429081410169601,4.528621047938941e-06,92.24,7,0.001,LAMP,resnet18,cifar10,0.9
30,133948675168.0,0.1025291234254837,4.773440196004231e-06,97.08,0.1435683667659759,4.76926425108104e-06,92.38,7,0.001,LAMP,resnet18,cifar10,0.9
40,177111513568.0,0.0736840739846229,6.966537512198556e-06,97.92,0.1316632181406021,6.441397090384271e-06,92.7,7,0.001,LAMP,resnet18,cifar10,0.9
50,220274351968.0,0.061882559210062,8.72731652634684e-06,98.0,0.1388052552938461,7.737367013760377e-06,92.86,7,0.001,LAMP,resnet18,cifar10,0.9
60,263437190368.0,0.0704772323369979,9.174743354378734e-06,98.14,0.1340433657169342,8.062162123678718e-06,92.89,7,0.001,LAMP,resnet18,cifar10,0.9
70,306600028768.0,0.0596130453050136,8.996213182399515e-06,97.76,0.1344356089830398,8.312724276038352e-06,92.9,7,0.001,LAMP,resnet18,cifar10,0.9
80,349762867168.0,0.0568100996315479,9.878632226900663e-06,98.16,0.1380347162485122,9.37977347348351e-06,93.0,7,0.001,LAMP,resnet18,cifar10,0.9
90,392925705568.0,0.0526350364089012,1.1217250175832303e-05,98.02,0.138303130865097,1.0858214409381615e-05,93.08,7,0.001,LAMP,resnet18,cifar10,0.9
-1,143927536.0,0.899439811706543,3.952572114940267e-06,80.54,0.8030357956886292,3.571205979824299e-06,80.12,8,0.001,LAMP,resnet18,cifar10,0.9
0,4461753616.0,0.4731801450252533,2.4195921923819697e-06,91.64,0.4018800258636474,2.3918951228552032e-06,88.73,8,0.001,LAMP,resnet18,cifar10,0.9
10,47640014416.0,0.1137007772922515,4.995441031496739e-06,97.3,0.1549904495477676,3.851678229693789e-06,92.23,8,0.001,LAMP,resnet18,cifar10,0.9
20,90818275216.0,0.1006174907088279,5.394184881879482e-06,97.36,0.1485942304134369,4.100933892914327e-06,92.35,8,0.001,LAMP,resnet18,cifar10,0.9
30,133996536016.0,0.0944599732756614,4.139160864724545e-06,97.3,0.1411111801862716,4.542590886558173e-06,92.53,8,0.001,LAMP,resnet18,cifar10,0.9
40,177174796816.0,0.0722120180726051,6.518275768030435e-06,97.54,0.1243938356637954,5.944356871623313e-06,92.73,8,0.001,LAMP,resnet18,cifar10,0.9
50,220353057616.0,0.0607470199465751,7.452249974448932e-06,97.82,0.1237942352890968,7.359814844676293e-06,92.8,8,0.001,LAMP,resnet18,cifar10,0.9
60,263531318416.0,0.0546657480299472,7.1061417656892445e-06,98.06,0.1222781687974929,7.637941962457262e-06,92.8,8,0.001,LAMP,resnet18,cifar10,0.9
70,306709579216.0,0.058120273053646,6.007409865560476e-06,97.98,0.1227763667702674,8.04615319793811e-06,92.73,8,0.001,LAMP,resnet18,cifar10,0.9
