Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
-1,498489568.0,1.9915037155151367,42.68,1.8832443952560425,40.54,0,0.005,LAMP,resnet50,cifar100,0.8
0,60317237728.0,0.6408243775367737,79.14,0.592637300491333,65.07,0,0.005,LAMP,resnet50,cifar100,0.8
10,658504719328.0,0.2357973903417587,89.4,0.2883153557777405,70.85,0,0.005,LAMP,resnet50,cifar100,0.8
20,1256692200928.0,0.1580012291669845,91.6,0.3629446625709533,72.1,0,0.005,LAMP,resnet50,cifar100,0.8
30,1854879682528.0,0.157840222120285,92.76,0.3756557404994964,72.85,0,0.005,LAMP,resnet50,cifar100,0.8
40,2453067164128.0,0.1594747751951217,94.42,0.3574655950069427,73.09,0,0.005,LAMP,resnet50,cifar100,0.8
50,3051254645728.0,0.1697244644165039,95.12,0.3528125286102295,73.51,0,0.005,LAMP,resnet50,cifar100,0.8
60,3649442127328.0,0.1432387381792068,95.8,0.3864993155002594,73.63,0,0.005,LAMP,resnet50,cifar100,0.8
70,4247629608928.0,0.1345048993825912,96.5,0.4133103489875793,73.47,0,0.005,LAMP,resnet50,cifar100,0.8
80,4845817090528.0,0.129306674003601,97.42,0.4397561550140381,73.49,0,0.005,LAMP,resnet50,cifar100,0.8
90,5444004572128.0,0.1224236935377121,97.68,0.463196724653244,73.83,0,0.005,LAMP,resnet50,cifar100,0.8
100,6042192053728.0,0.1143565699458122,97.76,0.4537440836429596,73.76,0,0.005,LAMP,resnet50,cifar100,0.8
101,6042192053728.0,0.1292694360017776,97.76,0.4537440836429596,73.76,0,0.005,LAMP,resnet50,cifar100,0.8
-1,498256192.0,1.9854286909103396,44.6,1.8633229732513428,41.37,1,0.005,LAMP,resnet50,cifar100,0.8
0,60288999232.0,0.7028083801269531,79.04,0.6277964115142822,64.72,1,0.005,LAMP,resnet50,cifar100,0.8
10,658196429632.0,0.2091584056615829,89.5,0.3931955695152282,70.65,1,0.005,LAMP,resnet50,cifar100,0.8
20,1256103860032.0,0.159522071480751,91.72,0.4369041323661804,71.92,1,0.005,LAMP,resnet50,cifar100,0.8
30,1854011290432.0,0.1610117852687835,93.26,0.4345270991325378,72.75,1,0.005,LAMP,resnet50,cifar100,0.8
40,2451918720832.0,0.1223382502794265,94.44,0.4346344172954559,72.79,1,0.005,LAMP,resnet50,cifar100,0.8
50,3049826151232.0,0.1414445638656616,95.4,0.4591423869132995,73.33,1,0.005,LAMP,resnet50,cifar100,0.8
60,3647733581632.0,0.1251727044582367,96.06,0.4727694094181061,73.22,1,0.005,LAMP,resnet50,cifar100,0.8
70,4245641012032.0,0.1536986529827118,96.58,0.4835942089557647,73.57,1,0.005,LAMP,resnet50,cifar100,0.8
80,4843548442432.0,0.1269025951623916,97.18,0.4665209352970123,73.76,1,0.005,LAMP,resnet50,cifar100,0.8
90,5441455872832.0,0.1094104200601577,97.48,0.5046415328979492,73.84,1,0.005,LAMP,resnet50,cifar100,0.8
100,6039363303232.0,0.1126681491732597,97.82,0.5115154385566711,73.9,1,0.005,LAMP,resnet50,cifar100,0.8
101,6039363303232.0,0.1225335299968719,97.82,0.5115154385566711,73.9,1,0.005,LAMP,resnet50,cifar100,0.8
-1,498667360.0,2.008212089538574,45.26,1.8661894798278809,41.71,2,0.005,LAMP,resnet50,cifar100,0.8
0,60338750560.0,0.652673065662384,79.1,0.6015642285346985,65.1,2,0.005,LAMP,resnet50,cifar100,0.8
10,658739582560.0,0.2085886150598526,88.38,0.4286614656448364,71.29,2,0.005,LAMP,resnet50,cifar100,0.8
20,1257140414560.0,0.1832156926393509,92.02,0.442394882440567,72.51,2,0.005,LAMP,resnet50,cifar100,0.8
30,1855541246560.0,0.1543744355440139,93.54,0.4515316784381866,73.24,2,0.005,LAMP,resnet50,cifar100,0.8
40,2453942078560.0,0.1345147937536239,95.0,0.4653779566287994,73.55,2,0.005,LAMP,resnet50,cifar100,0.8
50,3052342910560.0,0.1472684442996978,95.16,0.4431360960006714,73.81,2,0.005,LAMP,resnet50,cifar100,0.8
60,3650743742560.0,0.1259187161922454,96.24,0.4516650736331939,74.0,2,0.005,LAMP,resnet50,cifar100,0.8
70,4249144574560.0,0.1356994807720184,96.64,0.5007056593894958,73.91,2,0.005,LAMP,resnet50,cifar100,0.8
80,4847545406560.0,0.1200279667973518,97.22,0.4565495550632477,74.14,2,0.005,LAMP,resnet50,cifar100,0.8
90,5445946238560.0,0.1325248032808303,97.48,0.4911541640758514,74.41,2,0.005,LAMP,resnet50,cifar100,0.8
100,6044347070560.0,0.1197561398148536,97.68,0.4990515112876892,74.36,2,0.005,LAMP,resnet50,cifar100,0.8
101,6044347070560.0,0.1618293970823288,97.76,0.4990515112876892,74.36,2,0.005,LAMP,resnet50,cifar100,0.8
-1,498339296.0,2.031442880630493,40.46,2.017726182937622,38.24,3,0.005,LAMP,resnet50,cifar100,0.8
0,60299054816.0,0.6930528283119202,79.14,0.6080655455589294,65.8,3,0.005,LAMP,resnet50,cifar100,0.8
10,658306210016.0,0.2147908061742782,89.14,0.3298512995243072,71.32,3,0.005,LAMP,resnet50,cifar100,0.8
20,1256313365216.0,0.1570462584495544,92.24,0.3612194657325744,72.49,3,0.005,LAMP,resnet50,cifar100,0.8
30,1854320520416.0,0.1871689558029174,93.4,0.4313056170940399,72.89,3,0.005,LAMP,resnet50,cifar100,0.8
40,2452327675616.0,0.1389421373605728,94.7,0.4124771952629089,73.54,3,0.005,LAMP,resnet50,cifar100,0.8
50,3050334830816.0,0.1362278312444687,95.74,0.4192066788673401,73.67,3,0.005,LAMP,resnet50,cifar100,0.8
60,3648341986016.0,0.1443455219268798,96.22,0.4444600939750671,73.81,3,0.005,LAMP,resnet50,cifar100,0.8
70,4246349141216.0,0.1180901378393173,96.7,0.4519816935062408,73.86,3,0.005,LAMP,resnet50,cifar100,0.8
80,4844356296416.0,0.1596249043941497,97.16,0.4238905012607574,73.81,3,0.005,LAMP,resnet50,cifar100,0.8
