Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual
-1,0.0,0.64779335,3.015196e-07,29.02,0.6375496,3.3992055e-07,29.07,1
0,3970702560.0,0.6439604,3.1897878e-07,29.26,0.63325006,3.3485404e-07,29.3,1
1,7941405120.0,0.63675034,3.1724335e-07,29.46,0.6251752,3.2872612e-07,29.78,1
2,11912107680.0,0.6261049,2.6445647e-07,30.18,0.6162167,3.183694e-07,30.25,1
3,15882810240.0,0.61808705,2.3955687e-07,30.78,0.60711765,3.0924008e-07,30.79,1
4,19853512800.0,0.60857916,2.3037438e-07,31.08,0.5986494,3.0124056e-07,31.19,1
5,23824215360.0,0.6015788,2.242522e-07,31.36,0.59084654,2.9557927e-07,31.71,1
6,27794917920.0,0.5944641,2.3177354e-07,31.58,0.5837203,2.880479e-07,32.18,1
7,31765620480.0,0.58768696,2.4016697e-07,32.12,0.57720023,2.8182265e-07,32.69,1
8,35736323040.0,0.58182967,2.1247594e-07,32.66,0.5715659,2.775587e-07,33.08,1
9,39707025600.0,0.57614726,1.9578562e-07,32.58,0.566709,2.7400506e-07,33.43,1
10,43677728160.0,0.5736897,2.620871e-07,33.28,0.5626245,2.7170137e-07,33.7,1
11,47648430720.0,0.56971914,2.3919299e-07,33.78,0.5592587,2.6961268e-07,33.95,1
12,51619133280.0,0.5661767,2.1087834e-07,33.84,0.5565449,2.6674735e-07,34.18,1
13,55589835840.0,0.5656474,2.4134272e-07,33.82,0.5544675,2.6418095e-07,34.34,1
14,59560538400.0,0.5627371,2.8044965e-07,33.94,0.5529555,2.6306273e-07,34.47,1
15,63531240960.0,0.5612659,2.3119506e-07,33.9,0.55192,2.6209338e-07,34.54,1
16,67501943520.0,0.5613291,1.848808e-07,34.26,0.5512646,2.61285e-07,34.59,1
17,71472646080.0,0.56112933,2.4577758e-07,34.06,0.55090934,2.609829e-07,34.61,1
18,75443348640.0,0.56049734,2.310728e-07,34.0,0.5507793,2.6069145e-07,34.62,1
19,79414051200.0,0.5605017,1.4673984e-07,33.72,0.55075896,2.606303e-07,34.62,1
20,83384753760.0,0.5604469,2.2280616e-07,33.76,0.5507433,2.6055002e-07,34.62,1
21,87355456320.0,0.56087554,1.7559039e-07,34.5,0.5506266,2.6044876e-07,34.64,1
22,91326158880.0,0.5599125,2.679305e-07,34.1,0.5503223,2.6050571e-07,34.66,1
23,95296861440.0,0.560221,2.6566968e-07,34.1,0.5497075,2.6050498e-07,34.72,1
24,99267564000.0,0.55778944,2.6263874e-07,34.26,0.5487213,2.594736e-07,34.79,1
25,103238266560.0,0.55707526,2.0299674e-07,34.2,0.54729337,2.589963e-07,34.93,1
26,107208969120.0,0.55548835,2.1353793e-07,34.52,0.54529756,2.5619144e-07,35.07,1
27,111179671680.0,0.5534006,2.4495185e-07,35.04,0.54277533,2.544674e-07,35.28,1
28,115150374240.0,0.5498157,2.4559358e-07,34.68,0.53964776,2.525216e-07,35.44,1
29,119121076800.0,0.5463987,1.8294274e-07,35.0,0.53585523,2.4955574e-07,35.89,1
30,123091779360.0,0.5415758,2.0741636e-07,35.5,0.5315358,2.4635298e-07,36.26,1
31,127062481920.0,0.5363424,1.6624209e-07,35.96,0.52661467,2.4257122e-07,36.57,1
32,131033184480.0,0.5318171,1.9744193e-07,36.5,0.5211673,2.3817702e-07,37.03,1
33,135003887040.0,0.5250583,2.1199476e-07,36.74,0.5152744,2.3605304e-07,37.56,1
34,138974589600.0,0.5179675,1.9625621e-07,37.72,0.5089014,2.3309585e-07,38.18,1
35,142945292160.0,0.5121976,1.4030232e-07,38.16,0.50226974,2.3073011e-07,38.87,1
36,146915994720.0,0.5056719,1.3320631e-07,38.44,0.49544987,2.2496752e-07,39.59,1
37,150886697280.0,0.49846357,1.8933783e-07,39.54,0.48843694,2.2381658e-07,40.26,1
38,154857399840.0,0.49128217,1.4265197e-07,40.08,0.48138663,2.1968998e-07,40.92,1
39,158828102400.0,0.48371512,1.4973325e-07,40.6,0.47440022,2.1613926e-07,41.62,1
40,162798804960.0,0.47708434,1.6882476e-07,41.66,0.46752825,2.1360708e-07,42.13,1
41,166769507520.0,0.4705349,1.4751353e-07,41.98,0.46087697,2.1132428e-07,42.77,1
42,170740210080.0,0.46382162,1.686502e-07,42.64,0.454524,2.0745783e-07,43.45,1
43,174710912640.0,0.45765117,1.5500986e-07,43.4,0.44851345,2.0573408e-07,44.08,1
44,178681615200.0,0.45235667,1.7780597e-07,43.84,0.44287428,2.0557317e-07,44.75,1
45,182652317760.0,0.44683272,1.434528e-07,44.6,0.4377556,2.041179e-07,45.19,1
46,186623020320.0,0.44252458,1.2634953e-07,45.18,0.43310112,2.0375266e-07,45.58,1
47,190593722880.0,0.43838048,1.4254849e-07,45.2,0.42888716,2.0258824e-07,46.11,1
48,194564425440.0,0.434381,1.3396942e-07,45.94,0.425182,2.0154872e-07,46.55,1
49,198535128000.0,0.43167564,1.2585959e-07,46.68,0.42196515,1.9972215e-07,46.96,1
50,202505830560.0,0.4290978,1.4830862e-07,46.62,0.41922194,1.993913e-07,47.3,1
51,206476533120.0,0.4270559,1.3792213e-07,47.28,0.4170023,1.9848129e-07,47.73,1
52,210447235680.0,0.4244857,1.7799682e-07,47.08,0.41519675,1.9798833e-07,47.89,1
53,214417938240.0,0.4228939,1.3811514e-07,47.52,0.41381952,1.9773137e-07,48.01,1
54,218388640800.0,0.4221095,1.3276592e-07,47.16,0.41281357,1.9741492e-07,48.1,1
55,222359343360.0,0.421861,1.320179e-07,47.42,0.41211984,1.9706218e-07,48.19,1
56,226330045920.0,0.421215,1.391357e-07,47.46,0.41168863,1.970174e-07,48.22,1
57,230300748480.0,0.42054358,1.383786e-07,47.9,0.4114664,1.9691144e-07,48.24,1
58,234271451040.0,0.4199706,1.2823833e-07,47.4,0.41137797,1.9681089e-07,48.24,1
59,238242153600.0,0.42038846,1.095702e-07,47.46,0.4113647,1.9677876e-07,48.24,1
60,242212856160.0,0.42082107,1.6321152e-07,47.8,0.4113542,1.9678804e-07,48.24,1
61,246183558720.0,0.4204285,1.1995634e-07,47.62,0.41127545,1.9678558e-07,48.25,1
62,250154261280.0,0.42073888,1.3172478e-07,47.6,0.41107193,1.9674366e-07,48.27,1
63,254124963840.0,0.41963243,1.5280955e-07,48.08,0.4106657,1.9668272e-07,48.33,1
64,258095666400.0,0.41920894,1.3926248e-07,47.64,0.41000298,1.9643065e-07,48.36,1
65,262066368960.0,0.4178977,1.3515798e-07,48.44,0.4090283,1.9618022e-07,48.51,1
66,266037071520.0,0.41685358,1.4773568e-07,47.96,0.4077337,1.9564192e-07,48.65,1
67,270007774080.0,0.41575485,1.4718432e-07,48.18,0.40602362,1.9474165e-07,48.77,1
68,273978476640.0,0.41254157,1.2860095e-07,48.66,0.40392542,1.9473468e-07,49.01,1
69,277949179200.0,0.4105526,1.2133444e-07,48.26,0.4014246,1.938102e-07,49.28,1
70,281919881760.0,0.40744093,1.2010187e-07,49.0,0.39847988,1.9305155e-07,49.71,1
71,285890584320.0,0.4051202,1.380662e-07,49.38,0.3951803,1.9177142e-07,50.06,1
72,289861286880.0,0.40058997,1.3435044e-07,49.88,0.39155886,1.9098657e-07,50.53,1
73,293831989440.0,0.3965603,1.3767185e-07,50.78,0.3875711,1.9070629e-07,51.0,1
74,297802692000.0,0.39234117,1.7219924e-07,51.6,0.38329348,1.9091053e-07,51.57,1
75,301773394560.0,0.38738132,1.5378612e-07,51.48,0.3788655,1.8956459e-07,52.02,1
76,305744097120.0,0.38290194,1.4059101e-07,52.32,0.37419066,1.8960573e-07,52.67,1
77,309714799680.0,0.3783145,1.2789084e-07,52.9,0.36951166,1.8824471e-07,53.42,1
78,313685502240.0,0.37309667,1.2553934e-07,53.78,0.36469188,1.8651724e-07,54.12,1
79,317656204800.0,0.36837727,1.617656e-07,54.3,0.35993508,1.852663e-07,54.85,1
80,321626907360.0,0.3641323,1.0503804e-07,54.8,0.35523877,1.8547182e-07,55.52,1
81,325597609920.0,0.35925317,1.3799455e-07,55.48,0.35075295,1.8480812e-07,56.19,1
82,329568312480.0,0.3550601,1.3137783e-07,56.12,0.34638518,1.8542613e-07,56.82,1
83,333539015040.0,0.35040656,8.2798934e-08,57.08,0.34227726,1.8466122e-07,57.38,1
84,337509717600.0,0.34705997,1.2892698e-07,57.4,0.33838782,1.8478458e-07,57.9,1
85,341480420160.0,0.34331667,1.2858492e-07,58.1,0.33485967,1.8459374e-07,58.35,1
86,345451122720.0,0.34011033,1.200286e-07,58.1,0.33160046,1.8423447e-07,58.9,1
87,349421825280.0,0.33754513,1.4143596e-07,59.02,0.32870844,1.8313474e-07,59.37,1
88,353392527840.0,0.33457482,9.93162e-08,59.28,0.3261748,1.8189128e-07,59.65,1
89,357363230400.0,0.33207285,9.098289e-08,59.44,0.32394853,1.8142173e-07,59.93,1
90,361333932960.0,0.33061,1.057841e-07,59.7,0.32208213,1.8101609e-07,60.11,1
91,365304635520.0,0.32880366,8.795845e-08,60.06,0.32053232,1.8106573e-07,60.31,1
92,369275338080.0,0.3272844,1.13703294e-07,60.76,0.31926402,1.8081377e-07,60.5,1
93,373246040640.0,0.32649827,1.3386506e-07,60.14,0.31829992,1.8019345e-07,60.64,1
94,377216743200.0,0.3254152,1.1051971e-07,60.26,0.31760767,1.8030995e-07,60.72,1
95,381187445760.0,0.32495514,1.1054544e-07,60.46,0.31712243,1.8014345e-07,60.84,1
96,385158148320.0,0.32432857,1.0983774e-07,60.5,0.31681898,1.7996031e-07,60.87,1
97,389128850880.0,0.32524598,1.16147866e-07,60.5,0.31665498,1.7991266e-07,60.9,1
98,393099553440.0,0.32496318,1.2241601e-07,60.96,0.31659704,1.799186e-07,60.91,1
99,397070256000.0,0.3247733,1.1420885e-07,60.84,0.31658828,1.7988553e-07,60.91,1
