sigma,pruning_rate,pruner,delta,Determinstic performance,quantil_50_performance,Population
0.001,0.55,global,-0.14000000000000057,63.6,63.46,1
0.001,0.55,lamp,-0.35999999999999943,65.24,64.88,1
0.001,0.65,global,-0.4899999999999949,55.01,54.52,1
0.001,0.65,lamp,0.44999999999999574,56.09,56.54,1
0.001,0.7,global,-0.4299999999999997,45.04,44.61,1
0.001,0.7,lamp,-0.21000000000000085,46.39,46.18,1
0.001,0.75,global,-1.6500000000000021,28.03,26.38,1
0.001,0.75,lamp,0.7100000000000009,29.25,29.96,1
0.003,0.55,global,-1.0900000000000034,63.6,62.51,1
0.003,0.55,lamp,-1.539999999999992,65.24,63.7,1
0.003,0.65,global,-1.4399999999999977,55.01,53.57,1
0.003,0.65,lamp,-0.9600000000000009,56.09,55.13,1
0.003,0.7,global,-2.219999999999999,45.04,42.82,1
0.003,0.7,lamp,-0.14999999999999858,46.39,46.24,1
0.003,0.75,global,-0.870000000000001,28.03,27.16,1
0.003,0.75,lamp,0.39000000000000057,29.25,29.64,1
