,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,conv1,192.0,0.0,0.8872981667518616,0.9441540983214296,0.8872981667518616,0.9441540983214296,0.8213179111480713,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
1,layer1.0.conv2,4096.0,0.0,0.8587350249290466,0.9029187971536112,0.8587350249290466,0.9029187971536112,0.9257692098617554,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
2,layer1.1.conv2,4096.0,0.0,0.8606553673744202,0.9049379453664642,0.8606553673744202,0.9049379453664642,0.9307333827018738,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
3,layer1.2.conv2,4096.0,0.0,0.8509653806686401,0.894749387910641,0.8509653806686401,0.894749387910641,0.933712363243103,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
4,layer2.0.conv2,16384.0,0.0,0.7997915148735046,0.8407730985541005,0.7997915148735046,0.8407730985541005,0.9389889240264893,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
5,layer2.1.conv2,16384.0,0.0,0.9057456254959106,0.9521563331044617,0.9057456254959106,0.9521563331044617,0.9491207599639893,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
6,layer2.2.conv2,16384.0,0.0,0.8963627219200134,0.9422926464233281,0.8963627219200134,0.9422926464233281,0.9491316080093384,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
7,layer2.3.conv2,16384.0,0.0,0.8651221394538879,0.9094512861035283,0.8651221394538879,0.9094512861035283,0.9485700726509094,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
8,layer3.0.conv2,65536.0,0.0,0.8375210165977478,0.8804058167806963,0.8375210165977478,0.8804058167806963,0.9485046863555908,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
9,layer3.1.conv2,65536.0,0.0,0.9312452077865601,0.9789291033137286,0.9312452077865601,0.9789291033137286,0.9581703543663025,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
10,layer3.2.conv2,65536.0,0.0,0.9269497394561768,0.9744136879045378,0.9269497394561768,0.9744136879045378,0.9601891040802002,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
11,layer3.3.conv2,65536.0,0.0,0.9241459965705872,0.971466380916042,0.9241459965705872,0.971466380916042,0.9616916179656982,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
12,layer3.4.conv2,65536.0,0.0,0.9263972640037537,0.9738329232523052,0.9263972640037537,0.9738329232523052,0.9631650447845459,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
13,layer3.5.conv2,65536.0,0.0,0.9264939427375793,0.9739345523671957,0.9264939427375793,0.9739345523671957,0.9641110897064209,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
14,layer4.0.conv2,262144.0,0.0,0.9247249960899353,0.9720694054718747,0.9247249960899353,0.9720694054718747,0.962037980556488,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
15,layer4.1.conv2,262144.0,0.0,0.9418383836746216,0.9900589705484067,0.9418383836746216,0.9900589705484067,0.973659873008728,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
16,layer4.2.conv2,262144.0,0.0,0.9510475397109985,0.999739620331889,0.9510475397109985,0.999739620331889,0.9805048108100891,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.65.pth
0,conv1,192.0,0.0,0.8958320617675781,0.9532348247960813,0.8958320617675781,0.9532348247960813,0.8256463408470154,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.66.pth
1,layer1.0.conv2,4096.0,0.0,0.8637011051177979,0.9081403928966825,0.8637011051177979,0.9081403928966825,0.9237518310546875,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_92.66.pth
