,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,conv1,192.0,0.328125,0.891293466091156,0.9484054068291712,0.8908901214599609,0.9556352512716814,0.7729222774505615,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
1,layer1.0.conv2,4096.0,0.318115234375,0.8797135949134827,0.9249767598853805,0.8797131180763245,0.9251182656607385,0.9125120639801025,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
2,layer1.1.conv2,4096.0,0.38037109375,0.9148932099342346,0.9619664421002045,0.9148237705230713,0.9620908068429344,0.9178707003593445,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
3,layer1.2.conv2,4096.0,0.19873046875,0.8573142290115356,0.9014248982166886,0.8573073148727417,0.9014893670134778,0.8843456506729126,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
4,layer2.0.conv2,16384.0,0.1617431640625,0.7575293779373169,0.7963454356412523,0.7576146125793457,0.796443336148264,0.9319711923599243,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
5,layer2.1.conv2,16384.0,0.263671875,0.9131888151168823,0.9599809142413844,0.9132447242736816,0.9600586248013436,0.9418647289276123,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
6,layer2.2.conv2,16384.0,0.15167236328125,0.9058583974838257,0.9522748835666086,0.905953049659729,0.952383564246353,0.9436537623405457,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
7,layer2.3.conv2,16384.0,0.07684326171875,0.8745272755622864,0.9193383445195356,0.8746011257171631,0.9194200532602939,0.9364632368087769,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
8,layer3.0.conv2,65536.0,0.0084991455078125,0.7100978493690491,0.746458016788178,0.7101181149482727,0.7464793771880563,0.8822969794273376,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
9,layer3.1.conv2,65536.0,0.6780242919921875,0.8123045563697815,0.853898161661179,0.8144708871841431,0.8561949071471581,0.7117335796356201,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
10,layer3.2.conv2,65536.0,0.567901611328125,0.8211382627487183,0.8631841930868047,0.8205013871192932,0.8625262914539088,0.6811993718147278,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
11,layer3.3.conv2,65536.0,0.4791412353515625,0.7655028104782104,0.804699958270635,0.7661590576171875,0.8053971305002502,0.4093471169471741,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
12,layer3.4.conv2,65536.0,0.3085479736328125,0.6615850925445557,0.6954611910967399,0.6605256199836731,0.6943503893491456,0.5829173922538757,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
13,layer3.5.conv2,65536.0,0.7184295654296875,0.7203162312507629,0.7571996252594412,0.7391159534454346,0.7769839897931742,0.5536817312240601,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
14,layer4.0.conv2,262144.0,0.11014556884765625,0.6390294432640076,0.6717467069877423,0.6393826603889465,0.6721181360742231,0.7912634015083313,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
15,layer4.1.conv2,262144.0,0.5129585266113281,0.7166757583618164,0.7533683865934142,0.7167800068855286,0.7534793170839357,0.7765728831291199,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
16,layer4.2.conv2,262144.0,0.9603271484375,0.45050063729286194,0.47356553408812874,0.44858962297439575,0.4715908111761505,0.46415770053863525,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_1726773352.3669455_rf_level_3_recording_200_no_ffcv_test_acc_92.59.pth
0,conv1,192.0,0.203125,0.890296459197998,0.9473445141332292,0.8899029493331909,0.9508096118113718,0.8044058680534363,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_92.3.pth
1,layer1.0.conv2,4096.0,0.454345703125,0.8792294859886169,0.9244677425104724,0.8792055249214172,0.9247054390447311,0.8999677896499634,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/resnet50_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_92.3.pth
