,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,conv1,192.0,0.21875,0.9131895899772644,0.9717045816489525,0.9128648638725281,0.9757490866301219,0.8217930793762207,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
1,layer1.0.conv2,4096.0,0.49951171875,0.8460915088653564,0.8896247448736746,0.8462309241294861,0.8900792288863658,0.9061828255653381,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
2,layer1.1.conv2,4096.0,0.505859375,0.8882819414138794,0.933985966324087,0.8883550763130188,0.9343951483465415,0.9259650111198425,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
3,layer1.2.conv2,4096.0,0.401611328125,0.9134920835494995,0.9604932247360127,0.9133872985839844,0.9605997614230573,0.919067919254303,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
4,layer2.0.conv2,16384.0,0.267578125,0.7667146325111389,0.8060013457195957,0.7667365670204163,0.8060406379517355,0.9355735778808594,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
5,layer2.1.conv2,16384.0,0.1156005859375,0.8857843279838562,0.9311722120575853,0.8858874440193176,0.9312871331298871,0.9429516196250916,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
6,layer2.2.conv2,16384.0,0.18609619140625,0.937288224697113,0.9853151855974634,0.9373540878295898,0.9853966441985423,0.9453956484794617,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
7,layer2.3.conv2,16384.0,0.0,0.9098582863807678,0.9564797281032327,0.9098582863807678,0.9564797281032327,0.9487801790237427,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
8,layer3.0.conv2,65536.0,0.0078125,0.833635151386261,0.8763209779914366,0.8336453437805176,0.8763317538855678,0.9300281405448914,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
9,layer3.1.conv2,65536.0,0.5523223876953125,0.3850654661655426,0.4047825302709255,0.3942323327064514,0.41442397257461633,0.3650326132774353,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
10,layer3.2.conv2,65536.0,0.4525146484375,0.43439343571662903,0.45663631120549497,0.438568115234375,0.46102848651998524,0.5737878680229187,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
11,layer3.3.conv2,65536.0,0.66748046875,0.3508560061454773,0.36882139378154993,0.3662683963775635,0.3850312684159157,0.5383690595626831,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
12,layer3.4.conv2,65536.0,0.6792755126953125,0.34007713198661804,0.3574905933362583,0.3513079881668091,0.3693049803706913,0.5166934132575989,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
13,layer3.5.conv2,65536.0,0.8632659912109375,0.3414854109287262,0.3589709824222761,0.3395910859107971,0.3570089514150052,0.6472254991531372,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
14,layer4.0.conv2,262144.0,0.3025474548339844,0.42997199296951294,0.4519858567062916,0.42924338579177856,0.4512202581834666,0.6897127628326416,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
15,layer4.1.conv2,262144.0,0.9985885620117188,1.197787008466733e-10,1.259111746871125e-10,4.938938797868775e-13,5.219211826348257e-13,0.7252746820449829,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
16,layer4.2.conv2,262144.0,0.9964637756347656,9.853580451579802e-11,1.0358067676160134e-10,9.147199057230049e-13,9.631155559569609e-13,0.5329757928848267,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/resnet50_normal_cifar10_rf_level_4_sam_optim_saturation_200_gc_0_test_acc_90.42.pth
