,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,features.0,192.0,0.0,0.8937685489654541,0.95103908705868,0.8937685489654541,0.95103908705868,0.8129286170005798,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
1,features.4,4096.0,0.0,0.8064010739326477,0.847892151317349,0.8064010739326477,0.847892151317349,0.9088419675827026,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
2,features.8,8192.0,0.0,0.8701908588409424,0.9148334752534129,0.8701908588409424,0.9148334752534129,0.9337074160575867,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
3,features.11,16384.0,0.0078125,0.8973473906517029,0.9433277699088815,0.8973679542541504,0.9433497786055931,0.9530197978019714,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
4,features.15,32768.0,0.0078125,0.8974432349205017,0.9434057100580755,0.8974446058273315,0.9434073122958326,0.9582266211509705,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
5,features.18,65536.0,3.0517578125e-05,0.8861469030380249,0.9315215648272901,0.8861470222473145,0.9315216903941517,0.9622246026992798,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
6,features.21,65536.0,1.52587890625e-05,0.8627949357032776,0.9069738729278058,0.8627950549125671,0.9069739983645617,0.9141933917999268,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
7,features.24,65536.0,0.0110626220703125,0.9190427660942078,0.966101842347173,0.9190596342086792,0.9661196707146497,0.8743737936019897,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
8,features.28,131072.0,0.1588287353515625,0.9168875217437744,0.963832290753596,0.9169895648956299,0.9639402435988342,0.7224583625793457,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
9,features.31,262144.0,0.6914787292480469,0.8528760671615601,0.896541928738236,0.8523112535476685,0.8959519063900142,0.6611795425415039,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
10,features.34,262144.0,0.95697021484375,0.16244187951087952,0.17075863841417924,0.16373783349990845,0.17213215069174378,0.6799264550209045,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
11,features.37,262144.0,0.9795379638671875,0.011439231224358082,0.012024901178550604,0.013991775922477245,0.01471064081496422,0.6563559770584106,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
12,features.40,262144.0,0.9043846130371094,0.343022882938385,0.3605850942616188,0.32875385880470276,0.3455933521507278,0.45233041048049927,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
13,features.43,262144.0,0.502655029296875,0.8038389682769775,0.8449942104864784,0.803368330001831,0.8445009171208218,0.6713207960128784,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
14,features.46,262144.0,0.5619544982910156,0.7259661555290222,0.763134436920927,0.7257280945777893,0.7628858779260029,0.6972877979278564,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
15,features.49,262144.0,0.24752044677734375,0.23227785527706146,0.24417010207161718,0.23222212493419647,0.24411164496155885,0.7919802665710449,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_91.14.pth
0,features.0,192.0,0.0,0.892380952835083,0.9495625771070132,0.892380952835083,0.9495625771070132,0.8080539107322693,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
1,features.4,4096.0,0.0,0.8026638031005859,0.8439625898270612,0.8026638031005859,0.8439625898270612,0.9098684787750244,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
2,features.8,8192.0,0.0,0.8681876063346863,0.9127274516914676,0.8681876063346863,0.9127274516914676,0.9327568411827087,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
3,features.11,16384.0,0.0,0.896281361579895,0.942207117152276,0.896281361579895,0.942207117152276,0.9526122212409973,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
4,features.15,32768.0,0.0,0.8974928259849548,0.9434578409244663,0.8974928259849548,0.9434578409244663,0.9579582214355469,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
5,features.18,65536.0,1.52587890625e-05,0.8880479335784912,0.9335199365845783,0.888047993183136,0.933519999368279,0.9617346525192261,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
6,features.21,65536.0,1.52587890625e-05,0.8685938715934753,0.9130697401212144,0.8685938715934753,0.9130697402454646,0.9099657535552979,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
7,features.24,65536.0,0.0344390869140625,0.916117250919342,0.9630265277867158,0.9161860942840576,0.9630992041012086,0.8729764223098755,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_sam_optim_saturation_200_gc_0_test_acc_90.89.pth
