,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,features.0,192.0,0.03125,0.9092537760734558,0.9675165702602728,0.909256100654602,0.9680065646284362,0.8058651685714722,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
1,features.4,4096.0,0.044921875,0.8139678239822388,0.8558482270040293,0.8140677809715271,0.855965915066935,0.9167140126228333,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
2,features.8,8192.0,0.0,0.8979896306991577,0.944058382419987,0.8979896306991577,0.944058382419987,0.9460912942886353,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
3,features.11,16384.0,0.0234375,0.9142550230026245,0.9611017549744097,0.9143613576889038,0.9612147566175,0.9405126571655273,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
4,features.15,32768.0,0.025238037109375,0.8769087791442871,0.9218195839629449,0.8769412636756897,0.9218542511777907,0.9500722885131836,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
5,features.18,65536.0,0.1120452880859375,0.9103797674179077,0.9569952596176304,0.9108820557594299,0.9575243633867766,0.8911276459693909,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
6,features.21,65536.0,0.5619964599609375,0.8674668073654175,0.9118849651930598,0.871242880821228,0.9158663697995536,0.7741695642471313,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
7,features.24,65536.0,0.669403076171875,0.844662070274353,0.887912524159057,0.8434116244316101,0.8866173543964628,0.7810096144676208,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
8,features.28,131072.0,0.9647216796875,1.3153967661199556e-14,1.3827452640298487e-14,8.392330972990683e-16,8.823826689560605e-16,0.5376811027526855,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
9,features.31,262144.0,0.9914779663085938,1.3182549940971705e-14,1.3857474965970733e-14,4.142463862337215e-16,4.356842527645588e-16,0.5984065532684326,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
10,features.34,262144.0,0.9689598083496094,1.333838113337692e-14,1.4021284460897134e-14,7.392687570233984e-16,7.771954673745636e-16,0.5170601606369019,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
11,features.37,262144.0,0.9500656127929688,1.3305349389532845e-14,1.3986561545721294e-14,1.1207979133342713e-15,1.1782440990143292e-15,0.48629575967788696,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
12,features.40,262144.0,0.9039840698242188,1.2307925742493543e-14,1.2938071437115225e-14,1.3787615856623316e-15,1.449384592092966e-15,0.4396984577178955,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
13,features.43,262144.0,0.6236000061035156,8.096134033368577e-15,8.510642871896367e-15,3.181386504943714e-15,3.3442781417547007e-15,0.5247502326965332,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
14,features.46,262144.0,0.4240684509277344,3.541635334883362e-15,3.722961279229255e-15,2.0885268087043234e-15,2.195458630450693e-15,0.6210888624191284,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
15,features.49,262144.0,0.5649147033691406,2.7956786174666804e-15,2.9388127963040005e-15,1.2530194387633123e-15,1.3171749447886813e-15,0.7787244319915771,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773388.3070993_rf_level_3_recording_200_no_ffcv_test_acc_88.24.pth
0,features.0,192.0,0.0677083358168602,0.9085987210273743,0.9668195408629868,0.9086107611656189,0.9679353856011832,0.8065206408500671,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
1,features.4,4096.0,0.144287109375,0.8131510615348816,0.8549894403642402,0.8134958148002625,0.855397755619366,0.9192821979522705,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
2,features.8,8192.0,0.078125,0.898084282875061,0.944157890451061,0.8982114195823669,0.9443019019440557,0.9449597597122192,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
3,features.11,16384.0,0.015625,0.9131298065185547,0.9599188820228192,0.9131994247436523,0.9599928713540646,0.939184844493866,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
4,features.15,32768.0,0.01995849609375,0.8738796710968018,0.9186353404172974,0.8739084601402283,0.9186660103787738,0.9507647156715393,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
5,features.18,65536.0,0.0862579345703125,0.9075870513916016,0.9540595441126456,0.908000648021698,0.9544951326940955,0.9055957794189453,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
6,features.21,65536.0,0.502532958984375,0.8869305849075317,0.9323453746932469,0.889116644859314,0.9346527776113577,0.7679036855697632,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
7,features.24,65536.0,0.564422607421875,0.875426709651947,0.9202524498712771,0.8735134601593018,0.9182533755039723,0.802647590637207,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
8,features.28,131072.0,0.9725875854492188,1.1633369032090952e-14,1.2228999149271387e-14,5.459506921693454e-16,5.740664740322585e-16,0.5597567558288574,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
9,features.31,262144.0,0.9952621459960938,1.170942581449081e-14,1.2308929290370451e-14,1.0795205949162503e-16,1.1360583567933804e-16,0.6271531581878662,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
10,features.34,262144.0,0.9906082153320312,1.1693858195953224e-14,1.2292564635191417e-14,1.8683977158499485e-16,1.964968856277864e-16,0.6046726703643799,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
11,features.37,262144.0,0.9880294799804688,1.1715110252599834e-14,1.2314904762425866e-14,2.547496587492631e-16,2.678834998767318e-16,0.5496513843536377,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
12,features.40,262144.0,0.9384803771972656,1.1241251222785572e-14,1.1816784924272135e-14,7.700649691614334e-16,8.095240352828479e-16,0.42660200595855713,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
13,features.43,262144.0,0.6356849670410156,7.900451634860941e-15,8.304941854206856e-15,2.9955108421411518e-15,3.1488859275934466e-15,0.5281901359558105,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
14,features.46,262144.0,0.4342308044433594,3.626300936642639e-15,3.811961621508372e-15,2.072436359080044e-15,2.1785444757424385e-15,0.5766469240188599,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
15,features.49,262144.0,0.4240455627441406,2.7990805135410905e-15,2.942388863900866e-15,1.6317353868981169e-15,1.7152796518631664e-15,0.7783232927322388,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_seed.0_rf_level_3_recording_200_no_ffcv_test_acc_88.13.pth
0,features.0,192.0,0.0052083334885537624,0.9037090539932251,0.9616165557304702,0.903710126876831,0.9616960386923031,0.802717387676239,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773352.418043_rf_level_3_recording_200_no_ffcv_test_acc_88.14.pth
1,features.4,4096.0,0.04638671875,0.817494809627533,0.8595566836803948,0.8176016807556152,0.8596821314590857,0.9206041097640991,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773352.418043_rf_level_3_recording_200_no_ffcv_test_acc_88.14.pth
2,features.8,8192.0,0.038818359375,0.8981379270553589,0.9442142866903347,0.8982025980949402,0.944287179452256,0.9460508823394775,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773352.418043_rf_level_3_recording_200_no_ffcv_test_acc_88.14.pth
3,features.11,16384.0,0.06982421875,0.9130465984344482,0.9598314103287615,0.9133703708648682,0.9601756060183576,0.9401758313179016,/jmain02/home/J2AD014/mtc03/lla98-mtc03/original_paper_checkpoints/vgg19_normal_cifar10_1726773352.418043_rf_level_3_recording_200_no_ffcv_test_acc_88.14.pth
