,layer_name,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,solution_name
0,features.0,192.0,0.0,0.9213724136352539,0.9804117409579978,0.9213724136352539,0.9804117409579978,0.8243552446365356,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
1,features.4,4096.0,0.0,0.856300950050354,0.9003594838638889,0.856300950050354,0.9003594838638889,0.9385260939598083,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
2,features.8,8192.0,0.0,0.9086002111434937,0.9552133078983779,0.9086002111434937,0.9552133078983779,0.9485300183296204,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
3,features.11,16384.0,0.0,0.9208992123603821,0.9680863948084364,0.9208992123603821,0.9680863948084364,0.9468767046928406,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
4,features.15,32768.0,0.0,0.9178537726402283,0.9648615716445206,0.9178537726402283,0.9648615716445206,0.9583529829978943,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
5,features.18,65536.0,0.0,0.9187384247779846,0.9657819174022707,0.9187384247779846,0.9657819174022707,0.9674897789955139,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
6,features.21,65536.0,0.0,0.9156597256660461,0.9625455752060127,0.9156597256660461,0.9625455752060127,0.9638808965682983,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
7,features.24,65536.0,0.0,0.9006196856498718,0.9467354182637494,0.9006196856498718,0.9467354182637494,0.9604027271270752,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
8,features.28,131072.0,0.0,0.7569101452827454,0.7956640503025355,0.7569101452827454,0.7956640503025355,0.9511041641235352,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
9,features.31,262144.0,0.0,0.8631697297096252,0.9073626099954049,0.8631697297096252,0.9073626099954049,0.9575791358947754,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
10,features.34,262144.0,0.0,0.9039617776870728,0.9502431442007991,0.9039617776870728,0.9502431442007991,0.9624118804931641,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
11,features.37,262144.0,0.0,0.9080684185028076,0.9545600383186366,0.9080684185028076,0.9545600383186366,0.9629466533660889,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
12,features.40,262144.0,0.0,0.9062032699584961,0.9525993972153336,0.9062032699584961,0.9525993972153336,0.9622931480407715,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
13,features.43,262144.0,0.0,0.9008793830871582,0.9470029360320591,0.9008793830871582,0.9470029360320591,0.9604128003120422,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
14,features.46,262144.0,0.0,0.8776863813400269,0.9226224904782229,0.8776863813400269,0.9226224904782229,0.9531188011169434,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
15,features.49,262144.0,0.0,0.8662052154541016,0.9105535076519277,0.8662052154541016,0.9105535076519277,0.9515095949172974,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_84.29.pth
0,features.0,192.0,0.0,0.9157541990280151,0.9744335246768892,0.9157541990280151,0.9744335246768892,0.8268373012542725,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
1,features.4,4096.0,0.0,0.8537285327911377,0.8976547101792931,0.8537285327911377,0.8976547101792931,0.9361304044723511,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
2,features.8,8192.0,0.0,0.9092684984207153,0.9559158797147523,0.9092684984207153,0.9559158797147523,0.9485961198806763,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
3,features.11,16384.0,0.0,0.9191045165061951,0.9661997381407601,0.9191045165061951,0.9661997381407601,0.9472107887268066,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
4,features.15,32768.0,0.0,0.9153186082839966,0.9621965690721668,0.9153186082839966,0.9621965690721668,0.9581146240234375,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
5,features.18,65536.0,0.0,0.9185352325439453,0.9655683208223311,0.9185352325439453,0.9655683208223311,0.9676423668861389,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
6,features.21,65536.0,0.0,0.9153047204017639,0.9621723920936277,0.9153047204017639,0.9621723920936277,0.9635725021362305,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
7,features.24,65536.0,0.0,0.9011810421943665,0.9473255187594584,0.9011810421943665,0.9473255187594584,0.9598163366317749,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
8,features.28,131072.0,0.0,0.7679630517959595,0.807282867170995,0.7679630517959595,0.807282867170995,0.9522144198417664,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
9,features.31,262144.0,0.0,0.8676391839981079,0.9120608930431863,0.8676391839981079,0.9120608930431863,0.9577892422676086,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
10,features.34,262144.0,0.0,0.9051423072814941,0.9514841149822135,0.9051423072814941,0.9514841149822135,0.9628838896751404,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
11,features.37,262144.0,0.0,0.9093930721282959,0.9559525120461007,0.9093930721282959,0.9559525120461007,0.9630839228630066,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_4_ekfac_optim_hyper_saturation_200_gc_0_test_acc_83.9.pth
