pr_from_features.49_to_features.49,layer_names,pr_from_features.46_to_features.49,pr_from_features.43_to_features.49,pr_from_features.40_to_features.49,pr_from_features.37_to_features.49,pr_from_features.34_to_features.49,pr_from_features.31_to_features.49,pr_from_features.28_to_features.49,pr_from_features.24_to_features.49,pr_from_features.21_to_features.49,pr_from_features.18_to_features.49,pr_from_features.15_to_features.49,pr_from_features.11_to_features.49,pr_from_features.8_to_features.49
0.0,features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14438206
0.0,features.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15936957,0.16566975
0.0,features.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15805732,0.17064752,0.17716132
0.0,features.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17637126,0.2037167,0.21936713,0.22801208
0.0,features.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17811924,0.22871569,0.26339212,0.2830963,0.29384866
0.0,features.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23612298,0.29125467,0.36864388,0.419437,0.4476742,0.46300423
0.0,features.28,0.0,0.0,0.0,0.0,0.0,0.0,0.49214682,0.55987126,0.6426502,0.73627895,0.78565556,0.8098195,0.8217731
0.0,features.31,0.0,0.0,0.0,0.0,0.0,0.7466418,0.81632274,0.8640404,0.91128117,0.95137787,0.9672822,0.9740181,0.977097
0.0,features.34,0.0,0.0,0.0,0.0,0.8836882,0.9180039,0.9474466,0.96530575,0.9807103,0.99152756,0.99499047,0.9962709,0.99682194
0.0,features.37,0.0,0.0,0.0,0.953231,0.9547352,0.9659157,0.9755321,0.9816619,0.98737717,0.9921968,0.994286,0.9951812,0.9956093
0.0,features.40,0.0,0.0,0.96298814,0.95763016,0.959142,0.9699881,0.9794629,0.9851803,0.99022377,0.9939232,0.995338,0.9959225,0.99618995
0.0,features.43,0.0,0.95322675,0.9412753,0.9319382,0.9345868,0.95313096,0.96872115,0.9780583,0.9862145,0.99216676,0.9943233,0.9952066,0.9956008
0.0,features.46,0.9257702,0.9066552,0.8880314,0.87378395,0.87778515,0.9064797,0.9315732,0.9478442,0.9635175,0.9772822,0.9830335,0.98550415,0.9866706
0.89999986,features.49,0.87422985,0.840118,0.80770534,0.78341675,0.79006237,0.83983994,0.8848678,0.913943,0.9420068,0.96495354,0.9740253,0.97791076,0.9797711
0.0,classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
