pr_from_features.49_to_features.49,layer_names,pr_from_features.46_to_features.49,pr_from_features.43_to_features.49,pr_from_features.40_to_features.49,pr_from_features.37_to_features.49,pr_from_features.34_to_features.49,pr_from_features.31_to_features.49,pr_from_features.28_to_features.49,pr_from_features.24_to_features.49,pr_from_features.21_to_features.49,pr_from_features.18_to_features.49,pr_from_features.15_to_features.49,pr_from_features.11_to_features.49,pr_from_features.8_to_features.49
0.0,features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12413195
0.0,features.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13339573,0.13929579
0.0,features.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13481648,0.14599949,0.15240139
0.0,features.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15856764,0.18395656,0.1990119,0.2071584
0.0,features.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16934544,0.22149658,0.25746495,0.27856785,0.29016793
0.0,features.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23946466,0.30055237,0.38563877,0.4403873,0.4713508,0.48781332
0.0,features.28,0.0,0.0,0.0,0.0,0.0,0.0,0.50121987,0.5714662,0.65722317,0.7527703,0.8020842,0.8260515,0.83764225
0.0,features.31,0.0,0.0,0.0,0.0,0.0,0.7234895,0.79701316,0.8474507,0.8976691,0.9409129,0.95869106,0.9662514,0.96975327
0.0,features.34,0.0,0.0,0.0,0.0,0.857513,0.90084964,0.93256676,0.9525659,0.9708731,0.98491585,0.9901382,0.99228585,0.99324334
0.0,features.37,0.0,0.0,0.0,0.93789715,0.94407487,0.9627164,0.97510743,0.9823134,0.98847663,0.993145,0.9949803,0.995764,0.9961162
0.0,features.40,0.0,0.0,0.9537773,0.9482719,0.95355266,0.9691234,0.9791336,0.98496586,0.99018055,0.9941707,0.9958657,0.9965176,0.99680585
0.0,features.43,0.0,0.9625206,0.9542067,0.9489348,0.9539706,0.96891826,0.97876483,0.9845886,0.9898563,0.9939448,0.9955635,0.9962578,0.9966015
0.0,features.46,0.9467091,0.9293535,0.91629153,0.9083587,0.9159639,0.93988204,0.95654804,0.9674233,0.9776857,0.98639804,0.9899898,0.991586,0.9923202
0.89999986,features.49,0.853291,0.8081258,0.77572465,0.75653756,0.7749248,0.8350207,0.88025624,0.91009307,0.9391725,0.9637019,0.9739253,0.9782418,0.9802933
0.0,classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
