pr_from_features.49_to_features.49,layer_names,pr_from_features.46_to_features.49,pr_from_features.43_to_features.49,pr_from_features.40_to_features.49,pr_from_features.37_to_features.49,pr_from_features.34_to_features.49,pr_from_features.31_to_features.49,pr_from_features.28_to_features.49,pr_from_features.24_to_features.49,pr_from_features.21_to_features.49,pr_from_features.18_to_features.49,pr_from_features.15_to_features.49,pr_from_features.11_to_features.49,pr_from_features.8_to_features.49
0.0,features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12367079
0.0,features.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15241157,0.15579563
0.0,features.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22284614,0.23228285,0.2373386
0.0,features.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29847038,0.3224606,0.33598498,0.34310573
0.0,features.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186103,0.36055502,0.38850743,0.40407646,0.41203478
0.0,features.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37146166,0.37887233,0.42708164,0.4590166,0.47583178,0.4847073
0.0,features.28,0.0,0.0,0.0,0.0,0.0,0.0,0.63805133,0.65068394,0.66468304,0.7586085,0.8237254,0.8598039,0.8786282
0.0,features.31,0.0,0.0,0.0,0.0,0.0,0.8942574,0.9128791,0.93070346,0.9500622,0.9614919,0.96592414,0.9683287,0.96953076
0.0,features.34,0.0,0.0,0.0,0.0,0.90202117,0.90298927,0.9218411,0.9397613,0.9592675,0.97076374,0.97528625,0.9775416,0.978658
0.0,features.37,0.0,0.0,0.0,0.9036424,0.90323174,0.904185,0.9229283,0.94100356,0.9606781,0.9723218,0.9767384,0.9789674,0.98006946
0.0,features.40,0.0,0.0,0.9043443,0.90344405,0.90306896,0.90399045,0.92265236,0.9406391,0.9600669,0.9717013,0.9760967,0.9783855,0.9794854
0.0,features.43,0.0,0.90444565,0.90297484,0.90207124,0.90167874,0.90261674,0.9214592,0.9394027,0.9589212,0.97051364,0.974929,0.977197,0.9783088
0.0,features.46,0.9005496,0.8983205,0.8969133,0.89600116,0.89558196,0.8965581,0.9152209,0.9332831,0.95276767,0.9643538,0.96885043,0.9711541,0.9723625
0.89999986,features.49,0.89945054,0.8972337,0.8957676,0.8948411,0.8944172,0.89540315,0.9139934,0.9319996,0.9515241,0.9630229,0.96746063,0.96973926,0.9709146
0.0,classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
