pr_from_features.49_to_features.49,layer_names,pr_from_features.46_to_features.49,pr_from_features.43_to_features.49,pr_from_features.40_to_features.49,pr_from_features.37_to_features.49,pr_from_features.34_to_features.49,pr_from_features.31_to_features.49,pr_from_features.28_to_features.49,pr_from_features.24_to_features.49,pr_from_features.21_to_features.49,pr_from_features.18_to_features.49,pr_from_features.15_to_features.49,pr_from_features.11_to_features.49,pr_from_features.8_to_features.49
0.0,features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041910806
0.0,features.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02831353,0.029595269
0.0,features.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037743464,0.045084637,0.049804688
0.0,features.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035968356,0.09162733,0.13669671,0.16355726
0.0,features.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4439799,0.5833435,0.64216954,0.6736586,0.68994987
0.0,features.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38058642,0.5188768,0.6844296,0.75302464,0.7848952,0.7996165
0.0,features.28,0.0,0.0,0.0,0.0,0.0,0.0,0.9070121,0.92802685,0.94117314,0.9653473,0.9795617,0.98419446,0.98598564
0.0,features.31,0.0,0.0,0.0,0.0,0.0,0.9204657,0.9192844,0.9553871,0.9682316,0.9847404,0.9937007,0.995074,0.995622
0.0,features.34,0.0,0.0,0.0,0.0,0.92098874,0.9112002,0.91008335,0.9487169,0.9659097,0.98321533,0.99180305,0.9942987,0.9949735
0.0,features.37,0.0,0.0,0.0,0.919117,0.9060241,0.90015453,0.899495,0.9270469,0.95010716,0.9776192,0.9870495,0.9904387,0.9916102
0.0,features.40,0.0,0.0,0.91609657,0.90370774,0.89861256,0.89553493,0.89517635,0.9059868,0.91910595,0.96094936,0.96909165,0.9726647,0.97440124
0.0,features.43,0.0,0.9133801,0.90142274,0.8959859,0.893478,0.89208055,0.8919296,0.89734566,0.9025489,0.9190835,0.9276085,0.93249637,0.93527305
4.2385525e-07,features.46,0.9001266,0.8930681,0.8903291,0.88961875,0.8894908,0.88925767,0.88922757,0.88971496,0.89051604,0.8953713,0.9011273,0.9051713,0.9075347
0.89999986,features.49,0.8998735,0.8935517,0.8921517,0.8915706,0.89140576,0.8913066,0.89129764,0.89164186,0.89227974,0.895412,0.9009154,0.90529126,0.9079802
0.0,classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
