,0,1,2,3,4,5,6,solution_name
index,n,sparsity,variance_entropy,variance_entropy_norm,variance_entropy_clean,variance_entropy_clean_norm,orthogonality,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.0,192.0,0.0,0.8985560536384583,0.9561333635117654,0.8985560536384583,0.9561333635117654,0.8205761313438416,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.4,4096.0,0.0,0.806027889251709,0.847499765478356,0.806027889251709,0.847499765478356,0.9313253164291382,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.8,8192.0,0.0,0.8656513690948486,0.9100611001610939,0.8656513690948486,0.9100611001610939,0.9402188062667847,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.11,16384.0,0.0,0.8769581913948059,0.9218938212891971,0.8769581913948059,0.9218938212891971,0.9561665058135986,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.15,32768.0,0.0,0.8979712128639221,0.9439607283447214,0.8979712128639221,0.9439607283447214,0.9576740264892578,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.18,65536.0,0.0,0.8980291485786438,0.9440122341753546,0.8980291485786438,0.9440122341753546,0.9638944268226624,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.21,65536.0,0.0,0.9032418727874756,0.949491873042654,0.9032418727874756,0.949491873042654,0.9584084153175354,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.24,65536.0,0.0,0.9376043081283569,0.9856138178694936,0.9376043081283569,0.9856138178694936,0.9551776051521301,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.28,131072.0,0.0,0.931125283241272,0.9787990276257893,0.931125283241272,0.9787990276257893,0.9510570764541626,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.31,262144.0,0.0,0.9420443177223206,0.9902754480829815,0.9420443177223206,0.9902754480829815,0.9592683911323547,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.34,262144.0,0.0,0.9483658671379089,0.9969206505032202,0.9483658671379089,0.9969206505032202,0.9659493565559387,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.37,262144.0,0.0,0.9507948756217957,0.9994740202540129,0.9507948756217957,0.9994740202540129,0.9715396761894226,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.40,262144.0,0.0,0.9518371224403381,1.0005696284072902,0.9518371224403381,1.0005696284072902,0.974223792552948,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.43,262144.0,0.0,0.9520184397697449,1.0007602288878044,0.9520184397697449,1.0007602288878044,0.9740214943885803,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.46,262144.0,0.0,0.949750542640686,0.9983762191300524,0.949750542640686,0.9983762191300524,0.9695859551429749,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
features.49,262144.0,0.0,0.9344207644462585,0.9822615813312666,0.9344207644462585,0.9822615813312666,0.9563314318656921,/jmain02/home/J2AD014/mtc03/lla98-mtc03/second_order_saturation/vgg19_normal_cifar10_rf_level_2_ekfac_optim_hyper_saturation_200_gc_0_test_acc_89.68.pth
