pr_from_features.49_to_features.49,layer_names,pr_from_features.46_to_features.49,pr_from_features.43_to_features.49,pr_from_features.40_to_features.49,pr_from_features.37_to_features.49,pr_from_features.34_to_features.49,pr_from_features.31_to_features.49,pr_from_features.28_to_features.49,pr_from_features.24_to_features.49,pr_from_features.21_to_features.49,pr_from_features.18_to_features.49,pr_from_features.15_to_features.49,pr_from_features.11_to_features.49,pr_from_features.8_to_features.49
0.0,features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16092937
0.0,features.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19957818,0.20334202
0.0,features.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24760607,0.25594077,0.26057944
0.0,features.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3242086,0.34137642,0.35219827,0.3586799
0.0,features.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3346032,0.36157906,0.38064745,0.39257982,0.39948526
0.0,features.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35992602,0.38237846,0.41210938,0.43355137,0.4467926,0.45432875
0.0,features.28,0.0,0.0,0.0,0.0,0.0,0.0,0.584604,0.6109212,0.64370304,0.6849196,0.71276855,0.72921073,0.73830754
0.0,features.31,0.0,0.0,0.0,0.0,0.0,0.82592136,0.8519889,0.87444645,0.89918053,0.9253667,0.9401771,0.94812775,0.9522531
0.0,features.34,0.0,0.0,0.0,0.0,0.8744952,0.8877178,0.91180503,0.93107224,0.950325,0.9685398,0.9775662,0.9819175,0.9840758
0.0,features.37,0.0,0.0,0.0,0.8973596,0.90257305,0.9152633,0.93757755,0.9541524,0.9698605,0.9832522,0.98923707,0.9918552,0.99308735
0.0,features.40,0.0,0.0,0.9068065,0.9074512,0.91264087,0.9248746,0.94599533,0.96130204,0.97532356,0.98666507,0.99161404,0.9937812,0.9947709
0.0,features.43,0.0,0.90996975,0.9077068,0.90836334,0.9133504,0.9251607,0.9457542,0.9608981,0.97457844,0.98606193,0.99106854,0.9933014,0.9943165
0.0,features.46,0.90325844,0.8982179,0.89596343,0.8966289,0.9017122,0.9137633,0.9353812,0.9517543,0.967492,0.9812995,0.98770565,0.99057555,0.9919815
0.89999986,features.49,0.8967416,0.8918122,0.8895234,0.8901969,0.8952281,0.90729904,0.9291958,0.9459326,0.96214294,0.9768808,0.9839028,0.98722714,0.9888022
0.0,classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
