pr_from_features.49_to_features.49,layer_names,pr_from_features.46_to_features.49,pr_from_features.43_to_features.49,pr_from_features.40_to_features.49,pr_from_features.37_to_features.49,pr_from_features.34_to_features.49,pr_from_features.31_to_features.49,pr_from_features.28_to_features.49,pr_from_features.24_to_features.49,pr_from_features.21_to_features.49,pr_from_features.18_to_features.49,pr_from_features.15_to_features.49,pr_from_features.11_to_features.49,pr_from_features.8_to_features.49
0.0,features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0719808
0.0,features.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836792,0.08779568
0.0,features.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10015869,0.1092631,0.11444431
0.0,features.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15613979,0.18304273,0.19924079,0.20814344
0.0,features.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21347386,0.27808297,0.3230099,0.34939575,0.36372885
0.0,features.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32565138,0.39013332,0.4759606,0.53016496,0.56029594,0.57586503
0.0,features.28,0.0,0.0,0.0,0.0,0.0,0.0,0.634641,0.6952718,0.7659709,0.83904266,0.8749059,0.89174736,0.8999134
0.0,features.31,0.0,0.0,0.0,0.0,0.0,0.9101418,0.9263009,0.9403801,0.9559623,0.97097695,0.977843,0.9810261,0.9825723
0.0,features.34,0.0,0.0,0.0,0.0,0.9703738,0.96992326,0.9751884,0.9797715,0.98490185,0.9897389,0.9919709,0.99296737,0.9934366
0.0,features.37,0.0,0.0,0.0,0.9745246,0.97094303,0.9704726,0.9760738,0.9809731,0.9861671,0.990743,0.99274063,0.99363834,0.99408215
0.0,features.40,0.0,0.0,0.96439743,0.95745087,0.9512253,0.95034325,0.9601983,0.96857154,0.9774013,0.98522735,0.98871994,0.9903861,0.9911533
0.0,features.43,0.0,0.9474949,0.93499035,0.92151177,0.9088334,0.9070388,0.9268935,0.94295967,0.9591802,0.9733624,0.9793756,0.982101,0.98340946
0.0,features.46,0.9264891,0.9094192,0.89059913,0.87055755,0.8527595,0.8503219,0.878535,0.9024675,0.92737794,0.9508129,0.96148133,0.9663921,0.9687555
0.89999986,features.49,0.873511,0.8430858,0.81001323,0.7759552,0.74586487,0.7417586,0.78948975,0.83082795,0.8751221,0.91707146,0.9363416,0.94524425,0.9495324
0.0,classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
